date,ym,new_zealand_abc_au_solomon_islands_body_count,new_zealand_abc_au_solomon_islands_epu_count,new_zealand_abc_au_solomon_islands_ratio,new_zealand_herald_body_count,new_zealand_herald_epu_count,new_zealand_herald_ratio,news_total,new_zealand_abc_au_solomon_islands_weights,new_zealand_herald_weights,new_zealand_abc_au_solomon_islands_z_score,new_zealand_herald_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2017-06-01,2017-6,14,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-07-01,2017-7,17,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-08-01,2017-8,30,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-09-01,2017-9,15,1.0,0.06666666666666667,0.0,0.0,0.0,15.0,1.0,0.0,1.6060364005463166,,1.6060364005463166,1.6060364005463166,263.1655115979237,263.1655115979237,263.1655115979237
2017-10-01,2017-10,32,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-11-01,2017-11,24,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-12-01,2017-12,11,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-01-01,2018-1,19,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-02-01,2018-2,12,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-03-01,2018-3,5,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-04-01,2018-4,12,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-5,18,1.0,0.05555555555555555,0.0,0.0,0.0,18.0,1.0,0.0,1.3383636671219306,,1.3383636671219306,1.3383636671219306,219.30459299826975,219.30459299826975,219.30459299826975
2018-06-01,2018-6,19,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-07-01,2018-7,16,1.0,0.0625,0.0,0.0,0.0,16.0,1.0,0.0,1.5056591255121718,,1.5056591255121718,1.5056591255121718,246.71766712305347,246.71766712305347,246.71766712305347
2018-08-01,2018-8,25,1.0,0.04,0.0,0.0,0.0,25.0,1.0,0.0,0.9636218403277901,,0.9636218403277901,0.9636218403277901,157.89930695875424,157.89930695875424,157.89930695875424
2018-09-01,2018-9,15,1.0,0.06666666666666667,0.0,0.0,0.0,15.0,1.0,0.0,1.6060364005463166,,1.6060364005463166,1.6060364005463166,263.1655115979237,263.1655115979237,263.1655115979237
2018-10-01,2018-10,20,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-11-01,2018-11,21,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018-12-01,2018-12,15,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-01-01,2019-1,12,1.0,0.08333333333333333,0.0,0.0,0.0,12.0,1.0,0.0,2.007545500682896,,2.007545500682896,2.007545500682896,328.95688949740463,328.95688949740463,328.95688949740463
2019-02-01,2019-2,9,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-03-01,2019-3,94,1.0,0.010638297872340425,0.0,0.0,0.0,94.0,1.0,0.0,0.2562824043424973,,0.2562824043424973,0.2562824043424973,41.99449653158357,41.99449653158357,41.99449653158357
2019-04-01,2019-4,31,1.0,0.03225806451612903,0.0,0.0,0.0,31.0,1.0,0.0,0.7771143873611209,,0.7771143873611209,0.7771143873611209,127.33815077318889,127.33815077318889,127.33815077318889
2019-05-01,2019-5,25,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-06-01,2019-6,17,1.0,0.058823529411764705,0.0,0.0,0.0,17.0,1.0,0.0,1.4170909416585147,,1.4170909416585147,1.4170909416585147,232.20486317463858,232.20486317463858,232.20486317463858
2019-07-01,2019-7,29,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-08-01,2019-8,34,3.0,0.08823529411764706,0.0,0.0,0.0,34.0,1.0,0.0,2.125636412487772,,2.125636412487772,2.125636412487772,348.30729476195785,348.30729476195785,348.30729476195785
2019-09-01,2019-9,13,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-10-01,2019-10,21,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-01,2019-11,24,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-12-01,2019-12,62,0.0,0.0,0.0,0.0,0.0,62.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-01,2020-1,22,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-01,2020-2,18,2.0,0.1111111111111111,0.0,0.0,0.0,18.0,1.0,0.0,2.676727334243861,,2.676727334243861,2.676727334243861,438.6091859965395,438.6091859965395,438.6091859965395
2020-03-01,2020-3,22,2.0,0.09090909090909091,0.0,0.0,0.0,22.0,1.0,0.0,2.1900496371086136,,2.1900496371086136,2.1900496371086136,358.86206126989595,358.86206126989595,358.86206126989595
2020-04-01,2020-4,44,7.0,0.1590909090909091,0.0,0.0,0.0,44.0,1.0,0.0,3.832586864940074,,3.832586864940074,3.832586864940074,628.0086072223179,628.0086072223179,628.0086072223179
2020-05-01,2020-5,40,5.0,0.125,0.0,0.0,0.0,40.0,1.0,0.0,3.0113182510243437,,3.0113182510243437,3.0113182510243437,493.43533424610695,493.43533424610695,493.43533424610695
2020-06-01,2020-6,37,2.0,0.05405405405405406,0.0,0.0,0.0,37.0,1.0,0.0,1.3021916761186352,,1.3021916761186352,1.3021916761186352,213.37744183615436,213.37744183615436,213.37744183615436
2020-07-01,2020-7,32,3.0,0.09375,0.0,0.0,0.0,32.0,1.0,0.0,2.2584886882682578,,2.2584886882682578,2.2584886882682578,370.0765006845802,370.0765006845802,370.0765006845802
2020-08-01,2020-8,69,12.0,0.17391304347826086,0.0,0.0,0.0,69.0,1.0,0.0,4.189660175338218,,4.189660175338218,4.189660175338218,686.5187259076271,686.5187259076271,686.5187259076271
2020-09-01,2020-9,40,5.0,0.125,0.0,0.0,0.0,40.0,1.0,0.0,3.0113182510243437,,3.0113182510243437,3.0113182510243437,493.43533424610695,493.43533424610695,493.43533424610695
2020-10-01,2020-10,51,1.0,0.0196078431372549,0.0,0.0,0.0,51.0,1.0,0.0,0.4723636472195049,,0.4723636472195049,0.4723636472195049,77.40162105821285,77.40162105821285,77.40162105821285
2020-11-01,2020-11,27,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-12-01,2020-12,28,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2021-01-01,2021-1,30,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021-2,32,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2021-03-01,2021-3,34,2.0,0.058823529411764705,0.0,0.0,0.0,34.0,1.0,0.0,1.4170909416585147,,1.4170909416585147,1.4170909416585147,232.20486317463858,232.20486317463858,232.20486317463858
2021-04-01,2021-4,46,7.0,0.15217391304347827,0.0,0.0,0.0,46.0,1.0,0.0,3.6659526534209403,,3.6659526534209403,3.6659526534209403,600.7038851691738,600.7038851691738,600.7038851691738
2021-05-01,2021-5,29,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2021-06-01,2021-6,28,2.0,0.07142857142857142,0.0,0.0,0.0,28.0,1.0,0.0,1.7207532862996249,,1.7207532862996249,1.7207532862996249,281.9630481406325,281.9630481406325,281.9630481406325
2021-07-01,2021-7,16,1.0,0.0625,0.0,0.0,0.0,16.0,1.0,0.0,1.5056591255121718,,1.5056591255121718,1.5056591255121718,246.71766712305347,246.71766712305347,246.71766712305347
2021-08-01,2021-8,44,2.0,0.045454545454545456,0.0,0.0,0.0,44.0,1.0,0.0,1.0950248185543068,,1.0950248185543068,1.0950248185543068,179.43103063494797,179.43103063494797,179.43103063494797
2021-09-01,2021-9,37,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2021-10-01,2021-10,24,3.0,0.125,0.0,0.0,0.0,24.0,1.0,0.0,3.0113182510243437,,3.0113182510243437,3.0113182510243437,493.43533424610695,493.43533424610695,493.43533424610695
2021-11-01,2021-11,35,2.0,0.05714285714285714,0.0,0.0,0.0,35.0,1.0,0.0,1.3766026290397,,1.3766026290397,1.3766026290397,225.57043851250603,225.57043851250603,225.57043851250603
2021-12-01,2021-12,23,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-01-01,2022-1,15,1.0,0.06666666666666667,0.0,0.0,0.0,15.0,1.0,0.0,1.6060364005463166,,1.6060364005463166,1.6060364005463166,263.1655115979237,263.1655115979237,263.1655115979237
2022-02-01,2022-2,25,1.0,0.04,0.0,0.0,0.0,25.0,1.0,0.0,0.9636218403277901,,0.9636218403277901,0.9636218403277901,157.89930695875424,157.89930695875424,157.89930695875424
2022-03-01,2022-3,43,2.0,0.046511627906976744,0.0,0.0,0.0,43.0,1.0,0.0,1.120490512009058,,1.120490512009058,1.120490512009058,183.603845300877,183.603845300877,183.603845300877
2022-04-01,2022-4,26,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-05-01,2022-5,24,1.0,0.041666666666666664,0.0,0.0,0.0,24.0,1.0,0.0,1.003772750341448,,1.003772750341448,1.003772750341448,164.47844474870232,164.47844474870232,164.47844474870232
2022-06-01,2022-6,21,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-07-01,2022-7,37,2.0,0.05405405405405406,0.0,0.0,0.0,37.0,1.0,0.0,1.3021916761186352,,1.3021916761186352,1.3021916761186352,213.37744183615436,213.37744183615436,213.37744183615436
2022-08-01,2022-8,25,1.0,0.04,0.0,0.0,0.0,25.0,1.0,0.0,0.9636218403277901,,0.9636218403277901,0.9636218403277901,157.89930695875424,157.89930695875424,157.89930695875424
2022-09-01,2022-9,26,1.0,0.038461538461538464,0.0,0.0,0.0,26.0,1.0,0.0,0.9265594618536442,,0.9265594618536442,0.9265594618536442,151.82625669110985,151.82625669110985,151.82625669110985
2022-10-01,2022-10,28,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-11-01,2022-11,20,1.0,0.05,0.0,0.0,0.0,20.0,1.0,0.0,1.2045273004097377,,1.2045273004097377,1.2045273004097377,197.37413369844282,197.37413369844282,197.37413369844282
2022-12-01,2022-12,19,2.0,0.10526315789473684,0.0,0.0,0.0,19.0,1.0,0.0,2.5358469482310264,,2.5358469482310264,2.5358469482310264,415.5244919967217,415.5244919967217,415.5244919967217
2023-01-01,2023-1,29,1.0,0.034482758620689655,0.0,0.0,0.0,29.0,1.0,0.0,0.8307084830411983,,0.8307084830411983,0.8307084830411983,136.1200922058226,136.1200922058226,136.1200922058226
2023-02-01,2023-2,38,0.0,0.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-03-01,2023-3,24,1.0,0.041666666666666664,0.0,0.0,0.0,24.0,1.0,0.0,1.003772750341448,,1.003772750341448,1.003772750341448,164.47844474870232,164.47844474870232,164.47844474870232
2023-04-01,2023-4,22,1.0,0.045454545454545456,0.0,0.0,0.0,22.0,1.0,0.0,1.0950248185543068,,1.0950248185543068,1.0950248185543068,179.43103063494797,179.43103063494797,179.43103063494797
2023-05-01,2023-5,27,1.0,0.037037037037037035,0.0,0.0,0.0,27.0,1.0,0.0,0.8922424447479537,,0.8922424447479537,0.8922424447479537,146.2030619988465,146.2030619988465,146.2030619988465
2023-06-01,2023-6,20,1.0,0.05,0.0,0.0,0.0,20.0,1.0,0.0,1.2045273004097377,,1.2045273004097377,1.2045273004097377,197.37413369844282,197.37413369844282,197.37413369844282
2023-07-01,2023-7,42,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-08-01,2023-8,28,4.0,0.14285714285714285,0.0,0.0,0.0,28.0,1.0,0.0,3.4415065725992497,,3.4415065725992497,3.4415065725992497,563.926096281265,563.926096281265,563.926096281265
2023-09-01,2023-9,17,1.0,0.058823529411764705,0.0,0.0,0.0,17.0,1.0,0.0,1.4170909416585147,,1.4170909416585147,1.4170909416585147,232.20486317463858,232.20486317463858,232.20486317463858
2023-10-01,2023-10,26,2.0,0.07692307692307693,0.0,0.0,0.0,26.0,1.0,0.0,1.8531189237072885,,1.8531189237072885,1.8531189237072885,303.6525133822197,303.6525133822197,303.6525133822197
2023-11-01,2023-11,15,2.0,0.13333333333333333,0.0,0.0,0.0,15.0,1.0,0.0,3.212072801092633,,3.212072801092633,3.212072801092633,526.3310231958474,526.3310231958474,526.3310231958474
2023-12-01,2023-12,15,3.0,0.2,0.0,0.0,0.0,15.0,1.0,0.0,4.818109201638951,,4.818109201638951,4.818109201638951,789.4965347937713,789.4965347937713,789.4965347937713
2024-01-01,2024-1,10,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-02-01,2024-2,25,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-03-01,2024-3,34,3.0,0.08823529411764706,0.0,0.0,0.0,34.0,1.0,0.0,2.125636412487772,,2.125636412487772,2.125636412487772,348.30729476195785,348.30729476195785,348.30729476195785
2024-04-01,2024-4,22,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-05-01,2024-5,11,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-06-01,2024-6,22,1.0,0.045454545454545456,0.0,0.0,0.0,22.0,1.0,0.0,1.0950248185543068,,1.0950248185543068,1.0950248185543068,179.43103063494797,179.43103063494797,179.43103063494797
2024-07-01,2024-7,16,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-08-01,2024-8,21,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-09-01,2024-9,23,2.0,0.08695652173913043,0.0,0.0,0.0,23.0,1.0,0.0,2.094830087669109,,2.094830087669109,2.094830087669109,343.25936295381354,343.25936295381354,343.25936295381354
2024-10-01,2024-10,31,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-11-01,2024-11,20,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-12-01,2024-12,16,2.0,0.125,0.0,0.0,0.0,16.0,1.0,0.0,3.0113182510243437,,3.0113182510243437,3.0113182510243437,493.43533424610695,493.43533424610695,493.43533424610695
2025-01-01,2025-1,8,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2025-02-01,2025-2,18,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2025-03-01,2025-3,18,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2025-04-01,2025-4,26,1.0,0.038461538461538464,0.0,0.0,0.0,26.0,1.0,0.0,0.9265594618536442,,0.9265594618536442,0.9265594618536442,151.82625669110985,151.82625669110985,151.82625669110985
2025-05-01,2025-5,16,2.0,0.125,0.0,0.0,0.0,16.0,1.0,0.0,3.0113182510243437,,3.0113182510243437,3.0113182510243437,493.43533424610695,493.43533424610695,493.43533424610695
2025-06-01,2025-6,22,1.0,0.045454545454545456,1056.0,50.0,0.04734848484848485,1078.0,0.02040816326530612,0.9795918367346939,1.0950248185543068,,1.0950248185543068,0.022347445276618503,3.6618577680601625,179.43103063494797,3.6618577680601625
2025-07-01,2025-7,10,0.0,0.0,1625.0,83.0,0.051076923076923075,1635.0,0.0061162079510703364,0.9938837920489296,0.0,,0.0,0.0,0.0,0.0,0.0
2025-08-01,2025-8,26,1.0,0.038461538461538464,1783.0,75.0,0.04206393718452047,1809.0,0.014372581536760642,0.9856274184632393,0.9265594618536442,,0.9265594618536442,0.013317051414148563,2.1821352537141268,151.82625669110985,2.1821352537141268
2025-09-01,2025-9,25,0.0,0.0,1713.0,86.0,0.050204319906596614,1738.0,0.014384349827387802,0.9856156501726122,0.0,,0.0,0.0,0.0,0.0,0.0
