,source,target,volume,source_idx,target_idx
216,unemployment rate,wage,4,40,22
217,jobs in port moresby,port moresby,100,85,11
218,jobs in port moresby,job,71,85,93
219,jobs in port moresby,part-time job,13,85,44
220,jobs in port moresby,hotel,8,85,35
221,jobs in port moresby,company,4,85,118
222,jobs in port moresby,pngjobseek,4,85,32
223,jobs in port moresby,workforce,4,85,7
224,jobs in port moresby,mining,4,85,138
225,jobs in port moresby,united nations,3,85,105
226,jobs in port moresby,course,3,85,122
227,jobs in port moresby,port,3,85,77
228,jobs in port moresby,recruitment,3,85,64
229,jobs in port moresby,work,3,85,127
230,jobs in port moresby,engineering,3,85,41
231,jobs in port moresby,oil search,3,85,30
232,jobs in port moresby,port moresby,3,85,11
233,jobs in port moresby,government,3,85,37
234,jobs in port moresby,security,3,85,79
235,jobs in port moresby,"australian high commission, papua new guinea",2,85,36
236,jobs in port moresby,seek,2,85,78
237,jobs in port moresby,employment,2,85,23
238,jobs in port moresby,experience,2,85,14
239,job in port moresby,port moresby,100,114,11
240,job in port moresby,job,54,114,93
241,job in port moresby,hotel,7,114,35
242,job in port moresby,job vacancy,7,114,90
243,job in port moresby,work,6,114,127
244,job in port moresby,job hunting,6,114,52
245,job in port moresby,pngjobseek,5,114,32
246,job in port moresby,part-time job,4,114,44
247,job in port moresby,recruitment,4,114,64
248,job in port moresby,address,4,114,125
249,job in port moresby,workforce,3,114,7
250,job in port moresby,company,3,114,118
251,job in port moresby,seek,3,114,78
252,job in port moresby,current,3,114,111
253,job in port moresby,job description,2,114,43
254,job in port moresby,security,2,114,79
255,job in port moresby,salary,2,114,18
256,job in port moresby,application for employment,2,114,67
257,job in port moresby,australian high commission,2,114,4
258,job in lae,lae,100,48,142
259,job in lae,job,52,48,93
260,job in lae,morobe province,10,48,2
261,job in lae,work,8,48,127
262,job in lae,job vacancy,8,48,90
263,job in lae,pngjobseek,6,48,32
264,job in lae,mining,5,48,138
265,job in lae,workforce,5,48,7
266,job in lae,job hunting,5,48,52
267,job in lae,current,5,48,111
268,job in lae,address,4,48,125
269,job in lae,recruitment,4,48,64
270,job in lae,lae biscuit co. ltd,4,48,81
271,job in lae,application for employment,3,48,67
272,job in lae,location,3,48,120
273,job in lae,paradise foods limited,3,48,76
274,job in lae,human resources,2,48,39
275,job in lae,ok tedi mining,2,48,21
276,job in lae,morobe,2,48,42
277,job in lae,employment,2,48,23
278,job in lae,coca-cola,2,48,87
279,job in lae,institute,2,48,54
280,jobs in lae,lae,100,132,142
281,jobs in lae,job,63,132,93
282,jobs in lae,workforce,10,132,7
283,jobs in lae,morobe province,9,132,2
284,jobs in lae,mining,9,132,138
285,jobs in lae,part-time job,8,132,44
286,jobs in lae,work,6,132,127
287,jobs in lae,course,6,132,122
288,jobs in lae,management,5,132,113
289,jobs in lae,recruitment,5,132,64
290,jobs in lae,pngjobseek,5,132,32
291,jobs in lae,ok tedi mining,4,132,21
292,jobs in lae,papua new guinea,4,132,116
293,jobs in lae,current,4,132,111
294,jobs in lae,logistics,4,132,6
295,jobs in lae,accounting,3,132,75
296,jobs in lae,job hunting,3,132,52
297,jobs in lae,application for employment,3,132,67
298,jobs in lae,rent,2,132,136
299,jobs in lae,ok tedi mine,2,132,102
300,jobs in lae,company,2,132,118
301,jobs in lae,account,2,132,51
302,jobs in lae,seek,2,132,78
303,jobs in lae,human resources,1,132,39
