,date,ym,post_courier_news_count,post_courier_epu_count,post_courier_ratio,papua_new_guinea_abc_news_count,papua_new_guinea_abc_epu_count,papua_new_guinea_abc_ratio,png_business_news_count,png_business_epu_count,png_business_ratio,papua_new_guinea_rnz_news_count,papua_new_guinea_rnz_epu_count,papua_new_guinea_rnz_ratio,news_total,post_courier_weights,papua_new_guinea_abc_weights,png_business_weights,papua_new_guinea_rnz_weights,post_courier_z_score,papua_new_guinea_abc_z_score,png_business_z_score,papua_new_guinea_rnz_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
41,2018-06-01,2018-6,64.0,1.0,0.015625,18.0,1.0,0.05555555555555555,0.0,0.0,0.0,62.0,1.0,0.016129032258064516,144.0,0.4444444444444444,0.125,0.0,0.4305555555555556,1.183746338927538,0.6364691772989857,0.0,0.8680973188066048,0.6720782087582822,0.9794322545052339,148.23249110195633,115.03763362601421
42,2018-07-01,2018-7,61.0,0.0,0.0,8.0,1.0,0.125,0.0,0.0,0.0,68.0,2.0,0.029411764705882353,137.0,0.44525547445255476,0.058394160583941604,0.0,0.49635036496350365,0.0,1.4320556489227179,0.0,1.5830009931179265,0.753764160510161,0.8693468082000055,131.57157365224677,129.01957570889553
43,2018-08-01,2018-8,54.0,1.0,0.018518518518518517,11.0,1.0,0.09090909090909091,0.0,0.0,0.0,83.0,1.0,0.012048192771084338,148.0,0.36486486486486486,0.07432432432432433,0.0,0.5608108108108109,1.402958623914119,1.0414950173983402,0.0,0.6484582381446928,0.7732279698642881,0.9529611124915789,144.22620755866024,132.3511382268702
44,2018-09-01,2018-9,43.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,97.0,0.44329896907216493,0.08247422680412371,0.0,0.4742268041237113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2018-10-01,2018-10,67.0,1.0,0.014925373134328358,8.0,1.0,0.125,0.0,0.0,0.0,84.0,0.0,0.0,159.0,0.42138364779874216,0.050314465408805034,0.0,0.5283018867924528,1.130742771512872,1.4320556489227179,0.0,0.0,0.6406996051088975,0.5485296281933596,83.01739385885938,109.66665110750185
46,2018-11-01,2018-11,84.0,0.0,0.0,27.0,4.0,0.14814814814814814,0.0,0.0,0.0,105.0,1.0,0.009523809523809525,216.0,0.3888888888888889,0.125,0.0,0.4861111111111111,0.0,1.6972511394639618,0.0,0.5125907977715191,0.5524604843088702,0.4613324746830392,69.82051247948938,94.56302251518431
47,2018-12-01,2018-12,39.0,1.0,0.02564102564102564,5.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,107.0,0.3644859813084112,0.04672897196261682,0.0,0.5887850467289719,1.9425580946503185,0.0,0.0,0.0,0.4856395236625796,0.7080351933772189,107.15781517240168,83.12547687065509
48,2019-01-01,2019-1,52.0,2.0,0.038461538461538464,5.0,1.0,0.2,0.0,0.0,0.0,74.0,0.0,0.0,131.0,0.3969465648854962,0.03816793893129771,0.0,0.5648854961832062,2.913837141975478,2.2912890382763487,0.0,0.0,1.3012815450629567,1.2440914242298213,188.28741867943222,222.73650249994267
49,2019-02-01,2019-2,42.0,0.0,0.0,14.0,1.0,0.07142857142857142,0.0,0.0,0.0,72.0,2.0,0.027777777777777776,128.0,0.328125,0.109375,0.0,0.5625,0.0,0.8183175136701244,0.0,1.495056493500264,0.5783435017925971,0.9304727556515684,140.82269992467036,98.993341849492
50,2019-03-01,2019-3,32.0,0.0,0.0,7.0,1.0,0.14285714285714285,0.0,0.0,0.0,59.0,1.0,0.01694915254237288,98.0,0.32653061224489793,0.07142857142857142,0.0,0.6020408163265306,0.0,1.6366350273402488,0.0,0.912237860440839,0.637218221945272,0.6661069281366453,100.81216831872175,109.07075307707939
51,2019-04-01,2019-4,49.0,0.0,0.0,8.0,1.0,0.125,0.0,0.0,0.0,75.0,2.0,0.02666666666666667,132.0,0.3712121212121212,0.06060606060606061,0.0,0.5681818181818182,0.0,1.4320556489227179,0.0,1.4352542337602534,0.7168274706707428,0.9022766115409148,136.5553453814985,122.69723206237961
52,2019-05-01,2019-5,98.0,1.0,0.01020408163265306,11.0,3.0,0.2727272727272727,2.0,0.0,0.0,87.0,2.0,0.022988505747126436,198.0,0.494949494949495,0.05555555555555555,0.010101010101010102,0.4393939393939394,0.7730588335853308,3.1244850521950203,0.0,1.2372881325519425,1.2837080045830733,1.0998644888763973,166.45934653549548,219.72849169868212
53,2019-06-01,2019-6,109.0,0.0,0.0,8.0,1.0,0.125,8.0,1.0,0.125,78.0,1.0,0.01282051282051282,203.0,0.5369458128078818,0.03940886699507389,0.03940886699507389,0.3842364532019704,0.0,1.4320556489227179,1.3981255752590263,0.6900260739231987,0.8800518245262356,0.37666740669686427,57.00685040211889,150.6358605924773
54,2019-07-01,2019-7,94.0,1.0,0.010638297872340425,9.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,190.0,0.49473684210526314,0.04736842105263158,0.0,0.45789473684210524,0.80595495416343,0.0,0.0,0.0,0.2014887385408575,0.39873560890190746,60.34676959708936,34.48822976548456
