,date,vanuatu flights-AU,vanuatu hotel-AU,vanuatu travel-AU,vanuatu flights-NZ,vanuatu hotel-NZ,vanuatu travel-NZ,vanuatu flights-US,vanuatu hotel-US,vanuatu travel-US,vanuatu flights-JP,vanuatu hotel-JP,vanuatu travel-JP,vanuatu flights-HK,vanuatu hotel-HK,vanuatu travel-HK,vanuatu flights-NC,vanuatu hotel-NC,vanuatu travel-NC,vanuatu flights,vanuatu hotel,vanuatu travel
48,2008-01-01,35,19,7,0,17,9,0,0,0,0,0,0,0,0,0,0,5,0,1.868697545249215,1.30995099946726,1.3648163991515532
49,2008-02-01,21,21,33,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1.4098957187300036,1.1792855696476958,1.5723580008082156
50,2008-03-01,46,37,21,8,14,12,6,8,0,0,0,0,0,0,0,0,4,0,2.2547876921236334,1.3360673712083802,0.9784681025058453
51,2008-04-01,10,21,43,7,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0.6834470699195535,1.0815734308086713,0.7420602642641658
52,2008-05-01,36,22,17,12,20,8,0,0,0,0,0,0,0,0,0,0,0,0,1.6914033171794325,1.1394698221382298,1.2830286260594181
53,2008-06-01,22,5,27,28,12,0,16,0,0,0,0,0,0,0,0,0,0,0,1.349407169500795,1.3358438718753793,1.4331456696313722
54,2008-07-01,26,44,37,13,15,13,0,0,26,0,0,0,0,0,0,0,0,0,1.446770475028916,2.236663649334419,1.8854496841875286
55,2008-08-01,17,17,36,15,16,0,7,0,9,0,0,0,0,0,0,0,0,0,1.3547837506409335,1.0308849605276973,1.5300536966056875
56,2008-09-01,32,13,40,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,1.9301914499429704,1.4173411139534358,1.1722132236287093
57,2008-10-01,28,22,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.2955506129593646,1.0419729219278575,1.1043855420340702
58,2008-11-01,39,15,46,0,0,17,10,7,8,0,0,0,0,0,0,0,0,0,1.544532950871374,1.2392144763534128,1.6898552068915993
59,2008-12-01,28,17,21,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8974409599543174,0.9832656298367386,1.1244220817737989
60,2009-01-01,29,17,32,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1.2614107592182608,1.198152985154254,1.5602280875974237
61,2009-02-01,20,13,38,14,0,7,0,0,8,0,0,0,0,0,0,0,3,0,1.2430251464566027,1.5060875749903149,1.2008762604781285
62,2009-03-01,31,19,32,7,0,9,0,0,0,0,0,0,0,0,0,0,5,0,1.5981484280360954,1.491989529356545,1.1195707173966214
63,2009-04-01,30,33,17,19,12,19,8,0,0,0,0,0,0,0,0,0,4,0,1.6854294812428494,1.7455712478016197,1.1978518397409756
64,2009-05-01,32,19,23,12,15,21,0,6,12,0,0,0,0,0,0,0,4,0,1.6484896848217063,1.267542078572084,1.3709482340657342
65,2009-06-01,41,19,29,18,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0.9550082042758393,1.399417702484527,1.3492724288323732
66,2009-07-01,34,21,31,0,8,17,0,0,0,0,0,0,0,0,0,0,3,0,1.4248034398181815,1.267999660325923,1.5685459077794592
67,2009-08-01,38,33,25,0,17,9,0,0,20,0,0,0,0,0,0,0,0,0,1.715494220122917,1.944048202901266,1.6733853323196688
68,2009-09-01,39,24,27,0,0,10,10,13,5,0,0,0,0,0,0,0,0,0,1.742354166293594,1.3249954479834458,1.498487131508919
69,2009-10-01,34,18,32,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,1.4433766024671781,0.9596348667961941,1.3008955803641282
70,2009-11-01,36,20,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624653110499004,1.322358985956446,0.9562207559442607
71,2009-12-01,16,33,14,0,6,0,18,7,0,0,0,0,0,0,0,0,0,0,1.220844413791575,1.9472690140048163,0.7612979742105437
72,2010-01-01,43,21,21,0,8,13,7,0,8,0,0,0,0,0,0,0,0,0,1.3000703962031666,1.5750713601675355,0.9585367798139369
73,2010-02-01,36,20,19,9,15,9,0,0,0,0,0,0,0,0,0,0,5,0,1.6752394849529342,0.9708755442934539,1.4938718931707873
74,2010-03-01,22,28,21,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1.5416420742420356,1.0002748716997112,0.8960670071742607
75,2010-04-01,34,26,15,17,8,5,9,0,0,0,0,0,0,0,0,0,5,0,1.4772076823901943,1.8470847453485217,0.8700549245664227
76,2010-05-01,32,28,18,20,12,9,0,7,16,0,0,0,0,0,0,0,0,0,1.7827249040548074,1.5571503666922297,1.0634996280783187
77,2010-06-01,26,28,19,0,10,8,5,0,5,0,0,0,0,0,0,0,0,0,1.278767519151203,1.5252028317609916,0.9921285933727922
78,2010-07-01,44,36,34,14,13,5,0,0,7,0,0,0,0,0,0,0,5,0,1.8495250981400038,2.1434323182101163,1.845240657743396
79,2010-08-01,34,31,33,10,11,0,0,0,0,0,0,0,0,0,0,0,2,0,1.6976993795501405,2.199609333978046,1.5609543616012875
80,2010-09-01,34,36,20,4,8,5,0,0,0,0,0,0,0,0,0,0,5,0,1.3964390406120917,1.7814190134016432,1.0541730543800105
81,2010-10-01,34,24,32,11,14,9,6,0,0,0,0,0,0,0,0,0,2,0,1.7016926237814818,1.350166845926695,1.5243452083685862
82,2010-11-01,41,26,19,12,9,11,0,0,12,0,0,0,0,0,0,0,6,0,1.616128463663949,1.5579877567102316,0.8790030178582741
83,2010-12-01,21,27,12,0,5,10,6,10,0,0,0,0,0,0,0,0,0,0,1.0404554062621654,1.2024877083389036,0.5908223521220441
84,2011-01-01,36,27,29,20,7,14,4,0,0,0,0,0,0,0,0,0,3,0,1.67800258462383,1.4058932698816295,1.2906880489450567
85,2011-02-01,40,19,20,6,7,9,0,3,0,0,0,0,0,0,0,0,1,0,1.6660767202848048,1.1299261757222547,1.1627487188602559
86,2011-03-01,38,20,19,14,3,9,0,5,5,0,0,0,0,0,0,0,2,0,1.8557635366548502,1.1620930466977297,1.1021896600114849
87,2011-04-01,42,19,8,6,4,8,0,6,0,0,0,0,0,0,0,0,3,0,1.636622490671504,1.1979184836945025,0.7099963254789
88,2011-05-01,30,13,17,10,9,9,3,0,14,0,0,0,0,0,0,0,4,0,1.3936846612707787,0.9989387050466638,1.081846554778271
89,2011-06-01,34,15,21,6,9,12,0,0,7,0,0,0,0,0,0,0,2,0,1.7743758040270392,0.972075196994575,1.1596946230373524
90,2011-07-01,44,16,22,9,5,20,0,7,0,0,0,0,0,0,0,0,0,0,1.8156029713043484,1.287391527825701,1.3030237945530887
91,2011-08-01,34,19,17,6,11,11,0,6,0,0,0,0,0,0,0,0,0,0,1.3325401041520173,1.409233053925254,0.9797708454359961
92,2011-09-01,31,14,9,8,6,11,0,0,0,0,0,0,0,0,0,0,2,0,1.4910527757721004,1.0148825842721971,0.8705632782207012
93,2011-10-01,37,17,23,4,3,10,9,4,0,0,0,0,0,0,0,0,1,0,1.7810416139338086,0.9746134863506654,0.8573283393506952
94,2011-11-01,31,20,16,6,12,4,3,0,5,0,0,0,0,0,0,0,0,0,1.3135774979779773,0.8697434878142647,0.5616374667517394
95,2011-12-01,29,14,20,0,0,3,0,5,4,0,0,0,0,0,0,0,2,0,1.0616196439493526,0.9207348739697166,0.6971276946353647
96,2012-01-01,35,19,28,9,7,5,0,3,0,0,0,0,0,0,0,0,3,0,1.3176127766976484,0.917876206522845,1.0212893271697563
97,2012-02-01,30,28,19,10,15,17,3,0,0,0,0,0,0,0,0,0,1,0,1.3803777641441044,1.2882743343404544,1.086934301139737
98,2012-03-01,36,15,16,11,7,9,0,8,5,0,0,0,0,0,0,0,5,0,1.5972757281326704,1.1235466407169645,0.8301181628512884
99,2012-04-01,29,18,14,14,0,10,2,0,4,0,0,0,0,0,0,0,4,0,1.4267445729079398,1.1362408103786565,1.050309804624371
100,2012-05-01,20,23,19,13,0,13,0,3,0,0,0,0,0,0,0,0,2,0,1.4857820905750598,1.5396270382908228,1.0942402598566456
101,2012-06-01,42,17,18,10,11,12,5,6,7,0,0,0,0,0,0,0,2,0,1.6256761535437751,0.9490228942102406,0.9941591192177942
102,2012-07-01,49,22,23,19,7,8,9,2,11,0,0,0,0,0,0,0,2,0,2.40010832613977,1.31057377872813,1.2597497485041067
103,2012-08-01,33,22,17,12,6,7,0,6,5,0,0,0,0,0,0,0,5,0,1.7324738956257877,1.7235251387742374,1.1457906664014572
104,2012-09-01,39,16,17,9,4,9,0,3,0,0,0,0,0,0,0,0,2,0,1.8599407905944791,1.1664488495601417,0.9992814575846204
105,2012-10-01,24,16,13,6,0,7,0,0,0,0,0,0,0,0,0,0,3,0,1.178365344781611,1.0813933408808063,0.6507023598910223
106,2012-11-01,30,10,14,11,3,9,0,6,6,0,0,0,0,0,0,0,2,0,1.4217449650743395,0.7124446657304774,0.7134397546837199
107,2012-12-01,23,15,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0232101162978522,0.7510799566022921,0.5813870672684897
108,2013-01-01,48,14,20,4,6,5,0,0,0,0,0,0,0,0,0,0,3,0,1.8765936397138785,0.9703225905755712,0.8533852905062178
109,2013-02-01,36,12,14,7,5,7,4,0,4,0,0,0,0,0,0,0,2,0,1.5178430330631145,0.8952315551193324,0.764542528085871
110,2013-03-01,36,12,13,11,5,8,0,0,3,0,0,0,0,0,0,0,2,0,1.5712847382760473,0.7707434289323595,0.7747502001275722
111,2013-04-01,38,12,16,9,8,10,0,0,0,0,0,0,0,0,0,0,3,0,1.7215303022100457,1.0638427799176808,0.8428314561528509
112,2013-05-01,30,12,12,13,11,5,2,0,0,0,0,0,0,0,0,0,1,0,1.5062944090905863,1.0297567745483225,0.7434798001374865
113,2013-06-01,40,16,21,7,0,7,0,0,5,0,0,0,0,0,0,0,2,0,1.6923262187084736,0.9430195963942769,1.241673574029864
114,2013-07-01,33,18,15,8,6,10,0,2,3,0,0,0,0,0,0,0,1,0,1.4526738406671758,1.0040418387621002,0.9258075170261266
115,2013-08-01,35,16,16,4,10,5,3,0,3,0,0,0,0,0,0,0,2,0,1.5381013593529531,1.0028896509634426,1.056432946263979
116,2013-09-01,32,18,15,6,3,9,0,2,3,0,0,0,0,0,0,0,1,0,1.437340205340087,0.9328772071032854,0.9368273506869934
117,2013-10-01,30,13,16,4,5,8,3,0,3,0,0,0,0,0,0,0,0,0,1.2877126444413984,0.8040329980683201,0.7076974704016616
118,2013-11-01,26,16,17,2,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0.9852813179572534,0.8203102657329959,0.6427196689983578
119,2013-12-01,24,13,17,7,9,4,0,0,2,0,0,0,0,0,0,0,2,0,1.005702384640955,0.7024631712502425,0.8961894870270666
120,2014-01-01,39,10,17,8,0,6,0,2,0,0,0,0,0,0,0,0,3,0,1.5301256462433876,0.8564286654152891,0.9741562892629974
121,2014-02-01,31,9,14,8,6,13,0,0,5,0,0,0,0,0,0,0,1,0,1.2673632626245257,0.7680479141780008,0.8704662822800915
122,2014-03-01,28,12,11,6,1,8,4,0,2,0,0,0,0,0,0,0,2,0,1.3067574223908955,0.7851619964810175,0.7547741198126386
123,2014-04-01,23,11,14,6,4,2,6,0,4,0,0,0,0,0,0,0,4,0,0.9891931823918898,0.6217403994902169,0.6903929208832661
124,2014-05-01,28,9,13,6,2,9,3,0,0,0,0,0,0,0,0,0,2,0,1.2438175230016937,0.7541367605597954,0.773106103298982
125,2014-06-01,31,13,13,12,7,6,0,2,0,0,0,0,0,0,0,0,2,0,1.409381653094025,0.8439283071954243,0.5885422103521829
126,2014-07-01,28,11,17,12,4,12,5,0,0,0,0,0,0,0,0,0,1,0,1.395926337225663,0.7449078524649194,0.8994065438954818
127,2014-08-01,37,8,13,7,2,9,0,0,3,0,0,0,0,0,0,0,1,0,1.7097438531726092,0.5914935770785092,0.8883194687183953
128,2014-09-01,25,14,16,9,3,6,4,6,0,0,0,0,0,0,0,0,2,0,1.1493927309173522,0.8441739406890614,0.8719142146261629
129,2014-10-01,28,8,14,5,2,4,0,0,2,0,0,0,0,0,0,0,1,0,1.1348902456387395,0.5198213320315028,0.7181004998846416
130,2014-11-01,24,10,15,0,2,4,0,3,4,0,0,0,0,0,0,0,1,0,1.005238041492699,0.5946999599129448,0.7747663535457087
131,2014-12-01,31,7,12,5,0,2,0,0,3,0,0,0,0,0,0,0,1,0,1.1570143910154527,0.5782109117168641,0.6738092728360452
132,2015-01-01,29,10,17,6,3,3,0,0,0,0,0,0,0,0,0,0,3,0,1.4101796931350505,0.7868742703267644,0.8700314902041454
133,2015-02-01,26,7,15,2,5,9,0,0,3,0,0,0,0,0,0,0,3,0,1.11572886931689,0.8518375734186533,0.7862704379221921
134,2015-03-01,35,16,27,8,6,7,9,5,15,0,0,0,0,0,0,0,1,0,1.9578773403629028,1.6476250242150612,1.6568756206832638
135,2015-04-01,16,4,5,6,0,7,0,2,7,0,0,0,0,0,0,0,1,0,0.7025847560723407,0.40223146650475416,0.5259613011810644
136,2015-05-01,17,8,10,9,5,6,3,0,5,0,0,0,0,0,0,0,2,0,0.8730188711094232,0.5959366684766464,0.5152180126520203
137,2015-06-01,19,9,8,8,7,9,3,3,0,0,0,0,0,0,0,0,2,0,0.9058822148227466,0.6797192622838121,0.5764114500097697
138,2015-07-01,19,8,10,9,6,12,0,3,2,0,0,0,0,0,0,0,1,0,0.9837137209197665,0.7673237730971465,0.7519836320531724
139,2015-08-01,28,12,13,9,3,7,5,0,2,0,0,0,0,0,0,0,1,0,1.2804401058279475,0.7199413557647332,0.7725755075366336
140,2015-09-01,28,9,13,9,0,9,4,4,0,0,0,0,0,0,0,0,3,0,1.246744928475962,0.6256544023931124,0.5612560449497905
141,2015-10-01,22,5,11,4,5,4,9,0,2,0,0,0,0,0,0,0,2,0,0.9890420076287293,0.7348438760449689,0.4507991862776501
142,2015-11-01,22,8,11,8,2,6,0,0,0,0,0,0,0,0,0,0,3,0,0.9303680413120974,0.705150133174916,0.5890812401779055
143,2015-12-01,20,11,10,6,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0.9017833773662818,0.5812811447315496,0.4532586837893905
144,2016-01-01,39,10,13,15,3,7,0,0,2,0,0,0,0,0,0,0,2,0,1.7855769992787451,0.7878220837964599,0.6142331774742387
145,2016-02-01,31,7,10,4,0,3,6,8,3,0,0,0,0,0,0,0,1,0,1.312127450978766,0.48442687360867875,0.4676413738389516
146,2016-03-01,23,7,9,3,4,3,0,4,4,0,0,0,0,0,0,0,2,0,1.0748460550574381,0.5879064511212166,0.4938214188383973
147,2016-04-01,19,7,12,8,3,11,4,2,4,0,0,0,0,0,0,0,1,0,1.0327801994016348,0.6292224334495374,0.7508289554370726
148,2016-05-01,30,4,10,8,7,4,0,5,0,0,0,0,0,0,0,0,2,0,1.5130343398944073,0.6658405454213518,0.5896795990389563
149,2016-06-01,26,7,13,5,4,6,4,2,4,0,0,0,0,0,0,0,1,0,1.2051205140672798,0.5200858710018214,0.5886280359988055
150,2016-07-01,31,6,7,11,0,4,2,0,0,0,0,0,0,0,0,0,4,0,1.4720565860655626,0.6347657684440441,0.5459423103708646
151,2016-08-01,25,9,10,4,7,0,4,0,4,0,0,0,0,0,0,0,1,0,1.3038422123887354,0.5823317703877603,0.6592296780880664
152,2016-09-01,22,9,7,8,3,0,5,0,0,0,0,0,0,0,0,0,1,0,1.1186816925704006,0.6420084605984622,0.34466036874002515
153,2016-10-01,28,6,10,8,0,4,14,8,7,0,0,0,0,0,0,0,1,0,1.548038118116524,0.5802775744760097,0.6457832990501517
154,2016-11-01,27,7,12,7,2,5,9,4,2,0,0,0,0,0,0,0,0,0,1.3189742899483228,0.5024403181268308,0.713061873879463
155,2016-12-01,22,4,6,7,2,5,12,0,6,0,0,0,0,0,0,0,2,0,1.1696779324948832,0.472804886891719,0.5229637146444841
156,2017-01-01,36,10,16,7,3,4,13,5,4,0,0,0,0,0,0,0,2,0,1.6120163141038932,0.7009443578736765,0.7619757784234159
157,2017-02-01,31,10,11,10,3,0,9,10,0,0,0,0,0,0,0,0,2,0,1.421548113586582,0.552056898538925,0.6012590691627161
158,2017-03-01,27,6,12,12,2,4,2,3,2,0,0,0,0,0,0,0,2,0,1.3419114618855674,0.5450441342421543,0.6335190063017416
159,2017-04-01,32,9,13,7,3,4,0,1,4,0,0,0,0,0,0,0,1,0,1.3438832221135601,0.4820701316314357,0.5617228998247473
160,2017-05-01,27,7,9,10,2,0,5,3,2,0,0,0,0,0,0,0,3,0,1.4692904941616718,0.6918217594690677,0.7001406956608058
161,2017-06-01,33,7,11,9,0,5,3,2,0,0,0,0,0,0,0,0,0,0,1.3786311575397028,0.5065253861569788,0.6730177832608675
162,2017-07-01,37,10,14,12,4,2,5,0,4,0,0,0,0,0,0,0,2,0,1.6473274663311483,0.7352103721294656,0.8096419178049777
163,2017-08-01,34,8,16,8,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1.5442949466273577,0.5123143925152341,0.7432601218775741
164,2017-09-01,26,8,18,9,0,8,0,3,5,0,0,0,0,0,0,0,1,0,1.5006955533412047,0.5085290348935002,0.9424562578716181
165,2017-10-01,35,8,11,10,0,6,2,3,3,0,0,0,0,0,0,0,2,0,1.5682491584080103,0.8087176342638657,0.6709654559019974
166,2017-11-01,28,8,9,2,0,4,2,0,4,0,0,0,0,0,0,0,2,0,1.0772930538802963,0.5726532011803055,0.5005439995999471
167,2017-12-01,25,5,13,8,3,2,4,2,1,0,0,0,0,0,0,0,1,0,1.2634877611404196,0.500032539168673,0.49184387818665126
168,2018-01-01,35,10,18,6,3,5,4,0,2,0,0,0,0,0,0,0,2,0,1.5937802770486307,0.6759753323983286,0.7948642879821292
169,2018-02-01,31,9,11,9,3,2,3,0,0,0,0,0,0,0,0,0,1,0,1.462475160716265,0.48684772259649367,0.585837334330837
170,2018-03-01,23,9,11,4,0,0,2,1,3,0,0,0,0,0,0,0,2,0,1.0656317297102285,0.5460230578039297,0.5858407541644272
171,2018-04-01,27,3,11,7,0,2,4,0,6,0,0,0,0,0,0,0,3,0,1.485438288489117,0.5691461861834965,0.5818118497238188
172,2018-05-01,24,6,13,8,2,6,5,2,3,0,0,0,0,0,0,0,1,0,1.2924395588712736,0.44083997396666696,0.6655185833152846
173,2018-06-01,23,8,8,8,2,6,3,0,1,0,0,0,0,0,0,0,0,0,1.2474692296852297,0.621141558345381,0.5032746654101795
174,2018-07-01,32,7,14,7,0,3,7,4,0,0,0,0,0,0,0,0,1,0,1.3440813798612175,0.45939747978901463,0.6849066211620634
175,2018-08-01,29,6,14,9,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1.4322976852177034,0.5607360890568578,0.649268175326018
176,2018-09-01,25,11,13,9,0,4,2,5,6,0,0,0,0,0,0,0,0,0,1.1218844035843332,0.4592092420781552,0.6442843395718589
177,2018-10-01,28,9,12,6,0,1,3,2,1,0,0,0,0,0,0,0,2,0,1.196582397135338,0.5689161412856885,0.574320483115779
178,2018-11-01,30,9,10,5,2,2,0,0,2,0,0,0,0,0,0,0,2,0,1.3106499223864911,0.6253317032663603,0.7119479010638301
179,2018-12-01,27,6,9,3,3,6,0,2,0,0,0,0,0,0,0,0,3,0,1.0052619136371812,0.4828226248720706,0.46087427709774864
180,2019-01-01,35,8,13,11,3,2,0,3,5,0,0,0,0,0,0,0,7,0,1.4992680388665418,0.6844697324414455,0.626925933562652
181,2019-02-01,31,7,8,10,6,2,7,1,2,0,0,0,0,0,0,0,2,0,1.516247615268315,0.5468794917370412,0.5095652832097013
182,2019-03-01,25,6,9,10,0,6,4,2,3,0,0,0,0,0,0,0,2,0,1.3279226242984927,0.4536089468903952,0.568202530022003
183,2019-04-01,28,6,11,13,2,7,4,0,0,0,0,0,0,0,0,0,3,0,1.4848965874096474,0.5282381581754757,0.6674760109862828
184,2019-05-01,23,4,10,5,6,5,4,0,1,0,0,0,0,0,0,0,2,0,1.1575469278287558,0.6516386390508908,0.5841895091469199
185,2019-06-01,21,9,10,12,2,5,5,0,2,0,0,0,0,0,0,0,2,0,1.236567884340708,0.6765808552817333,0.6210341900665823
186,2019-07-01,27,6,12,6,0,2,4,4,2,0,0,0,0,0,0,0,1,0,1.276462282911745,0.5217440859490944,0.68596560363288
187,2019-08-01,25,6,10,14,2,6,2,3,3,0,0,0,0,0,0,0,1,0,1.4024535192411773,0.5437563274619723,0.48162027988763034
188,2019-09-01,28,7,14,9,1,4,7,3,2,0,0,0,0,0,0,0,1,0,1.4220907295102512,0.6594975552691089,0.7469220123830944
189,2019-10-01,24,7,12,11,3,1,3,3,0,0,0,0,0,0,0,0,1,0,1.3028570085481344,0.6100349131821412,0.6450586024901324
