,date,solomon islands flights-AU,solomon islands hotel-AU,solomon islands travel-AU,solomon islands flights-NZ,solomon islands hotel-NZ,solomon islands travel-NZ,solomon islands flights-US,solomon islands hotel-US,solomon islands travel-US,solomon islands flights-JP,solomon islands hotel-JP,solomon islands travel-JP,solomon islands flights-HK,solomon islands hotel-HK,solomon islands travel-HK,solomon islands flights-NC,solomon islands hotel-NC,solomon islands travel-NC,solomon islands flights,solomon islands hotel,solomon islands travel
58,2008-11-01,8,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.258504813326442,0.2723458662454104,0.0
59,2008-12-01,9,14,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0.2122615627980874,0.3571970159607353,0.0
60,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2560643935624539,0.005862290165442983,0.12848867871616837
61,2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20048803610410812,0.2678442313374149,0.15846441098988337
62,2009-03-01,0,4,0,0,0,0,1,14,14,0,0,0,0,0,0,0,0,0,0.011706908347211996,0.2662050566966995,0.2669983925744016
63,2009-04-01,13,0,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.4762276702630768,0.1569404887766834,0.3173948533045204
64,2009-05-01,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0.24298164086924945,0.16843535373024615,0.0
65,2009-06-01,0,7,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2386601053486937
66,2009-07-01,7,0,6,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0.3318664208234232,0.1508403497063187,0.0
67,2009-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.23148276055984085,0.13670586250496966
68,2009-09-01,11,0,0,0,0,0,19,0,11,0,0,0,0,0,0,0,0,0,0.4724901178061391,0.275752249335945,0.1612549245154019
69,2009-10-01,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0.4484104692136219,0.28521950599190105,0.34474118617230454
70,2009-11-01,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3209255435443109,0.10883523151375346,0.0
71,2009-12-01,0,4,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0.0,0.15649026748734388,0.0
