,Year,Month,Australia,New Zealand,New Caledonia,Other PIC,Europe,North America,Japan,China,Other Countries,Total,filename,Not Stated,month
54,2006.0,Apr,2956,611,497,170,247.0,119,42,0.0,100,4742,Tou12_December_News_2007.csv,0.0,4.0
55,2006.0,Feb,2482,4179,550,197,272.0,89,44,0.0,72,7885,Tou12_December_News_2007.csv,0.0,2.0
56,2006.0,Dec,4413,925,983,178,340.0,170,63,0.0,139,7211,Tou12_December_News_2007.csv,0.0,12.0
57,2006.0,Dec,4413,925,983,178,340.0,170,63,0.0,139,7211,Tou12_December_2006.csv,0.0,12.0
58,2006.0,May,2580,731,577,229,243.0,129,50,0.0,114,4653,Tou12_December_2006.csv,0.0,5.0
59,2006.0,Jul,3802,1132,652,198,477.0,260,72,0.0,119,6712,Tou12_December_News_2007.csv,0.0,7.0
60,2006.0,Jan,3731,397,810,151,330.0,133,31,0.0,79,5662,Tou12_December_News_2007.csv,0.0,1.0
61,2006.0,Dec,4413,925,983,178,340.0,170,63,0.0,139,7211,TM12_December_2009_News.csv,0.0,12.0
62,2006.0,Mar,2913,327,286,181,217.0,96,59,0.0,100,4179,Tou12_December_News_2007.csv,0.0,3.0
63,2006.0,Jul,3802,1132,652,198,477.0,260,72,0.0,119,6712,Tou12_December_2006.csv,0.0,7.0
64,2006.0,Aug,2874,1171,565,338,429.0,219,91,0.0,130,5817,Tou12_December_2006.csv,0.0,8.0
65,2006.0,Mar,2913,327,286,181,217.0,96,59,0.0,100,4179,Tou12_December_2006.csv,0.0,3.0
66,2006.0,Oct,3705,1020,542,235,443.0,149,50,0.0,95,6239,Tou12_December_2006.csv,0.0,10.0
67,2006.0,Apr,2956,611,497,170,247.0,119,42,0.0,100,4742,Tou12_December_2006.csv,0.0,4.0
68,2006.0,Nov,3526,777,681,325,403.0,161,61,0.0,102,6036,Tou12_December_2006.csv,0.0,11.0
69,2006.0,Sep,4076,1312,888,234,384.0,175,55,0.0,107,7231,Tou12_December_News_2007.csv,0.0,9.0
70,2006.0,Aug,2874,1171,565,338,429.0,219,91,0.0,130,5817,Tou12_December_News_2007.csv,0.0,8.0
71,2006.0,Dec,4413,925,983,178,340.0,170,63,0.0,139,7211,TM12_December_2008_News.csv,0.0,12.0
72,2006.0,Jan,3731,397,810,151,330.0,133,31,0.0,79,5662,Tou12_December_2006.csv,0.0,1.0
73,2006.0,Feb,2482,242,550,197,272.0,89,44,0.0,72,3948,Tou12_December_2006.csv,0.0,2.0
74,2006.0,Jun,3327,1176,449,245,236.0,196,38,0.0,82,5749,Tou12_December_2006.csv,0.0,6.0
75,2006.0,Sep,4076,1312,888,234,384.0,175,55,0.0,107,7231,Tou12_December_2006.csv,0.0,9.0
76,2007.0,Feb,2604,298,592,168,290.0,124,47,0.0,111,4234,Tou12_December_News_2007.csv,0.0,2.0
77,2007.0,Mar,3618,570,422,368,280.0,176,69,0.0,264,5768,Tou12_December_News_2007.csv,0.0,3.0
78,2007.0,May,3305,949,765,220,218.0,268,33,0.0,85,5842,Tou12_December_News_2007.csv,0.0,5.0
79,2007.0,Apr,3876,912,615,168,287.0,259,79,0.0,132,6329,Tou12_December_News_2007.csv,0.0,4.0
80,2007.0,Sep,4889,1552,903,290,243.0,196,70,0.0,161,8304,Tou12_December_News_2007.csv,0.0,9.0
81,2007.0,Dec,4809,902,905,374,361.0,155,58,0.0,155,7720,TM12_December_2008_News.csv,0.0,12.0
82,2007.0,Nov,4050,997,840,246,396.0,160,36,0.0,145,6869,Tou12_December_News_2007.csv,0.0,11.0
83,2007.0,Jun,3986,1267,564,153,191.0,275,48,0.0,152,6636,Tou12_December_News_2007.csv,0.0,6.0
84,2007.0,Jul,4361,2717,764,357,405.0,409,109,0.0,181,9302,Tou12_December_News_2007.csv,0.0,7.0
85,2007.0,Aug,3785,1472,660,203,465.0,264,69,0.0,158,7076,Tou12_December_News_2007.csv,0.0,8.0
86,2007.0,Oct,4175,1273,473,202,278.0,195,59,0.0,130,6786,Tou12_December_News_2007.csv,0.0,10.0
87,2007.0,Jan,4016,709,974,151,371.0,98,68,0.0,93,6479,Tou12_December_News_2007.csv,0.0,1.0
88,2007.0,Dec,4809,902,905,374,361.0,155,58,0.0,155,7720,Tou12_December_News_2007.csv,0.0,12.0
89,2007.0,Oct,4175,1273,473,202,278.0,195,59,0.0,130,6786,TM12_December_2008_News.csv,0.0,10.0
90,2007.0,Apr,3876,912,615,168,287.0,259,79,0.0,132,6329,TM12_December_2008_News.csv,0.0,4.0
91,2007.0,Jul,4361,2717,764,357,405.0,409,109,0.0,181,9302,TM12_December_2008_News.csv,0.0,7.0
92,2007.0,Dec,4809,902,905,374,361.0,155,58,0.0,155,7720,TM12_December_2009_News.csv,0.0,12.0
93,2007.0,Jan,4016,709,974,151,371.0,98,68,0.0,93,6479,TM12_December_2008_News.csv,0.0,1.0
94,2007.0,Nov,4050,997,840,246,396.0,160,36,0.0,145,6869,TM12_December_2008_News.csv,0.0,11.0
95,2007.0,Sep,4889,1552,903,290,243.0,196,70,0.0,161,8304,TM12_December_2008_News.csv,0.0,9.0
96,2007.0,Jun,3986,1267,564,153,191.0,275,48,0.0,152,6636,TM12_December_2008_News.csv,0.0,6.0
97,2007.0,May,3305,949,765,220,218.0,268,33,0.0,85,5842,TM12_December_2008_News.csv,0.0,5.0
98,2007.0,Feb,2604,298,592,168,290.0,124,47,0.0,111,4234,TM12_December_2008_News.csv,0.0,2.0
99,2007.0,Mar,3618,570,422,368,280.0,176,69,0.0,264,5768,TM12_December_2008_News.csv,0.0,3.0
100,2007.0,Dec,4050,997,840,246,396.0,160,36,0.0,145,6869,2011-TM-12-December_News.csv,0.0,12.0
101,2007.0,Aug,3785,1472,660,203,465.0,264,69,0.0,158,7076,TM12_December_2008_News.csv,0.0,8.0
102,2008.0,June,4579,1586,690,339,364.0,238,62,0.0,203,8060,TM12_December_2009_News.csv,0.0,6.0
103,2008.0,Oct,5154,1393,746,325,390.0,193,25,0.0,193,8420,TM12_December_2009_News.csv,0.0,10.0
104,2008.0,Aug,4635,1876,814,379,566.0,316,58,0.0,155,8799,TM12_December_2009_News.csv,0.0,8.0
105,2008.0,Sep,5678,1473,1014,295,459.0,191,54,0.0,118,9283,TM12_December_2009_News.csv,0.0,9.0
106,2008.0,May,3543,811,922,476,296.0,227,34,0.0,193,6502,TM12_December_2009_News.csv,0.0,5.0
107,2008.0,Apr,3502,1049,580,295,297.0,206,76,0.0,166,6172,TM12_December_2009_News.csv,0.0,4.0
108,2008.0,Jan,3955,715,945,250,295.0,229,51,0.0,126,6566,TM12_December_2009_News.csv,0.0,1.0
109,2008.0,Feb,2542,552,825,251,283.0,153,44,0.0,154,4804,TM12_December_2009_News.csv,0.0,2.0
110,2008.0,Dec,5622,706,1073,308,364.0,125,48,0.0,178,8424,TM12_December_2009_News.csv,0.0,12.0
111,2008.0,July,5250,1888,810,265,718.0,375,33,0.0,204,9543,TM12_December_2009_News.csv,0.0,7.0
112,2008.0,Mar,3877,776,514,263,317.0,179,53,0.0,169,6148,TM12_December_2009_News.csv,0.0,3.0
113,2008.0,Nov,4914,1091,715,312,537.0,146,51,0.0,169,7936,TM12_December_2009_News.csv,0.0,11.0
114,2008.0,Feb,2542,552,825,251,283.0,153,44,0.0,154,4804,TM12_December_2008_News.csv,0.0,2.0
115,2008.0,May,3543,811,922,476,296.0,227,34,0.0,193,6502,TM12_December_2008_News.csv,0.0,5.0
116,2008.0,July,5250,1888,810,265,718.0,375,33,0.0,204,9543,TM12_December_2008_News.csv,0.0,7.0
117,2008.0,Apr,3502,1049,580,295,297.0,206,76,0.0,166,6172,TM12_December_2008_News.csv,0.0,4.0
118,2008.0,Oct,5154,1393,746,325,390.0,193,25,0.0,193,8420,TM12_December_2008_News.csv,0.0,10.0
119,2008.0,Sep,5678,1473,1014,295,459.0,191,54,0.0,118,9283,TM12_December_2008_News.csv,0.0,9.0
120,2008.0,Dec,5622,706,1073,308,364.0,125,48,0.0,178,8424,TM12_December_2008_News.csv,0.0,12.0
121,2008.0,Aug,4635,1876,814,379,566.0,316,58,0.0,155,8799,TM12_December_2008_News.csv,0.0,8.0
122,2008.0,Nov,4914,1091,715,312,537.0,146,51,0.0,169,7936,TM12_December_2008_News.csv,0.0,11.0
123,2008.0,Mar,3877,776,514,263,317.0,179,53,0.0,169,6148,TM12_December_2008_News.csv,0.0,3.0
124,2008.0,Jan,3955,715,945,250,295.0,229,51,0.0,126,6566,TM12_December_2008_News.csv,0.0,1.0
125,2008.0,June,4579,1586,690,339,364.0,238,62,0.0,203,8060,TM12_December_2008_News.csv,0.0,6.0
126,2008.0,Dec,4914,1091,715,312,537.0,146,51,0.0,169,7936,2011-TM-12-December_News.csv,0.0,12.0
127,2009.0,Sep,6662,1524,1036,327,340.0,269,86,0.0,205,10449,TM12_December_2009_News.csv,0.0,9.0
128,2009.0,Dec,5631,688,1197,374,365.0,189,49,0.0,201,8693,TM12_December_2009_News.csv,0.0,12.0
129,2009.0,Nov,4963,828,831,255,418.0,228,29,0.0,187,7739,TM12_December_2009_News.csv,0.0,11.0
130,2009.0,Jan,5843,640,922,149,391.0,124,62,0.0,143,8274,TM12_December_2009_News.csv,0.0,1.0
131,2009.0,0,64909,12607,9155,3708,4890.0,2549,642,0.0,2216,100675,2013-TM-12-December_News.csv,0.0,
132,2009.0,Oct,6633,1352,790,483,435.0,213,37,0.0,192,10135,TM12_December_2009_News.csv,0.0,10.0
133,2009.0,June,5098,1083,367,229,319.0,215,40,0.0,152,7503,TM12_December_2009_News.csv,0.0,6.0
134,2009.0,Dec,5631,688,1197,374,365.0,189,49,0.0,201,8693,2011-TM-12-December_News.csv,0.0,12.0
135,2009.0,Apr,5063,829,643,246,403.0,128,48,0.0,127,7488,TM12_December_2009_News.csv,0.0,4.0
136,2009.0,May,4247,1005,914,353,400.0,227,46,0.0,163,7354,TM12_December_2009_News.csv,0.0,5.0
137,2009.0,Mar,4647,649,362,234,340.0,138,64,0.0,122,6557,TM12_December_2009_News.csv,0.0,3.0
138,2009.0,Feb,3966,369,558,265,344.0,154,41,0.0,205,5902,TM12_December_2009_News.csv,0.0,2.0
139,2009.0,July,6964,1939,920,437,560.0,380,50,0.0,250,11500,TM12_December_2009_News.csv,0.0,7.0
140,2009.0,Dec,5631,688,1197,374,365.0,189,49,0.0,201,8693,2013-TM-12-December_News.csv,0.0,12.0
141,2009.0,Dec,5631,688,1197,374,365.0,189,49,0.0,201,8693,2012-TM-12-December_News.csv,0.0,12.0
142,2009.0,Aug,5192,1700,615,355,576.0,284,91,0.0,268,9081,TM12_December_2009_News.csv,0.0,8.0
143,2010.0,Apr,3865,851,777,326,341.0,202,34,0.0,225,6621,2011-TM-12-December_News.csv,0.0,4.0
144,2010.0,Dec,5995,746,1410,696,373.0,158,51,0.0,204,9633,2013-TM-12-December_News.csv,0.0,12.0
145,2010.0,Dec,5995,746,1410,696,373.0,158,51,0.0,204,9633,2011-TM-12-December_News.csv,0.0,12.0
146,2010.0,Jan,4656,708,1318,333,380.0,181,49,0.0,196,7821,2011-TM-12-December_News.csv,0.0,1.0
147,2010.0,Aug,5458,1664,728,497,652.0,276,65,0.0,292,9632,2011-TM-12-December_News.csv,0.0,8.0
148,2010.0,July,6283,1657,1173,346,615.0,247,41,0.0,232,10594,2011-TM-12-December_News.csv,0.0,7.0
149,2010.0,Feb,2778,435,942,640,369.0,192,50,0.0,199,5606,2011-TM-12-December_News.csv,0.0,2.0
150,2010.0,June,5087,1343,517,317,322.0,195,43,0.0,210,8035,2011-TM-12-December_News.csv,0.0,6.0
151,2010.0,Sep,6013,1136,1126,352,269.0,161,31,0.0,199,9287,2011-TM-12-December_News.csv,0.0,9.0
152,2010.0,0,58760,11927,11410,4719,4888.0,2395,517,0.0,2564,97180,2014-TM-12-December-News.csv,0.0,
153,2010.0,Dec,5995,746,1410,696,373.0,158,51,0.0,204,9633,2014-TM-12-December-News.csv,0.0,12.0
154,2010.0,0,58760,11927,11410,4719,4888.0,2395,517,0.0,2564,97180,2013-TM-12-December_News.csv,0.0,
155,2010.0,Nov,4859,703,955,242,406.0,192,55,0.0,201,7613,2011-TM-12-December_News.csv,0.0,11.0
156,2010.0,May,3622,952,1078,323,410.0,201,24,0.0,257,6867,2011-TM-12-December_News.csv,0.0,5.0
157,2010.0,Mar,4155,694,527,340,317.0,195,43,0.0,198,6470,2011-TM-12-December_News.csv,0.0,3.0
158,2010.0,Oct,5988,1039,858,308,433.0,194,31,0.0,150,9001,2011-TM-12-December_News.csv,0.0,10.0
159,2010.0,Dec,5995,746,1410,696,373.0,158,51,0.0,204,9633,2012-TM-12-December_News.csv,0.0,12.0
160,2011.0,Dec,5748,756,1458,248,335.0,106,52,0.0,151,8854,2011-TM-12-December_News.csv,0.0,12.0
161,2011.0,Dec,5785,759,1460,333,340.0,109,52,0.0,152,8990,2014-TM-12-December-News.csv,0.0,12.0
162,2011.0,Apr,4939,657,811,278,390.0,170,39,0.0,135,7419,2011-TM-12-December_News.csv,0.0,4.0
163,2011.0,Nov,4736,913,922,282,424.0,119,55,0.0,204,7655,2011-TM-12-December_News.csv,0.0,11.0
164,2011.0,0,57843,11399,11376,3397,5265.0,1922,630,0.0,2128,93960,2013-TM-12-December_News.csv,0.0,
165,2011.0,0,57843,11399,11376,3397,5265.0,1922,630,0.0,2128,93960,2014-TM-12-December-News.csv,0.0,
166,2011.0,Oct,5558,994,1078,219,432.0,116,46,0.0,194,8637,2011-TM-12-December_News.csv,0.0,10.0
167,2011.0,Jan,4425,621,836,179,329.0,116,35,0.0,131,6672,2011-TM-12-December_News.csv,0.0,1.0
168,2011.0,Sep,6549,1022,824,206,501.0,206,49,0.0,189,9546,2011-TM-12-December_News.csv,0.0,9.0
169,2011.0,May,3676,655,973,336,405.0,192,41,0.0,166,6444,2011-TM-12-December_News.csv,0.0,5.0
170,2011.0,Jul,6222,2000,1151,320,540.0,214,75,0.0,207,10729,2011-TM-12-December_News.csv,0.0,7.0
171,2011.0,Sep,6549,1022,824,206,501.0,206,49,0.0,189,9546,2012-TM-12-December_News.csv,0.0,9.0
172,2011.0,Dec,5785,759,1460,333,340.0,109,52,0.0,152,8990,2013-TM-12-December_News.csv,0.0,12.0
173,2011.0,Oct,5558,994,1078,219,432.0,116,46,0.0,194,8637,2012-TM-12-December_News.csv,0.0,10.0
174,2011.0,Feb,2593,306,697,345,361.0,102,50,0.0,171,4625,2011-TM-12-December_News.csv,0.0,2.0
175,2011.0,Mar,3293,475,491,363,316.0,132,54,0.0,179,5303,2011-TM-12-December_News.csv,0.0,3.0
176,2011.0,0,57843,11399,11376,3397,5265.0,1922,630,581.0,1547,93960,IAS_12_December_2015.csv,0.0,
177,2011.0,Jan,4425,621,836,179,329.0,116,35,0.0,131,6672,2012-TM-12-December_News.csv,0.0,1.0
178,2011.0,Feb,2593,306,697,345,361.0,102,50,0.0,171,4625,2012-TM-12-December_News.csv,0.0,2.0
179,2011.0,Mar,3293,475,491,363,316.0,132,54,0.0,179,5303,2012-TM-12-December_News.csv,0.0,3.0
180,2011.0,Jun,4977,1162,1045,223,467.0,248,43,0.0,153,8318,2012-TM-12-December_News.csv,0.0,6.0
181,2011.0,May,3676,655,973,336,405.0,192,41,0.0,166,6444,2012-TM-12-December_News.csv,0.0,5.0
182,2011.0,Dec,5090,1835,1088,313,760.0,198,91,74.0,173,9622,IAS_12_December_2015.csv,0.0,12.0
183,2011.0,Jun,4977,1162,1045,223,467.0,248,43,0.0,153,8318,2011-TM-12-December_News.csv,0.0,6.0
184,2011.0,Aug,5090,1835,1088,313,760.0,198,91,0.0,247,9622,2012-TM-12-December_News.csv,0.0,8.0
185,2011.0,Dec,5785,759,1460,333,340.0,109,52,0.0,152,8990,2012-TM-12-December_News.csv,0.0,12.0
186,2011.0,Nov,4736,913,922,282,424.0,119,55,0.0,204,7655,2012-TM-12-December_News.csv,0.0,11.0
187,2011.0,Apr,4939,657,811,278,390.0,170,39,0.0,135,7419,2012-TM-12-December_News.csv,0.0,4.0
188,2011.0,Aug,5090,1835,1088,313,760.0,198,91,0.0,247,9622,2011-TM-12-December_News.csv,0.0,8.0
189,2011.0,Jul,6222,2000,1151,320,540.0,214,75,0.0,207,10729,2012-TM-12-December_News.csv,0.0,7.0
190,2012.0,Jul,6937,2032,1188,433,633.0,216,95,0.0,236,11770,2013-TM-12-December_News.csv,0.0,7.0
191,2012.0,Dec,6043,2049,928,298,646.0,181,58,52.0,150,10405,IAS_12_December_2015.csv,0.0,12.0
192,2012.0,0,65405,14430,13138,4313,5491.0,2094,705,623.0,1962,108161,IAS_12_December_2015.csv,0.0,
193,2012.0,Oct,5960,1505,1072,334,576.0,216,41,0.0,218,9922,2013-TM-12-December_News.csv,0.0,10.0
194,2012.0,Feb,2387,354,814,403,367.0,130,59,0.0,186,4700,2013-TM-12-December_News.csv,0.0,2.0
195,2012.0,0,65405,14430,13138,4313,5491.0,2094,705,0.0,2585,108161,2014-TM-12-December-News.csv,0.0,
196,2012.0,Sep,7640,1827,1227,451,462.0,231,59,0.0,285,12182,2013-TM-12-December_News.csv,0.0,9.0
197,2012.0,Jun,6248,1690,726,310,523.0,203,52,0.0,224,9976,2013-TM-12-December_News.csv,0.0,6.0
198,2012.0,Nov,4622,790,1071,293,505.0,156,55,0.0,212,7704,2013-TM-12-December_News.csv,0.0,11.0
199,2012.0,0,65405,14430,13138,4313,5491.0,2094,705,0.0,2585,108161,2013-TM-12-December_News.csv,0.0,
200,2012.0,Dec,6833,1126,1758,543,361.0,173,68,56.0,152,11070,IAS_12_December_2016.csv,0.0,12.0
201,2012.0,0,65405,14430,13138,4313,5491.0,2094,705,623.0,1962,108161,IAS_12_December_2016.csv,0.0,
202,2012.0,May,4091,821,1198,454,410.0,219,59,0.0,222,7474,2013-TM-12-December_News.csv,0.0,5.0
203,2012.0,Jan,5653,757,1458,247,341.0,105,49,0.0,145,8755,2013-TM-12-December_News.csv,0.0,1.0
204,2012.0,Apr,5021,838,991,270,335.0,133,58,0.0,214,7860,2013-TM-12-December_News.csv,0.0,4.0
205,2012.0,May,4091,821,1198,454,410.0,219,59,0.0,222,7474,2012-TM-12-December_News.csv,0.0,5.0
206,2012.0,Dec,6833,1126,1758,543,361.0,173,68,0.0,208,11070,2014-TM-12-December-News.csv,0.0,12.0
207,2012.0,Aug,6043,2049,928,298,646.0,181,58,0.0,202,10405,2013-TM-12-December_News.csv,0.0,8.0
208,2012.0,Feb,2387,354,814,403,367.0,130,59,0.0,186,4700,2012-TM-12-December_News.csv,0.0,2.0
209,2012.0,Mar,3970,641,707,277,332.0,131,52,0.0,233,6343,2012-TM-12-December_News.csv,0.0,3.0
210,2012.0,Apr,5021,838,991,270,335.0,133,58,0.0,214,7860,2012-TM-12-December_News.csv,0.0,4.0
211,2012.0,Jun,6248,1690,726,310,523.0,203,52,0.0,224,9976,2012-TM-12-December_News.csv,0.0,6.0
212,2012.0,Jul,6937,2032,1188,433,633.0,216,95,0.0,236,11770,2012-TM-12-December_News.csv,0.0,7.0
213,2012.0,Oct,5960,1505,1072,334,576.0,216,41,0.0,218,9922,2012-TM-12-December_News.csv,0.0,10.0
214,2012.0,Sep,7640,1827,1227,451,462.0,231,59,0.0,285,12182,2012-TM-12-December_News.csv,0.0,9.0
215,2012.0,Jan,5653,757,1458,247,341.0,105,49,0.0,145,8755,2012-TM-12-December_News.csv,0.0,1.0
216,2012.0,Nov,4622,790,1071,293,505.0,156,55,0.0,212,7704,2012-TM-12-December_News.csv,0.0,11.0
217,2012.0,Dec,6833,1126,1758,543,361.0,173,68,0.0,208,11070,2012-TM-12-December_News.csv,0.0,12.0
218,2012.0,Dec,6833,1126,1758,543,361.0,173,68,0.0,208,11070,2013-TM-12-December_News.csv,0.0,12.0
219,2012.0,Mar,3970,641,707,277,332.0,131,52,0.0,233,6343,2013-TM-12-December_News.csv,0.0,3.0
220,2012.0,Aug,6043,2049,928,298,646.0,181,58,0.0,202,10405,2012-TM-12-December_News.csv,0.0,8.0
221,2013.0,May,4669,959,971,293,374.0,165,62,0.0,177,7670,2014-TM-12-December-News.csv,0.0,5.0
222,2013.0,Oct,6431,1614,1196,418,523.0,311,65,0.0,269,10827,2014-TM-12-December-News.csv,0.0,10.0
223,2013.0,July,7091,2319,805,384,654.0,217,47,0.0,338,11855,2014-TM-12-December-News.csv,0.0,7.0
224,2013.0,Dec,6123,898,1358,466,430.0,243,53,0.0,282,9853,2014-TM-12-December-News.csv,0.0,12.0
225,2013.0,Jan,4591,621,1428,231,364.0,135,32,0.0,210,7612,2013-TM-12-December_News.csv,0.0,1.0
226,2013.0,Sep,7660,1664,790,458,399.0,269,67,0.0,289,11596,2014-TM-12-December-News.csv,0.0,9.0
227,2013.0,0,65776,15068,12515,4874,5544.0,2614,659,0.0,3059,110109,2014-TM-12-December-News.csv,0.0,
228,2013.0,Dec,6123,898,1358,466,430.0,243,53,97.0,185,9853,IAS_12_December_2016.csv,0.0,12.0
229,2013.0,Aug,5781,2121,1167,444,672.0,245,88,0.0,279,10797,2014-TM-12-December-News.csv,0.0,8.0
230,2013.0,Dec,6123,898,1358,466,430.0,243,53,0.0,282,9853,2013-TM-12-December_News.csv,0.0,12.0
