Day of Date,Destination Country,Destination Region,Type,Passenger,Lastwk Passengers Number 7Days,Lastyr Passengers Number 7Days,Passengers Number 7Days,psg_wow_change,psg_yoy_change,ask_wow_change,ask_yoy_change,Av Seat Km,Av Seat Km 7Days,Date,Destination Iso Country,Destination Iso3,fl_wow_change,fl_yoy_change,Flights Number,Flights Number 7Days,Lastwk Av Seat Km 7Days,Lastwk Flights Number 7Days,Lastwk Payload 7Days,Lastyr Av Seat Km 7Days,Lastyr Flights Number 7Days,Lastyr Payload 7Days,Passengers Number,Payload,Payload 7Days,pl_wow_change,pl_yoy_change
3-Dec-22,Samoa,East Asia & Pacific,Domestic,Passenger,57,38,76,33.33%,100.00%,-33.33%,100.00%,0,1103.740955,12/3/22,WS,WSM,33.33%,100.00%,1,4,1655.611432,3,,551.8704775,2,0,19,0,0,,
7-Dec-22,Samoa,East Asia & Pacific,Domestic,Passenger,76,57,57,-25.00%,0.00%,-33.33%,-33.33%,551.8704775,1103.740955,12/7/22,WS,WSM,-25.00%,0.00%,1,3,1655.611432,4,,1655.611432,3,0,19,0,0,,
15-Dec-22,Samoa,East Asia & Pacific,Domestic,Passenger,76,95,152,100.00%,60.00%,66.67%,0.00%,551.8704775,2759.352387,12/15/22,WS,WSM,100.00%,60.00%,1,8,1655.611432,4,,2759.352387,5,0,19,0,0,,
19-Dec-22,Samoa,East Asia & Pacific,Domestic,Passenger,114,38,133,16.67%,250.00%,0.00%,150.00%,551.8704775,2759.352387,12/19/22,WS,WSM,16.67%,250.00%,1,7,2759.352387,6,,1103.740955,2,0,19,0,0,,
20-Jan-23,Samoa,East Asia & Pacific,Domestic,Passenger,19,19,38,100.00%,100.00%,0.00%,0.00%,551.8704775,551.8704775,1/20/23,WS,WSM,100.00%,100.00%,1,2,551.8704775,1,,551.8704775,1,0,19,0,0,,
27-Jan-23,Samoa,East Asia & Pacific,Domestic,Passenger,38,19,114,200.00%,500.00%,100.00%,100.00%,551.8704775,1103.740955,1/27/23,WS,WSM,200.00%,500.00%,4,6,551.8704775,2,,551.8704775,1,0,76,0,0,,
30-Mar-23,Samoa,East Asia & Pacific,Domestic,Passenger,133,190,114,-14.29%,-40.00%,20.00%,-25.00%,551.8704775,3311.222865,3/30/23,WS,WSM,-14.29%,-40.00%,1,6,2759.352387,7,,4414.96382,10,0,19,0,0,,
1-Apr-23,Samoa,East Asia & Pacific,Domestic,Passenger,133,190,114,-14.29%,-40.00%,20.00%,-40.00%,551.8704775,3311.222865,4/1/23,WS,WSM,-14.29%,-40.00%,1,6,2759.352387,7,,5518.704775,10,0,19,0,0,,
3-Apr-23,Samoa,East Asia & Pacific,Domestic,Passenger,114,190,114,0.00%,-40.00%,20.00%,-40.00%,551.8704775,3311.222865,4/3/23,WS,WSM,0.00%,-40.00%,1,6,2759.352387,6,,5518.704775,10,0,19,0,0,,
20-Apr-23,Samoa,East Asia & Pacific,Domestic,Passenger,133,342,114,-14.29%,-66.67%,-16.67%,-54.55%,551.8704775,2759.352387,4/20/23,WS,WSM,-14.29%,-66.67%,2,6,3311.222865,7,,6070.575252,18,0,38,0,0,,
17-May-23,Samoa,East Asia & Pacific,Domestic,Passenger,76,57,133,75.00%,133.33%,132.96%,132.96%,551.8704775,3856.937888,5/17/23,WS,WSM,75.00%,133.33%,1,7,1655.611432,4,,1655.611432,3,0,19,0,0,,
21-May-23,Samoa,East Asia & Pacific,Domestic,Passenger,133,76,171,28.57%,125.00%,33.21%,99.44%,0,4402.652911,5/21/23,WS,WSM,28.57%,125.00%,1,9,3305.067411,7,,2207.48191,4,0,19,0,0,,
22-May-23,Samoa,East Asia & Pacific,Domestic,Passenger,114,133,171,50.00%,28.57%,33.21%,13.97%,551.8704775,4402.652911,5/22/23,WS,WSM,50.00%,28.57%,1,9,3305.067411,6,,3863.093342,7,0,19,0,0,,
29-May-23,Samoa,East Asia & Pacific,Domestic,Passenger,171,209,133,-22.22%,-36.36%,-24.79%,-45.45%,551.8704775,3311.222865,5/29/23,WS,WSM,-22.22%,-36.36%,2,7,4402.652911,9,,6070.575252,11,0,38,0,0,,
27-Jun-23,Samoa,East Asia & Pacific,Domestic,Passenger,152,228,209,37.50%,-8.33%,43.09%,-16.67%,551.8704775,5518.704775,6/27/23,WS,WSM,37.50%,-8.33%,1,11,3856.937888,8,,6622.44573,12,0,19,0,0,,
10-Jul-23,Samoa,East Asia & Pacific,Domestic,Passenger,266,342,304,14.29%,-11.11%,22.22%,-31.25%,1655.611432,6070.575252,7/10/23,WS,WSM,14.29%,-11.11%,3,16,4966.834297,14,,8829.92764,18,0,57,0,0,,
11-Jul-23,Samoa,East Asia & Pacific,Domestic,Passenger,323,323,266,-17.65%,-17.65%,10.00%,-31.25%,1103.740955,6070.575252,7/11/23,WS,WSM,-17.65%,-17.65%,2,14,5518.704775,17,,8829.92764,17,0,38,0,0,,
15-Jul-23,Samoa,East Asia & Pacific,Domestic,Passenger,304,190,342,12.50%,80.00%,30.00%,30.00%,0,7174.316207,7/15/23,WS,WSM,12.50%,80.00%,2,18,5518.704775,16,,5518.704775,10,0,38,0,0,,
19-Jul-23,Samoa,East Asia & Pacific,Domestic,Passenger,266,190,361,35.71%,90.00%,18.18%,30.00%,1103.740955,7174.316207,7/19/23,WS,WSM,35.71%,90.00%,3,19,6070.575252,14,,5518.704775,10,0,57,0,0,,
21-Jul-23,Samoa,East Asia & Pacific,Domestic,Passenger,323,209,304,-5.88%,45.45%,-15.38%,10.00%,1655.611432,6070.575252,7/21/23,WS,WSM,-5.88%,45.45%,3,16,7174.316207,17,,5518.704775,11,0,57,0,0,,
29-Jul-23,Samoa,East Asia & Pacific,Domestic,Passenger,285,228,380,33.33%,66.67%,8.33%,44.44%,551.8704775,7174.316207,7/29/23,WS,WSM,33.33%,66.67%,2,20,6622.44573,15,,4966.834297,12,0,38,0,0,,
16-Aug-23,Samoa,East Asia & Pacific,Domestic,Passenger,380,266,456,20.00%,71.43%,18.18%,8.33%,1103.740955,7174.316207,8/16/23,WS,WSM,20.00%,71.43%,5,24,6070.575252,20,,6622.44573,14,0,95,0,0,,
17-Aug-23,Samoa,East Asia & Pacific,Domestic,Passenger,418,228,399,-4.55%,75.00%,18.18%,30.00%,1103.740955,7174.316207,8/17/23,WS,WSM,-4.55%,75.00%,2,21,6070.575252,22,,5518.704775,12,0,38,0,0,,
30-Aug-23,Samoa,East Asia & Pacific,Domestic,Passenger,285,57,285,0.00%,400.00%,-18.18%,200.00%,551.8704775,4966.834297,8/30/23,WS,WSM,0.00%,400.00%,2,15,6070.575252,15,,1655.611432,3,0,38,0,0,,
1-Sep-23,Samoa,East Asia & Pacific,Domestic,Passenger,399,19,209,-47.62%,1000.00%,-38.46%,700.00%,1655.611432,4414.96382,9/1/23,WS,WSM,-47.62%,1000.00%,4,11,7174.316207,21,,551.8704775,1,0,76,0,0,,
5-Sep-23,Samoa,East Asia & Pacific,Domestic,Passenger,304,76,304,0.00%,300.00%,0.00%,233.33%,1103.740955,5518.704775,9/5/23,WS,WSM,0.00%,300.00%,4,16,5518.704775,16,,1655.611432,4,0,76,0,0,,
9-Sep-23,Samoa,East Asia & Pacific,Domestic,Passenger,247,171,285,15.38%,66.67%,37.50%,57.14%,551.8704775,6070.575252,9/9/23,WS,WSM,15.38%,66.67%,1,15,4414.96382,13,,3863.093342,9,0,19,0,0,,
26-Sep-23,Samoa,East Asia & Pacific,Domestic,Passenger,323,190,304,-5.88%,60.00%,0.00%,22.22%,1655.611432,6070.575252,9/26/23,WS,WSM,-5.88%,60.00%,4,16,6070.575252,17,,4966.834297,10,0,76,0,0,,
28-Sep-23,Samoa,East Asia & Pacific,Domestic,Passenger,285,152,304,6.67%,100.00%,20.00%,71.43%,1655.611432,6622.44573,9/28/23,WS,WSM,6.67%,100.00%,3,16,5518.704775,15,,3863.093342,8,0,57,0,0,,
6-Oct-23,Samoa,East Asia & Pacific,Domestic,Passenger,323,247,228,-29.41%,-7.69%,-46.15%,-30.00%,1103.740955,3863.093342,10/6/23,WS,WSM,-29.41%,-7.69%,3,12,7174.316207,17,,5518.704775,13,0,57,0,0,,
17-Oct-23,Samoa,East Asia & Pacific,Domestic,Passenger,228,209,171,-25.00%,-18.18%,14.29%,0.00%,551.8704775,4414.96382,10/17/23,WS,WSM,-25.00%,-18.18%,1,9,3863.093342,12,,4414.96382,11,0,19,0,0,,
22-Oct-23,Samoa,East Asia & Pacific,Domestic,Passenger,190,114,304,60.00%,166.67%,75.00%,180.00%,551.8704775,7726.186685,10/22/23,WS,WSM,60.00%,166.67%,1,16,4414.96382,10,,2759.352387,6,0,19,0,0,,
24-Oct-23,Samoa,East Asia & Pacific,Domestic,Passenger,171,,361,111.11%,,87.50%,,1103.740955,8278.057162,10/24/23,WS,WSM,111.11%,,4,19,4414.96382,9,,,,,76,0,0,,
31-Oct-23,Samoa,East Asia & Pacific,Domestic,Passenger,361,76,399,10.53%,425.00%,-13.33%,225.00%,1103.740955,7174.316207,10/31/23,WS,WSM,10.53%,425.00%,3,21,8278.057162,19,,2207.48191,4,0,57,0,0,,
18-Jan-20,Solomon Islands,East Asia & Pacific,Domestic,Passenger,136,,136,0.00%,,0.00%,,44923.56176,44923.56176,1/18/20,SB,SLB,0.00%,,1,1,44923.56176,1,4182,,,,136,4182,4182,0.00%,
12-May-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,,136,38,,-72.06%,,-100.00%,0,0,5/12/21,SB,SLB,,100.00%,2,2,,,,44923.56176,1,4182,38,0,0,,-100.00%
24-May-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,38,136,95,150.00%,-30.15%,,-100.00%,0,0,5/24/21,SB,SLB,150.00%,400.00%,3,5,,2,,44923.56176,1,4182,57,0,0,,-100.00%
23-Jun-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,76,,76,0.00%,,0.00%,,12552.17167,12552.17167,6/23/21,SB,SLB,0.00%,,2,4,12552.17167,4,,,,,38,0,0,,
24-Jun-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,76,,95,25.00%,,50.00%,,6276.085834,18828.2575,6/24/21,SB,SLB,25.00%,,1,5,12552.17167,4,,,,,19,0,0,,
31-Jul-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,285,,171,-40.00%,,,,0,0,7/31/21,SB,SLB,-40.00%,,4,9,,15,,,,,76,0,0,,
9-Aug-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,190,,19,-90.00%,,,,0,0,8/9/21,SB,SLB,-90.00%,,1,1,,10,,,,,19,0,0,,
15-Aug-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,38,,57,50.00%,,,,6276.085834,6276.085834,8/15/21,SB,SLB,50.00%,,1,3,,2,,,,,19,0,0,,
4-Oct-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,95,136,57,-40.00%,-58.09%,63.42%,-83.90%,0,7232.741775,10/4/21,SB,SLB,-40.00%,200.00%,1,3,4425.815155,5,,44923.56176,1,4182,19,0,0,,-100.00%
18-Oct-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,95,136,114,20.00%,-16.18%,-47.45%,-94.85%,0,2311.811704,10/18/21,SB,SLB,20.00%,500.00%,2,6,4399.439976,5,,44923.56176,1,4182,38,0,0,,-100.00%
31-Oct-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,133,136,38,-71.43%,-72.06%,-63.92%,-84.88%,6792.667196,6792.667196,10/31/21,SB,SLB,-71.43%,100.00%,1,2,18828.2575,7,,44923.56176,1,4182,19,0,0,,-100.00%
2-Nov-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,95,,95,0.00%,,-6.73%,,0,17560.22801,11/2/21,SB,SLB,0.00%,,1,5,18828.2575,5,,,,,19,0,0,,
16-Dec-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,38,136,95,150.00%,-30.15%,292.40%,-40.67%,6792.667196,26654.08742,12/16/21,SB,SLB,150.00%,400.00%,1,5,6792.667196,2,,44923.56176,1,4182,19,0,0,,-100.00%
23-Dec-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,95,136,190,100.00%,39.71%,88.98%,12.13%,4889.460758,50371.80568,12/23/21,SB,SLB,100.00%,900.00%,2,10,26654.08742,5,,44923.56176,1,4182,38,0,0,,-100.00%
3-Jan-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,114,,57,-50.00%,,-22.11%,,13585.33439,13585.33439,1/3/22,SB,SLB,-50.00%,,3,3,17441.63242,6,,,,,57,0,0,,
6-Mar-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,133,,114,-14.29%,,87.07%,,6276.085834,35222.16236,3/6/22,SB,SLB,-14.29%,,1,6,18828.2575,7,,,,,19,0,0,,
2-Apr-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,342,,380,11.11%,,11.76%,,12552.17167,119245.6308,4/2/22,SB,SLB,11.11%,,2,20,106693.4592,18,,,,,38,0,0,,
11-Apr-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,323,136,266,-17.65%,95.59%,-12.50%,95.59%,12552.17167,87865.20167,4/11/22,SB,SLB,-17.65%,1300.00%,2,14,100417.3733,17,,44923.56176,1,4182,38,0,0,,-100.00%
18-Apr-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,266,136,152,-42.86%,11.76%,-42.86%,11.76%,6276.085834,50208.68667,4/18/22,SB,SLB,-42.86%,700.00%,1,8,87865.20167,14,,44923.56176,1,4182,19,0,0,,-100.00%
22-Apr-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,209,136,209,0.00%,53.68%,0.00%,53.68%,6276.085834,69036.94417,4/22/22,SB,SLB,0.00%,1000.00%,1,11,69036.94417,11,,44923.56176,1,4182,19,0,0,,-100.00%
26-Apr-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,152,136,228,50.00%,67.65%,50.00%,67.65%,6276.085834,75313.03,4/26/22,SB,SLB,50.00%,1100.00%,1,12,50208.68667,8,,44923.56176,1,4182,19,0,0,,-100.00%
11-May-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,190,136,342,80.00%,151.47%,79.35%,152.62%,18828.2575,113486.1264,5/11/22,SB,SLB,80.00%,1700.00%,3,18,63277.4397,10,,44923.56176,1,4182,57,0,0,,-100.00%
22-May-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,266,136,190,-28.57%,39.71%,-22.82%,41.84%,7232.741775,63717.51428,5/22/22,SB,SLB,-28.57%,900.00%,1,10,82554.37716,14,,44923.56176,1,4182,19,0,0,,-100.00%
26-May-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,190,136,152,-20.00%,11.76%,-2.61%,24.54%,14465.48355,55948.62232,5/26/22,SB,SLB,-20.00%,700.00%,2,8,57450.03383,10,,44923.56176,1,4182,38,0,0,,-100.00%
28-May-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,171,136,133,-22.22%,-2.21%,-10.37%,12.70%,7232.741775,50629.19243,5/28/22,SB,SLB,-22.22%,600.00%,1,7,56484.7725,9,,44923.56176,1,4182,19,0,0,,-100.00%
6-Jun-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,152,136,209,37.50%,53.68%,35.85%,74.97%,27974.31116,78603.50358,6/6/22,SB,SLB,37.50%,1000.00%,4,11,57861.9342,8,,44923.56176,1,4182,76,0,0,,-100.00%
26-Jan-20,Palau,East Asia & Pacific,Intra-Regional,Passenger,3511,2756,3312,-5.67%,20.17%,-7.36%,21.73%,1236124.439,8017231.272,1/26/20,PW,PLW,-4.55%,16.67%,3,21,8654169.184,22,47240,6586057.689,18,25606,438,7531,28716,-39.21%,12.15%
8-Feb-20,Palau,East Asia & Pacific,Intra-Regional,Passenger,3253,2944,2732,-16.02%,-7.20%,-19.05%,-8.33%,979340.4361,6463779.895,2/8/20,PW,PLW,-14.29%,-5.26%,2,18,7984516.697,21,28506,7051469.662,19,27161,332,4103,29885,4.84%,10.03%
9-Feb-20,Palau,East Asia & Pacific,Intra-Regional,Passenger,3253,3252,2753,-15.37%,-15.34%,-18.14%,-16.75%,1308214.793,6535870.249,2/9/20,PW,PLW,-14.29%,-14.29%,3,18,7984516.697,21,28506,7850448.059,21,28716,459,4983,27337,-4.10%,-4.80%
11-Feb-20,Palau,East Asia & Pacific,Intra-Regional,Passenger,3073,3252,2753,-10.41%,-15.34%,-12.67%,-16.75%,443135.7118,6535870.249,2/11/20,PW,PLW,-10.00%,-14.29%,2,18,7484167.059,20,28506,7850448.059,21,28716,292,1169,27337,-4.10%,-4.80%
20-Feb-20,Palau,East Asia & Pacific,Intra-Regional,Passenger,2753,3739,2942,6.87%,-21.32%,9.26%,-25.13%,1236124.439,7140801.231,2/20/20,PW,PLW,5.56%,-17.39%,3,19,6535870.249,18,27337,9537600.645,23,53117,438,7531,27337,0.00%,-48.53%
24-Feb-20,Palau,East Asia & Pacific,Intra-Regional,Passenger,2772,3601,3213,15.91%,-10.77%,21.89%,-13.50%,547088.1284,7942315.384,2/24/20,PW,PLW,11.11%,-9.09%,2,20,6516182.36,18,28716,9181431.714,22,48021,284,2724,21072,-26.62%,-56.12%
12-Mar-20,Palau,East Asia & Pacific,Intra-Regional,Passenger,3173,2642,3196,0.72%,20.97%,1.93%,30.46%,1945152.705,8041942.709,3/12/20,PW,PLW,0.00%,17.65%,4,20,7889912.92,20,22241,6164516.822,17,34014,658,23507,39210,76.30%,15.28%
6-Aug-20,Palau,East Asia & Pacific,Intra-Regional,Passenger,166,3277,158,-4.82%,-95.18%,75.67%,-95.23%,382020.3662,382020.3662,8/6/20,PW,PLW,0.00%,-95.00%,1,1,217470.2264,1,,8007152.841,20,51661,158,1555,1555,,-96.99%
1-Apr-21,Palau,East Asia & Pacific,Intra-Regional,Passenger,166,2654,482,190.36%,-81.84%,351.33%,-84.18%,382020.3662,981510.9588,4/1/21,PW,PLW,200.00%,-82.35%,1,3,217470.2264,1,,6205711.31,17,32483,158,1555,3110,,-90.43%
14-Apr-21,Palau,East Asia & Pacific,Intra-Regional,Passenger,474,2247,482,1.69%,-78.55%,-14.36%,-80.15%,382020.3662,981510.9588,4/14/21,PW,PLW,0.00%,-80.00%,1,3,1146061.099,3,4665,4944607.882,15,20686,158,1555,3110,-33.33%,-84.97%
28-Apr-21,Palau,East Asia & Pacific,Intra-Regional,Passenger,158,2609,316,100.00%,-87.89%,100.00%,-87.61%,382020.3662,764040.7324,4/28/21,PW,PLW,100.00%,-88.24%,1,2,382020.3662,1,1555,6168677.766,17,36165,158,1555,3110,100.00%,-91.40%
12-May-21,Palau,East Asia & Pacific,Intra-Regional,Passenger,316,2378,648,105.06%,-72.75%,56.93%,-77.78%,599490.5926,1198981.185,5/12/21,PW,PLW,100.00%,-75.00%,2,4,764040.7324,2,3110,5395855.663,16,19307,324,1555,3110,0.00%,-83.89%
18-Jul-21,Palau,East Asia & Pacific,Intra-Regional,Passenger,166,2429,166,0.00%,-93.17%,0.00%,-95.84%,217470.2264,217470.2264,7/18/21,PW,PLW,0.00%,-93.75%,1,1,217470.2264,1,,5227672.957,16,14613,166,0,0,,-100.00%
25-Jul-21,Palau,East Asia & Pacific,Intra-Regional,Passenger,166,2434,166,0.00%,-93.18%,0.00%,-95.99%,217470.2264,217470.2264,7/25/21,PW,PLW,0.00%,-93.75%,1,1,217470.2264,1,,5427722.885,16,15782,166,0,0,,-100.00%
