Country,ISO,Region,Date,Aircraft_type,Seats_arrivals_domestic,Seats_arrivals_interregional,Seats_arrivals_intraregional,Seats_arrivals_intl,Seats_arrivals_total,Available_seat_kilometers,Number_of_flights_domestic,Number_of_flights_interregional,Number_of_flights_intraregional,Number_of_flights_intl,Number_of_flights_total
Fiji,FJ,East Asia & Pacific,2019-01-18,passenger,844,586,3511,4097,4941,17107150.487464234,11,2,13,15,26
Fiji,FJ,East Asia & Pacific,2019-01-19,passenger,885,273,5301,5574,6459,19157091.271579307,10,1,13,14,24
Fiji,FJ,East Asia & Pacific,2019-01-20,passenger,923,756,3335,4091,5014,19138631.454808738,9,3,13,16,25
Fiji,FJ,East Asia & Pacific,2019-01-21,passenger,784,273,3812,4085,4869,15330126.368266106,9,1,12,13,22
Fiji,FJ,East Asia & Pacific,2019-01-22,passenger,691,273,3306,3579,4270,13865448.431246597,9,1,11,12,21
Fiji,FJ,East Asia & Pacific,2019-01-23,passenger,1023,586,2772,3358,4381,14037548.499141576,10,2,9,11,21
Fiji,FJ,East Asia & Pacific,2019-01-24,passenger,1187,273,3517,3790,4977,14618195.431449898,12,1,13,14,26
Fiji,FJ,East Asia & Pacific,2019-01-25,passenger,966,567,3320,3887,4853,14593583.523282843,13,2,12,14,27
Fiji,FJ,East Asia & Pacific,2019-01-26,passenger,730,273,4040,4313,5043,15781434.195489738,10,1,13,14,24
Fiji,FJ,East Asia & Pacific,2019-01-27,passenger,972,756,3437,4193,5165,17395556.878006134,10,3,14,17,27
Fiji,FJ,East Asia & Pacific,2019-01-28,passenger,605,273,3485,3758,4363,14808696.993555304,8,1,13,14,22
Fiji,FJ,East Asia & Pacific,2019-01-29,passenger,759,273,2856,3129,3888,12297151.085289557,11,1,11,12,23
Fiji,FJ,East Asia & Pacific,2019-01-30,passenger,1023,313,2468,2781,3804,10987032.142632399,10,1,10,11,21
Fiji,FJ,East Asia & Pacific,2019-01-31,passenger,1206,273,3282,3555,4761,13681212.846750678,11,1,13,14,25
Fiji,FJ,East Asia & Pacific,2019-02-01,passenger,1027,546,3313,3859,4886,16166780.815771475,11,2,11,13,24
Fiji,FJ,East Asia & Pacific,2019-02-02,passenger,1002,273,3534,3807,4809,15981439.972388767,10,1,13,14,24
Fiji,FJ,East Asia & Pacific,2019-02-03,passenger,1072,756,3623,4379,5451,19277119.57604042,7,3,15,18,25
Fiji,FJ,East Asia & Pacific,2019-02-04,passenger,814,273,2952,3225,4039,12773677.985039702,9,1,10,11,20
Fiji,FJ,East Asia & Pacific,2019-02-05,passenger,781,0,2142,2142,2923,7245655.891114704,9,0,9,9,18
Fiji,FJ,East Asia & Pacific,2019-02-06,passenger,1001,273,2431,2704,3705,10328247.861498257,10,1,8,9,19
Fiji,FJ,East Asia & Pacific,2019-02-07,passenger,1200,273,2787,3060,4260,14203528.859429734,12,1,12,13,25
Fiji,FJ,East Asia & Pacific,2019-02-08,passenger,871,313,3186,3499,4370,13343423.738858648,11,1,10,11,22
Fiji,FJ,East Asia & Pacific,2019-02-09,passenger,939,273,3280,3553,4492,13921954.51814596,10,1,12,13,23
Fiji,FJ,East Asia & Pacific,2019-02-10,passenger,1216,756,3408,4164,5380,17668225.79366905,10,3,13,16,26
Fiji,FJ,East Asia & Pacific,2019-02-11,passenger,841,273,2870,3143,3984,12249997.686520195,11,1,11,12,23
Fiji,FJ,East Asia & Pacific,2019-02-12,passenger,822,273,2411,2684,3506,11532979.432465939,9,1,8,9,18
Fiji,FJ,East Asia & Pacific,2019-02-13,passenger,993,0,2386,2386,3379,9568050.262726853,8,0,9,9,17
Fiji,FJ,East Asia & Pacific,2019-02-14,passenger,1138,273,2933,3206,4344,13820494.026981343,13,1,13,14,27
Fiji,FJ,East Asia & Pacific,2019-02-15,passenger,852,586,2864,3450,4302,13450059.3702018,8,2,10,12,20
Fiji,FJ,East Asia & Pacific,2019-02-16,passenger,996,273,3158,3431,4427,13660913.087589834,10,1,12,13,23
Fiji,FJ,East Asia & Pacific,2019-02-17,passenger,1132,756,3573,4329,5461,19258266.260848194,9,3,14,17,26
Fiji,FJ,East Asia & Pacific,2019-02-18,passenger,834,273,2550,2823,3657,11885815.627039969,8,1,10,11,19
Fiji,FJ,East Asia & Pacific,2019-02-19,passenger,553,273,2163,2436,2989,9536111.80386362,8,1,8,9,17
Fiji,FJ,East Asia & Pacific,2019-02-20,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-02-20,passenger,811,313,1854,2167,2978,7672829.224592998,9,1,7,8,17
Fiji,FJ,East Asia & Pacific,2019-02-21,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-02-21,passenger,923,273,2071,2344,3267,10664392.752044994,11,1,10,11,22
Fiji,FJ,East Asia & Pacific,2019-02-22,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-02-22,passenger,586,0,2851,2851,3437,8205491.6653758865,8,0,10,10,18
Fiji,FJ,East Asia & Pacific,2019-02-23,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-02-23,passenger,899,273,3031,3304,4203,11568613.968487542,10,1,12,13,23
Fiji,FJ,East Asia & Pacific,2019-02-24,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-02-24,passenger,858,737,2950,3687,4545,14933343.808338212,9,3,12,15,24
Fiji,FJ,East Asia & Pacific,2019-02-25,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-02-25,passenger,736,273,2092,2365,3101,10609756.924685273,8,1,10,11,19
Fiji,FJ,East Asia & Pacific,2019-02-26,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-02-26,passenger,842,0,2659,2659,3501,9981103.660999741,9,0,9,9,18
Fiji,FJ,East Asia & Pacific,2019-02-27,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-02-27,passenger,1058,313,1749,2062,3120,9144530.148900583,9,1,7,8,17
Fiji,FJ,East Asia & Pacific,2019-02-28,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-02-28,passenger,940,0,3026,3026,3966,10276769.243318267,10,0,12,12,22
Fiji,FJ,East Asia & Pacific,2019-03-01,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-01,passenger,787,586,2603,3189,3976,12622398.661788043,10,2,10,12,22
Fiji,FJ,East Asia & Pacific,2019-03-02,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-03-02,passenger,1140,0,3242,3242,4382,11441686.879274165,12,0,12,12,24
Fiji,FJ,East Asia & Pacific,2019-03-03,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-03,passenger,1311,737,2762,3499,4810,15768659.175243603,10,3,12,15,25
Fiji,FJ,East Asia & Pacific,2019-03-04,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-03-04,passenger,841,0,2638,2638,3479,9736869.669211388,10,0,10,10,20
Fiji,FJ,East Asia & Pacific,2019-03-05,passenger,678,273,2328,2601,3279,11261659.128222346,8,1,9,10,18
Fiji,FJ,East Asia & Pacific,2019-03-06,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-06,passenger,1192,313,1598,1911,3103,6840051.1217197245,9,1,7,8,17
Fiji,FJ,East Asia & Pacific,2019-03-07,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-07,passenger,619,273,2285,2558,3177,9529186.542210793,10,1,11,12,22
Fiji,FJ,East Asia & Pacific,2019-03-08,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-03-08,passenger,711,313,2857,3170,3881,11015454.235262105,9,1,10,11,20
Fiji,FJ,East Asia & Pacific,2019-03-09,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-09,passenger,980,273,2969,3242,4222,11598271.557178542,8,1,11,12,20
Fiji,FJ,East Asia & Pacific,2019-03-10,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-10,passenger,1050,737,2976,3713,4763,16291608.686790034,9,3,14,17,26
Fiji,FJ,East Asia & Pacific,2019-03-11,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-03-11,passenger,548,0,2257,2257,2805,7061895.844350774,9,0,8,8,17
Fiji,FJ,East Asia & Pacific,2019-03-12,passenger,727,273,2206,2479,3206,10923577.19207721,10,1,8,9,19
Fiji,FJ,East Asia & Pacific,2019-03-13,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-03-13,passenger,874,0,2274,2274,3148,7362397.216003021,9,0,8,8,17
Fiji,FJ,East Asia & Pacific,2019-03-14,cargo,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJ,East Asia & Pacific,2019-03-14,passenger,774,254,1857,2111,2885,8384744.453095567,11,1,9,10,21
Fiji,FJ,East Asia & Pacific,2019-03-15,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-15,passenger,785,586,3040,3626,4411,13703698.885155808,10,2,10,12,22
Fiji,FJ,East Asia & Pacific,2019-03-16,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-03-16,passenger,828,0,3202,3202,4030,11269050.956292614,9,0,13,13,22
Fiji,FJ,East Asia & Pacific,2019-03-17,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-17,passenger,760,689,2578,3267,4027,14605790.004864234,10,3,10,13,23
Fiji,FJ,East Asia & Pacific,2019-03-18,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-18,passenger,616,273,2393,2666,3282,11634905.536995027,9,1,9,10,19
Fiji,FJ,East Asia & Pacific,2019-03-19,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-03-19,passenger,795,0,2684,2684,3479,9679480.439370092,10,0,9,9,19
Fiji,FJ,East Asia & Pacific,2019-03-20,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-20,passenger,871,313,2273,2586,3457,8906750.799071563,8,1,9,10,18
Fiji,FJ,East Asia & Pacific,2019-03-21,passenger,1000,273,2769,3042,4042,11998600.84221639,13,1,12,13,26
Fiji,FJ,East Asia & Pacific,2019-03-22,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-03-22,passenger,708,313,2532,2845,3553,10648074.39705041,11,1,9,10,21
Fiji,FJ,East Asia & Pacific,2019-03-23,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-23,passenger,600,273,2881,3154,3754,9940632.876912536,9,1,12,13,22
Fiji,FJ,East Asia & Pacific,2019-03-24,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-24,passenger,790,731,3564,4295,5085,19111512.76356972,6,3,13,16,22
Fiji,FJ,East Asia & Pacific,2019-03-25,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-03-25,passenger,720,0,2907,2907,3627,10904440.203605726,8,0,10,10,18
Fiji,FJ,East Asia & Pacific,2019-03-26,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-26,passenger,339,273,2117,2390,2729,10983352.452118205,4,1,7,8,12
Fiji,FJ,East Asia & Pacific,2019-03-27,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-27,passenger,608,313,2149,2462,3070,9827954.650260031,5,1,9,10,15
Fiji,FJ,East Asia & Pacific,2019-03-28,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-03-28,passenger,448,273,2474,2747,3195,11733783.293047007,6,1,10,11,17
Fiji,FJ,East Asia & Pacific,2019-03-29,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-03-29,passenger,361,313,2690,3003,3364,10967670.763764482,4,1,8,9,13
Fiji,FJ,East Asia & Pacific,2019-03-30,cargo,0,0,0,0,0,0,0,0,3,3,3
Fiji,FJ,East Asia & Pacific,2019-03-30,passenger,611,273,2919,3192,3803,11679717.28240384,6,1,11,12,18
Fiji,FJ,East Asia & Pacific,2019-03-31,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-03-31,passenger,437,477,3536,4013,4450,14276015.908631848,4,2,10,12,16
Fiji,FJ,East Asia & Pacific,2019-04-01,cargo,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJ,East Asia & Pacific,2019-04-01,passenger,424,273,3053,3326,3750,11707587.136716109,4,1,11,12,16
Fiji,FJ,East Asia & Pacific,2019-04-02,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-04-02,passenger,293,0,2920,2920,3213,10844095.601449657,4,0,7,7,11
Fiji,FJ,East Asia & Pacific,2019-04-03,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-03,passenger,396,313,2287,2600,2996,10592292.004486794,4,1,10,11,15
Fiji,FJ,East Asia & Pacific,2019-04-04,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-04,passenger,364,0,3476,3476,3840,10592516.567468505,5,0,8,8,13
Fiji,FJ,East Asia & Pacific,2019-04-05,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-04-05,passenger,282,586,2955,3541,3823,14142369.491169056,4,2,10,12,16
Fiji,FJ,East Asia & Pacific,2019-04-06,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-06,passenger,428,0,3612,3612,4040,12697065.279313505,5,0,11,11,16
Fiji,FJ,East Asia & Pacific,2019-04-07,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-07,passenger,478,477,3786,4263,4741,16420113.712202324,4,2,14,16,20
Fiji,FJ,East Asia & Pacific,2019-04-08,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-08,passenger,404,0,3665,3665,4069,12759061.925090414,5,0,12,12,17
Fiji,FJ,East Asia & Pacific,2019-04-09,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-09,passenger,312,0,2653,2653,2965,10090928.161874363,4,0,8,8,12
Fiji,FJ,East Asia & Pacific,2019-04-10,cargo,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJ,East Asia & Pacific,2019-04-10,passenger,410,586,2841,3427,3837,13683684.494417373,4,2,10,12,16
Fiji,FJ,East Asia & Pacific,2019-04-11,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-04-11,passenger,345,0,825,825,1170,4905384.212067333,5,0,4,4,9
Fiji,FJ,East Asia & Pacific,2019-04-12,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-12,passenger,38,313,4785,5098,5136,16177229.54684074,1,1,13,14,15
Fiji,FJ,East Asia & Pacific,2019-04-13,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-13,passenger,0,0,3157,3157,3157,9865971.469812108,0,0,10,10,10
Fiji,FJ,East Asia & Pacific,2019-04-14,cargo,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJ,East Asia & Pacific,2019-04-14,passenger,277,750,3927,4677,4954,17640762.803047307,4,3,11,14,18
Fiji,FJ,East Asia & Pacific,2019-04-15,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-15,passenger,38,0,3494,3494,3532,12266572.804882828,2,0,10,10,12
Fiji,FJ,East Asia & Pacific,2019-04-16,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-04-16,passenger,57,273,3225,3498,3555,13435267.953908278,2,1,8,9,11
Fiji,FJ,East Asia & Pacific,2019-04-17,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-17,passenger,239,313,2851,3164,3403,11870306.554220783,3,1,10,11,14
Fiji,FJ,East Asia & Pacific,2019-04-18,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-18,passenger,364,0,3813,3813,4177,11225655.62071615,6,0,8,8,14
Fiji,FJ,East Asia & Pacific,2019-04-19,cargo,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJ,East Asia & Pacific,2019-04-19,passenger,364,586,3335,3921,4285,15589066.632987013,4,2,9,11,15
Fiji,FJ,East Asia & Pacific,2019-04-20,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-20,passenger,383,0,3847,3847,4230,13647837.43369072,5,0,11,11,16
Fiji,FJ,East Asia & Pacific,2019-04-21,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-21,passenger,421,477,3984,4461,4882,15438636.413044002,2,2,12,14,16
Fiji,FJ,East Asia & Pacific,2019-04-22,cargo,0,0,0,0,0,0,0,0,3,3,3
Fiji,FJ,East Asia & Pacific,2019-04-22,passenger,255,273,3357,3630,3885,12095557.869347826,3,1,10,11,14
Fiji,FJ,East Asia & Pacific,2019-04-23,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-23,passenger,467,0,3372,3372,3839,11780994.513912763,6,0,8,8,14
Fiji,FJ,East Asia & Pacific,2019-04-24,cargo,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJ,East Asia & Pacific,2019-04-24,passenger,622,586,2417,3003,3625,11409724.333565023,5,2,9,11,16
Fiji,FJ,East Asia & Pacific,2019-04-25,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-25,passenger,486,0,3522,3522,4008,12327104.360853616,6,0,10,10,16
Fiji,FJ,East Asia & Pacific,2019-04-26,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-26,passenger,445,254,3671,3925,4370,13185441.563558947,5,1,10,11,16
Fiji,FJ,East Asia & Pacific,2019-04-27,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-04-27,passenger,372,0,3897,3897,4269,11626735.667808387,4,0,10,10,14
Fiji,FJ,East Asia & Pacific,2019-04-28,cargo,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJ,East Asia & Pacific,2019-04-28,passenger,467,691,3972,4663,5130,19478017.048395447,5,3,13,16,21
Fiji,FJ,East Asia & Pacific,2019-04-29,cargo,0,0,0,0,0,0,0,1,2,3,3
Fiji,FJ,East Asia & Pacific,2019-04-29,passenger,426,0,3377,3377,3803,9703729.504028257,5,0,11,11,16
Fiji,FJ,East Asia & Pacific,2019-04-30,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-04-30,passenger,396,273,2236,2509,2905,11724330.96929335,5,1,7,8,13
Fiji,FJ,East Asia & Pacific,2019-05-01,cargo,0,0,0,0,0,0,0,2,0,2,2
Fiji,FJ,East Asia & Pacific,2019-05-01,passenger,654,0,2301,2301,2955,7684104.254490405,5,0,9,9,14
Fiji,FJ,East Asia & Pacific,2019-05-02,cargo,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJ,East Asia & Pacific,2019-05-02,passenger,807,254,3044,3298,4105,13599770.190219333,7,1,8,9,16
Fiji,FJ,East Asia & Pacific,2019-05-03,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-03,passenger,372,313,3599,3912,4284,13166453.897032937,4,1,10,11,15
Fiji,FJ,East Asia & Pacific,2019-05-04,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-05-04,passenger,532,0,2934,2934,3466,11043627.7846639,8,0,10,10,18
Fiji,FJ,East Asia & Pacific,2019-05-05,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-05,passenger,738,477,3899,4376,5114,18289415.577981807,5,2,14,16,21
Fiji,FJ,East Asia & Pacific,2019-05-06,cargo,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJ,East Asia & Pacific,2019-05-06,passenger,689,273,3067,3340,4029,13200749.137199702,7,1,12,13,20
Fiji,FJ,East Asia & Pacific,2019-05-07,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-05-07,passenger,534,0,2777,2777,3311,10250533.887838103,5,0,8,8,13
Fiji,FJ,East Asia & Pacific,2019-05-08,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-08,passenger,757,313,2243,2556,3313,10256544.954622284,6,1,9,10,16
Fiji,FJ,East Asia & Pacific,2019-05-09,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-09,passenger,502,0,3205,3205,3707,9862074.270363804,8,0,8,8,16
Fiji,FJ,East Asia & Pacific,2019-05-10,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-05-10,passenger,84,586,3305,3891,3975,14332464.530019727,2,2,10,12,14
Fiji,FJ,East Asia & Pacific,2019-05-11,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-05-11,passenger,0,0,4084,4084,4084,13634939.903762445,0,0,13,13,13
Fiji,FJ,East Asia & Pacific,2019-05-12,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-12,passenger,540,424,2449,2873,3413,10681228.862725142,5,2,12,14,19
Fiji,FJ,East Asia & Pacific,2019-05-13,cargo,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJ,East Asia & Pacific,2019-05-13,passenger,624,273,2814,3087,3711,10987588.344403801,7,1,11,12,19
Fiji,FJ,East Asia & Pacific,2019-05-14,cargo,0,0,0,0,0,0,0,1,0,1,1
Fiji,FJ,East Asia & Pacific,2019-05-14,passenger,564,0,2647,2647,3211,9933317.14127683,5,0,8,8,13
Fiji,FJ,East Asia & Pacific,2019-05-15,cargo,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJ,East Asia & Pacific,2019-05-15,passenger,716,527,1791,2318,3034,9330375.394875959,5,2,8,10,15
Fiji,FJ,East Asia & Pacific,2019-05-16,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-16,passenger,725,0,2941,2941,3666,10460191.825021701,7,0,9,9,16
Fiji,FJ,East Asia & Pacific,2019-05-17,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-17,passenger,692,254,2834,3088,3780,10696620.702890739,7,1,9,10,17
Fiji,FJ,East Asia & Pacific,2019-05-18,cargo,0,0,0,0,0,0,0,0,2,2,2
Fiji,FJ,East Asia & Pacific,2019-05-18,passenger,730,273,3190,3463,4193,12175843.421154547,6,1,10,11,17
Fiji,FJ,East Asia & Pacific,2019-05-19,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-19,passenger,722,418,3145,3563,4285,12467096.045259822,6,2,13,15,21
Fiji,FJ,East Asia & Pacific,2019-05-20,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-20,passenger,684,0,3194,3194,3878,9490478.989396054,7,0,11,11,18
Fiji,FJ,East Asia & Pacific,2019-05-21,cargo,0,0,0,0,0,0,0,0,1,1,1
Fiji,FJ,East Asia & Pacific,2019-05-21,passenger,510,273,2452,2725,3235,11587866.462739123,6,1,8,9,15
Fiji,FJ,East Asia & Pacific,2019-05-22,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-22,passenger,833,254,1903,2157,2990,7331599.48150713,6,1,8,9,15
Fiji,FJ,East Asia & Pacific,2019-05-23,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-23,passenger,785,0,3027,3027,3812,10743594.147701204,7,0,9,9,16
Fiji,FJ,East Asia & Pacific,2019-05-24,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-24,passenger,600,254,3466,3720,4320,13696652.660769716,5,1,10,11,16
Fiji,FJ,East Asia & Pacific,2019-05-25,cargo,0,0,0,0,0,0,0,1,1,2,2
Fiji,FJ,East Asia & Pacific,2019-05-25,passenger,796,0,3471,3471,4267,10698091.98449609,6,0,10,10,16
