,country,date,seats_arrivals_domestic,seats_arrivals_intl,seats_arrivals_total
244,Palau,2019-09-02,0.0,284.0,284.0
245,Palau,2019-09-03,0.0,472.0,472.0
246,Palau,2019-09-04,0.0,324.0,324.0
247,Palau,2019-09-05,0.0,321.0,321.0
248,Palau,2019-09-06,0.0,450.0,450.0
249,Palau,2019-09-07,0.0,338.0,338.0
250,Palau,2019-09-08,0.0,300.0,300.0
251,Palau,2019-09-09,0.0,284.0,284.0
252,Palau,2019-09-10,0.0,292.0,292.0
253,Palau,2019-09-11,0.0,523.0,523.0
254,Palau,2019-09-12,0.0,480.0,480.0
255,Palau,2019-09-13,0.0,450.0,450.0
256,Palau,2019-09-14,0.0,158.0,158.0
257,Palau,2019-09-15,0.0,499.0,499.0
258,Palau,2019-09-16,0.0,324.0,324.0
259,Palau,2019-09-17,0.0,472.0,472.0
260,Palau,2019-09-18,0.0,324.0,324.0
261,Palau,2019-09-19,0.0,520.0,520.0
262,Palau,2019-09-20,0.0,450.0,450.0
263,Palau,2019-09-21,0.0,338.0,338.0
264,Palau,2019-09-22,0.0,300.0,300.0
265,Palau,2019-09-23,0.0,483.0,483.0
266,Palau,2019-09-24,0.0,292.0,292.0
267,Palau,2019-09-25,0.0,324.0,324.0
268,Palau,2019-09-26,0.0,520.0,520.0
269,Palau,2019-09-27,0.0,450.0,450.0
270,Palau,2019-09-28,0.0,158.0,158.0
271,Palau,2019-09-29,0.0,300.0,300.0
272,Palau,2019-09-30,0.0,284.0,284.0
273,Palau,2019-10-01,0.0,472.0,472.0
274,Palau,2019-10-02,0.0,284.0,284.0
275,Palau,2019-10-03,0.0,300.0,300.0
276,Palau,2019-10-04,0.0,608.0,608.0
277,Palau,2019-10-05,0.0,338.0,338.0
278,Palau,2019-10-06,0.0,340.0,340.0
279,Palau,2019-10-07,0.0,324.0,324.0
280,Palau,2019-10-08,0.0,292.0,292.0
281,Palau,2019-10-09,0.0,324.0,324.0
282,Palau,2019-10-10,0.0,480.0,480.0
283,Palau,2019-10-11,0.0,450.0,450.0
284,Palau,2019-10-12,0.0,158.0,158.0
285,Palau,2019-10-13,0.0,300.0,300.0
286,Palau,2019-10-14,0.0,284.0,284.0
287,Palau,2019-10-15,0.0,472.0,472.0
288,Palau,2019-10-16,0.0,284.0,284.0
289,Palau,2019-10-17,0.0,340.0,340.0
290,Palau,2019-10-18,0.0,450.0,450.0
291,Palau,2019-10-19,0.0,338.0,338.0
292,Palau,2019-10-20,0.0,300.0,300.0
293,Palau,2019-10-21,0.0,324.0,324.0
294,Palau,2019-10-22,0.0,252.0,252.0
295,Palau,2019-10-23,0.0,284.0,284.0
296,Palau,2019-10-24,0.0,520.0,520.0
297,Palau,2019-10-25,0.0,450.0,450.0
298,Palau,2019-10-26,0.0,158.0,158.0
299,Palau,2019-10-27,0.0,468.0,468.0
300,Palau,2019-10-28,0.0,284.0,284.0
301,Palau,2019-10-29,0.0,472.0,472.0
302,Palau,2019-10-30,0.0,284.0,284.0
303,Palau,2019-10-31,0.0,447.0,447.0
304,Palau,2019-11-01,0.0,410.0,410.0
305,Palau,2019-11-02,0.0,338.0,338.0
306,Palau,2019-11-03,0.0,447.0,447.0
307,Palau,2019-11-04,0.0,284.0,284.0
308,Palau,2019-11-05,0.0,292.0,292.0
309,Palau,2019-11-06,0.0,284.0,284.0
310,Palau,2019-11-07,0.0,618.0,618.0
311,Palau,2019-11-08,0.0,450.0,450.0
312,Palau,2019-11-09,0.0,158.0,158.0
313,Palau,2019-11-10,0.0,459.0,459.0
314,Palau,2019-11-11,0.0,284.0,284.0
315,Palau,2019-11-12,0.0,472.0,472.0
316,Palau,2019-11-13,0.0,458.0,458.0
317,Palau,2019-11-14,0.0,447.0,447.0
318,Palau,2019-11-15,0.0,450.0,450.0
319,Palau,2019-11-16,0.0,515.0,515.0
320,Palau,2019-11-17,0.0,447.0,447.0
