,Year,Australia,New Zealand,New Caledonia,Other PIC,Europe,North America,Japan,China,Other Countries,Total,Not Stated,Month,date,Number_of_flights_intl,Number_of_flights_total,Seats_arrivals_intl,Seats_arrivals_total
21,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2020-10-01,16.0,36.0,2195.0,5595.0
22,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2020-11-01,14.0,32.0,2034.0,5094.0
23,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2020-12-01,16.0,71.0,2556.0,10026.0
24,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021-01-01,18.0,117.0,3060.0,14280.0
25,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2021-02-01,20.0,110.0,3374.0,12194.0
26,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2021-03-01,20.0,105.0,3062.0,10692.0
27,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2021-04-01,23.0,86.0,3488.0,9718.0
28,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2021-05-01,21.0,100.0,3078.0,10288.0
29,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2021-06-01,24.0,103.0,3474.0,9704.0
30,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2021-07-01,23.0,116.0,3406.0,11696.0
31,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2021-08-01,19.0,121.0,3100.0,12760.0
32,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2021-09-01,16.0,117.0,2620.0,13100.0
33,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2021-10-01,26.0,105.0,4220.0,12660.0
34,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2021-11-01,24.0,112.0,4050.0,12440.0
35,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2021-12-01,23.0,76.0,3910.0,11170.0
36,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2022-01-01,11.0,19.0,1870.0,3230.0
37,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2022-02-01,16.0,24.0,2720.0,3820.0
38,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2022-03-01,15.0,28.0,2350.0,3330.0
39,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2022-04-01,6.0,12.0,920.0,1340.0
40,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2022-05-01,0.0,0.0,0.0,0.0
41,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2022-06-01,1.0,1.0,70.0,70.0
42,2022.0,1894.0,571.0,183.0,143.0,444.0,85.0,7.0,49.0,63.0,3439.0,0.0,7.0,2022-07-01,82.0,82.0,11684.0,11684.0
