,destination_iso_country,date,fl_ranking,fl_wow_change,fl_yoy_change,destination_country,flights_number_7days,week,year,weekday,psg_ranking,psg_wow_change,psg_yoy_change,passengers_number_7days
62,FJ,2020-03-03,2,-6.31%,-31.07%,Fiji,193,10,2020,2,2,-7.13%,-23.16%,21293
63,FJ,2020-03-04,2,-3.08%,-33.92%,Fiji,189,10,2020,3,2,-4.86%,-25.54%,20921
64,FJ,2020-03-05,2,-4.08%,-34.04%,Fiji,188,10,2020,4,2,-3.53%,-22.97%,21277
65,FJ,2020-03-06,2,-3.06%,-33.10%,Fiji,190,10,2020,5,2,-0.59%,-20.64%,21694
66,FJ,2020-03-07,2,-5.56%,-32.73%,Fiji,187,10,2020,6,2,-2.99%,-19.26%,21459
67,FJ,2020-03-08,2,-1.53%,-30.58%,Fiji,193,10,2020,7,2,-2.30%,-20.07%,21186
68,FJ,2020-03-09,2,3.02%,-24.35%,Fiji,205,11,2020,1,2,-2.93%,-19.38%,21217
69,FJ,2020-03-10,2,13.47%,-17.98%,Fiji,219,11,2020,2,2,-0.79%,-19.62%,21125
70,FJ,2020-03-11,2,25.93%,-8.11%,Fiji,238,11,2020,3,2,6.24%,-13.25%,22227
71,FJ,2020-03-12,2,33.51%,-2.71%,Fiji,251,11,2020,4,2,4.64%,-12.84%,22264
72,FJ,2020-03-13,2,38.42%,3.54%,Fiji,263,11,2020,5,2,4.69%,-11.29%,22712
73,FJ,2020-03-14,2,48.66%,9.02%,Fiji,278,11,2020,6,2,9.35%,-7.40%,23465
74,FJ,2020-03-15,2,48.70%,12.99%,Fiji,287,11,2020,7,2,17.80%,-1.55%,24958
75,FJ,2020-03-16,2,39.51%,12.16%,Fiji,286,12,2020,1,2,19.13%,0.26%,25275
76,FJ,2020-03-17,2,29.22%,14.57%,Fiji,283,12,2020,2,2,18.85%,3.19%,25107
77,FJ,2020-03-18,2,18.91%,12.75%,Fiji,283,12,2020,3,2,17.24%,4.54%,26058
78,FJ,2020-03-19,2,6.37%,5.12%,Fiji,267,12,2020,4,2,14.66%,0.35%,25529
79,FJ,2020-03-20,2,-7.22%,-5.43%,Fiji,244,12,2020,5,2,3.21%,-9.22%,23440
80,FJ,2020-03-21,2,-18.71%,-14.07%,Fiji,226,12,2020,6,2,-7.01%,-17.35%,21819
81,FJ,2020-03-22,2,-29.62%,-22.90%,Fiji,202,12,2020,7,2,-21.69%,-24.22%,19544
82,FJ,2020-03-23,2,-38.11%,-31.66%,Fiji,177,13,2020,1,2,-32.88%,-34.18%,16965
83,FJ,2020-03-24,2,-44.17%,-39.69%,Fiji,158,13,2020,2,2,-35.90%,-39.73%,16094
84,FJ,2020-03-25,2,-53.00%,-48.65%,Fiji,133,13,2020,3,2,-50.60%,-52.15%,12873
85,FJ,2020-03-26,2,-55.43%,-51.43%,Fiji,119,13,2020,4,2,-58.29%,-59.75%,10649
86,FJ,2020-03-27,2,-53.69%,-52.32%,Fiji,113,13,2020,5,2,-60.48%,-64.38%,9263
87,FJ,2020-03-28,2,-55.31%,-55.11%,Fiji,101,13,2020,6,2,-67.40%,-72.09%,7112
88,FJ,2020-03-29,2,-56.44%,-58.69%,Fiji,88,13,2020,7,2,-71.92%,-78.09%,5488
89,FJ,2020-03-30,1,-55.93%,-62.32%,Fiji,78,14,2020,1,2,-72.44%,-80.97%,4676
90,FJ,2020-03-31,1,-59.49%,-67.68%,Fiji,64,14,2020,2,2,-79.38%,-86.15%,3319
91,FJ,2020-04-01,2,-63.91%,-75.38%,Fiji,48,14,2020,3,2,-83.00%,-90.92%,2188
92,FJ,2020-04-02,2,-68.07%,-80.31%,Fiji,38,14,2020,4,2,-83.27%,-92.50%,1782
93,FJ,2020-04-03,2,-76.11%,-85.56%,Fiji,27,14,2020,5,2,-85.11%,-94.18%,1379
94,FJ,2020-04-04,2,-78.22%,-88.24%,Fiji,22,14,2020,6,2,-77.60%,-93.46%,1593
95,FJ,2020-04-05,2,-80.68%,-90.96%,Fiji,17,14,2020,7,2,-70.17%,-93.40%,1637
96,FJ,2020-04-06,2,-84.62%,-93.51%,Fiji,12,15,2020,1,2,-66.79%,-93.93%,1553
97,FJ,2020-04-07,2,-85.94%,-95.24%,Fiji,9,15,2020,2,2,-59.29%,-94.78%,1351
98,FJ,2020-04-08,2,-85.42%,-96.37%,Fiji,7,15,2020,3,2,-39.99%,-94.98%,1313
99,FJ,2020-04-09,2,-84.21%,-96.95%,Fiji,6,15,2020,4,2,-27.38%,-95.11%,1294
100,FJ,2020-04-10,2,-66.67%,-95.52%,Fiji,9,15,2020,5,2,60.55%,-91.90%,2214
101,FJ,2020-04-11,2,-77.27%,-97.33%,Fiji,5,15,2020,6,2,-0.31%,-93.56%,1588
102,FJ,2020-04-12,2,-82.35%,-98.41%,Fiji,3,15,2020,7,2,-43.80%,-96.45%,920
103,FJ,2020-04-13,2,-75.00%,-98.31%,Fiji,3,16,2020,1,2,-40.76%,-96.25%,920
104,FJ,2020-04-14,2,-66.67%,-98.28%,Fiji,3,16,2020,2,2,-31.90%,-96.29%,920
105,FJ,2020-04-15,2,-57.14%,-98.11%,Fiji,3,16,2020,3,2,-29.93%,-96.17%,920
106,FJ,2020-04-16,2,-33.33%,-97.39%,Fiji,4,16,2020,4,2,-27.43%,-96.19%,939
107,FJ,2020-04-17,2,-66.67%,-97.96%,Fiji,3,16,2020,5,3,-83.20%,-98.46%,372
108,FJ,2020-04-18,2,-40.00%,-98.14%,Fiji,3,16,2020,6,3,-76.57%,-98.62%,372
109,FJ,2020-04-19,2,66.67%,-96.95%,Fiji,5,16,2020,7,2,-21.20%,-97.25%,725
110,FJ,2020-04-20,2,200.00%,-94.97%,Fiji,9,17,2020,1,2,52.07%,-94.95%,1399
111,FJ,2020-04-21,2,266.67%,-93.96%,Fiji,11,17,2020,2,2,56.20%,-94.89%,1437
112,FJ,2020-04-22,2,333.33%,-93.23%,Fiji,13,17,2020,3,2,60.33%,-94.91%,1475
113,FJ,2020-04-23,2,350.00%,-91.13%,Fiji,18,17,2020,4,2,93.29%,-93.79%,1815
114,FJ,2020-04-24,2,633.33%,-89.72%,Fiji,22,17,2020,5,2,335.75%,-94.50%,1621
115,FJ,2020-04-25,2,800.00%,-87.73%,Fiji,27,17,2020,6,2,361.29%,-94.19%,1716
116,FJ,2020-04-26,2,520.00%,-86.22%,Fiji,31,17,2020,7,2,102.21%,-95.06%,1466
117,FJ,2020-04-27,2,266.67%,-85.27%,Fiji,33,18,2020,1,2,-25.59%,-96.49%,1041
118,FJ,2020-04-28,2,300.00%,-80.44%,Fiji,44,18,2020,2,2,-3.55%,-95.27%,1386
119,FJ,2020-04-29,2,292.31%,-77.73%,Fiji,51,18,2020,3,2,16.75%,-94.06%,1722
120,FJ,2020-04-30,2,200.00%,-76.00%,Fiji,54,18,2020,4,2,-0.66%,-93.57%,1803
121,FJ,2020-05-01,2,150.00%,-75.34%,Fiji,55,18,2020,5,2,37.38%,-91.93%,2227
122,FJ,2020-05-02,2,118.52%,-74.01%,Fiji,59,18,2020,6,2,36.19%,-91.64%,2337
123,FJ,2020-05-03,2,106.45%,-71.30%,Fiji,64,18,2020,7,2,100.41%,-89.54%,2938
124,FJ,2020-05-04,2,106.06%,-69.37%,Fiji,68,19,2020,1,2,224.11%,-87.64%,3374
125,FJ,2020-05-05,2,47.73%,-71.24%,Fiji,65,19,2020,2,2,138.46%,-87.98%,3305
126,FJ,2020-05-06,2,29.41%,-71.55%,Fiji,66,19,2020,3,2,85.19%,-88.50%,3189
127,FJ,2020-05-07,2,29.63%,-70.46%,Fiji,70,19,2020,4,2,94.90%,-87.52%,3514
128,FJ,2020-05-08,2,27.27%,-71.07%,Fiji,70,19,2020,5,2,49.71%,-88.31%,3334
129,FJ,2020-05-09,2,11.86%,-72.03%,Fiji,66,19,2020,6,2,39.88%,-88.39%,3269
130,FJ,2020-05-10,2,0.00%,-71.93%,Fiji,64,19,2020,7,2,9.60%,-88.32%,3220
131,FJ,2020-05-11,2,-7.35%,-71.62%,Fiji,63,20,2020,1,2,-6.46%,-88.82%,3156
132,FJ,2020-05-12,2,1.54%,-68.72%,Fiji,66,20,2020,2,2,-1.75%,-87.81%,3247
133,FJ,2020-05-13,2,0.00%,-68.57%,Fiji,66,20,2020,3,2,14.86%,-86.21%,3663
134,FJ,2020-05-14,2,-11.43%,-70.33%,Fiji,62,20,2020,4,2,-9.45%,-87.98%,3182
135,FJ,2020-05-15,2,-7.14%,-68.45%,Fiji,65,20,2020,5,2,2.88%,-86.85%,3430
136,FJ,2020-05-16,2,4.55%,-66.83%,Fiji,69,20,2020,6,2,33.40%,-83.07%,4361
137,FJ,2020-05-17,2,3.13%,-70.14%,Fiji,66,20,2020,7,2,34.01%,-83.11%,4315
138,FJ,2020-05-18,2,0.00%,-73.19%,Fiji,63,21,2020,1,2,36.34%,-83.22%,4303
139,FJ,2020-05-19,2,-18.18%,-78.05%,Fiji,54,21,2020,2,2,36.25%,-83.31%,4424
140,FJ,2020-05-20,2,-22.73%,-79.35%,Fiji,51,21,2020,3,2,19.03%,-83.51%,4360
141,FJ,2020-05-21,2,-20.97%,-80.16%,Fiji,49,21,2020,4,2,47.83%,-82.03%,4704
142,FJ,2020-05-22,2,-27.69%,-81.12%,Fiji,47,21,2020,5,2,43.38%,-81.25%,4918
143,FJ,2020-05-23,2,-37.68%,-82.87%,Fiji,43,21,2020,6,2,-0.73%,-83.59%,4329
144,FJ,2020-05-24,2,-34.85%,-82.87%,Fiji,43,21,2020,7,2,3.78%,-83.37%,4478
145,FJ,2020-05-25,2,-33.33%,-83.27%,Fiji,42,22,2020,1,2,0.70%,-83.94%,4333
146,FJ,2020-05-26,2,-24.07%,-83.98%,Fiji,41,22,2020,2,2,-9.61%,-85.69%,3999
147,FJ,2020-05-27,2,-21.57%,-84.13%,Fiji,40,22,2020,3,2,-13.49%,-86.37%,3772
148,FJ,2020-05-28,2,-18.37%,-84.19%,Fiji,40,22,2020,4,2,-19.81%,-86.57%,3772
149,FJ,2020-05-29,2,-14.89%,-84.13%,Fiji,40,22,2020,5,2,-24.03%,-86.85%,3736
150,FJ,2020-05-30,2,-6.98%,-84.31%,Fiji,40,22,2020,6,2,-19.52%,-87.77%,3484
151,FJ,2020-05-31,2,-11.63%,-85.04%,Fiji,38,22,2020,7,2,-35.02%,-89.72%,2910
152,FJ,2020-06-01,2,-14.29%,-85.77%,Fiji,36,23,2020,1,2,-40.99%,-90.92%,2557
153,FJ,2020-06-02,2,-4.88%,-84.52%,Fiji,39,23,2020,2,2,-26.11%,-89.49%,2955
154,FJ,2020-06-03,2,-5.00%,-85.10%,Fiji,38,23,2020,3,2,-27.39%,-90.52%,2739
155,FJ,2020-06-04,2,-2.50%,-84.88%,Fiji,39,23,2020,4,2,-23.09%,-90.12%,2901
156,FJ,2020-06-05,2,-7.50%,-85.82%,Fiji,37,23,2020,5,2,-26.26%,-90.76%,2755
157,FJ,2020-06-06,2,-2.50%,-84.88%,Fiji,39,23,2020,6,2,-10.79%,-89.65%,3108
158,FJ,2020-06-07,2,7.89%,-83.98%,Fiji,41,23,2020,7,2,27.35%,-87.69%,3706
159,FJ,2020-06-08,2,16.67%,-83.72%,Fiji,42,24,2020,1,2,59.05%,-86.58%,4067
160,FJ,2020-06-09,2,2.56%,-84.00%,Fiji,40,24,2020,2,2,32.72%,-86.87%,3922
161,FJ,2020-06-10,2,0.00%,-84.68%,Fiji,38,24,2020,3,2,41.15%,-86.83%,3866
162,FJ,2020-06-11,2,-5.13%,-84.96%,Fiji,37,24,2020,4,2,24.89%,-87.62%,3623
163,FJ,2020-06-12,2,2.70%,-84.49%,Fiji,38,24,2020,5,2,37.82%,-87.01%,3797
164,FJ,2020-06-13,2,-5.13%,-84.84%,Fiji,37,24,2020,6,2,20.40%,-87.16%,3742
165,FJ,2020-06-14,2,-12.20%,-85.48%,Fiji,36,24,2020,7,2,-6.88%,-88.18%,3451
166,FJ,2020-06-15,2,-14.29%,-85.48%,Fiji,36,25,2020,1,2,-15.15%,-88.24%,3451
167,FJ,2020-06-16,2,-12.50%,-86.11%,Fiji,35,25,2020,2,2,-13.18%,-88.33%,3405
168,FJ,2020-06-17,2,-7.89%,-86.17%,Fiji,35,25,2020,3,2,-4.47%,-87.28%,3693
169,FJ,2020-06-18,2,-8.11%,-86.77%,Fiji,34,25,2020,4,2,2.65%,-87.41%,3719
170,FJ,2020-06-19,2,-10.53%,-86.87%,Fiji,34,25,2020,5,2,-4.95%,-87.80%,3609
171,FJ,2020-06-20,2,-8.11%,-87.12%,Fiji,34,25,2020,6,2,-3.31%,-87.96%,3618
172,FJ,2020-06-21,2,0.00%,-86.15%,Fiji,36,25,2020,7,2,10.95%,-87.06%,3829
173,FJ,2020-06-22,2,8.33%,-85.00%,Fiji,39,26,2020,1,2,13.39%,-86.89%,3913
174,FJ,2020-06-23,2,17.14%,-84.47%,Fiji,41,26,2020,2,2,17.36%,-86.67%,3996
175,FJ,2020-06-24,2,17.14%,-84.35%,Fiji,41,26,2020,3,2,0.89%,-87.60%,3726
176,FJ,2020-06-25,2,20.59%,-84.23%,Fiji,41,26,2020,4,2,-1.02%,-87.63%,3681
177,FJ,2020-06-26,2,26.47%,-83.65%,Fiji,43,26,2020,5,2,3.05%,-87.58%,3719
178,FJ,2020-06-27,2,23.53%,-84.15%,Fiji,42,26,2020,6,2,9.48%,-86.77%,3961
179,FJ,2020-06-28,2,19.44%,-84.07%,Fiji,43,26,2020,7,2,3.92%,-87.08%,3979
180,FJ,2020-06-29,2,7.69%,-84.50%,Fiji,42,27,2020,1,2,0.51%,-87.24%,3933
181,FJ,2020-06-30,2,-4.88%,-85.77%,Fiji,39,27,2020,2,2,-4.13%,-87.86%,3831
182,FJ,2020-07-01,2,2.44%,-85.05%,Fiji,42,27,2020,3,2,16.64%,-86.56%,4346
183,FJ,2020-07-02,2,4.88%,-84.81%,Fiji,43,27,2020,4,2,18.20%,-86.61%,4351
184,FJ,2020-07-03,2,-4.65%,-85.66%,Fiji,41,27,2020,5,2,10.84%,-87.43%,4122
185,FJ,2020-07-04,2,-4.76%,-86.11%,Fiji,40,27,2020,6,2,-3.91%,-88.55%,3806
186,FJ,2020-07-05,2,-6.98%,-86.35%,Fiji,40,27,2020,7,2,-5.50%,-88.88%,3760
187,FJ,2020-07-06,2,-9.52%,-87.12%,Fiji,38,28,2020,1,2,-6.05%,-89.12%,3695
188,FJ,2020-07-07,2,-7.69%,-87.71%,Fiji,36,28,2020,2,2,-13.47%,-90.21%,3315
189,FJ,2020-07-08,2,-23.81%,-89.08%,Fiji,32,28,2020,3,2,-23.91%,-90.31%,3307
190,FJ,2020-07-09,2,-41.86%,-91.53%,Fiji,25,28,2020,4,2,-36.24%,-91.99%,2774
191,FJ,2020-07-10,2,-53.66%,-93.54%,Fiji,19,28,2020,5,2,-38.09%,-92.62%,2552
192,FJ,2020-07-11,2,-57.50%,-94.18%,Fiji,17,28,2020,6,2,-27.56%,-91.94%,2757
193,FJ,2020-07-12,2,-77.50%,-96.93%,Fiji,9,28,2020,7,2,-44.60%,-93.92%,2083
194,FJ,2020-07-13,2,-81.58%,-97.64%,Fiji,7,29,2020,1,2,-44.90%,-94.13%,2036
195,FJ,2020-07-14,2,-77.78%,-97.32%,Fiji,8,29,2020,2,2,-28.51%,-93.18%,2370
196,FJ,2020-07-15,2,-71.88%,-96.98%,Fiji,9,29,2020,3,2,-27.76%,-93.13%,2389
197,FJ,2020-07-16,2,-64.00%,-96.96%,Fiji,9,29,2020,4,2,-13.88%,-93.08%,2389
198,FJ,2020-07-17,2,-57.89%,-97.30%,Fiji,8,29,2020,5,2,-19.47%,-94.07%,2055
199,FJ,2020-07-18,2,-58.82%,-97.61%,Fiji,7,29,2020,6,2,-37.58%,-94.98%,1721
200,FJ,2020-07-19,2,55.56%,-95.16%,Fiji,14,29,2020,7,2,12.77%,-92.97%,2349
201,FJ,2020-07-20,2,142.86%,-94.06%,Fiji,17,30,2020,1,2,24.80%,-92.38%,2541
202,FJ,2020-07-21,2,162.50%,-92.73%,Fiji,21,30,2020,2,2,16.12%,-91.84%,2752
203,FJ,2020-07-22,2,166.67%,-91.78%,Fiji,24,30,2020,3,2,3.52%,-92.73%,2473
204,FJ,2020-07-23,2,244.44%,-89.38%,Fiji,31,30,2020,4,2,39.77%,-90.04%,3339
205,FJ,2020-07-24,2,350.00%,-87.67%,Fiji,36,30,2020,5,2,91.19%,-88.13%,3929
206,FJ,2020-07-25,2,457.14%,-86.91%,Fiji,39,30,2020,6,2,136.84%,-88.02%,4076
207,FJ,2020-07-26,2,157.14%,-87.84%,Fiji,36,30,2020,7,2,67.26%,-88.35%,3929
208,FJ,2020-07-27,2,100.00%,-88.51%,Fiji,34,31,2020,1,2,46.04%,-88.84%,3711
209,FJ,2020-07-28,2,66.67%,-88.14%,Fiji,35,31,2020,2,2,35.54%,-88.62%,3730
210,FJ,2020-07-29,2,37.50%,-88.58%,Fiji,33,31,2020,3,2,55.07%,-87.94%,3835
211,FJ,2020-07-30,2,9.68%,-88.32%,Fiji,34,31,2020,4,2,18.12%,-87.65%,3944
212,FJ,2020-07-31,2,-5.56%,-88.32%,Fiji,34,31,2020,5,2,0.38%,-87.57%,3944
213,FJ,2020-08-01,2,-10.26%,-87.85%,Fiji,35,31,2020,6,2,-0.56%,-87.05%,4053
214,FJ,2020-08-02,2,0.00%,-87.71%,Fiji,36,31,2020,7,2,5.93%,-87.06%,4162
215,FJ,2020-08-03,2,8.82%,-87.50%,Fiji,37,32,2020,1,2,15.09%,-86.76%,4271
216,FJ,2020-08-04,2,2.86%,-87.67%,Fiji,36,32,2020,2,2,16.84%,-86.25%,4358
217,FJ,2020-08-05,2,12.12%,-87.29%,Fiji,37,32,2020,3,2,7.09%,-86.93%,4107
218,FJ,2020-08-06,2,17.65%,-86.21%,Fiji,40,32,2020,4,2,16.51%,-85.27%,4595
219,FJ,2020-08-07,2,20.59%,-85.71%,Fiji,41,32,2020,5,2,18.13%,-85.13%,4659
220,FJ,2020-08-08,2,17.14%,-85.56%,Fiji,41,32,2020,6,2,14.95%,-85.03%,4659
221,FJ,2020-08-09,2,16.67%,-84.84%,Fiji,42,32,2020,7,2,12.40%,-84.68%,4678
222,FJ,2020-08-10,2,13.51%,-84.73%,Fiji,42,33,2020,1,2,9.53%,-84.69%,4678
223,FJ,2020-08-11,2,25.00%,-83.81%,Fiji,45,33,2020,2,2,12.05%,-84.28%,4883
224,FJ,2020-08-12,2,29.73%,-82.86%,Fiji,48,33,2020,3,2,39.86%,-81.56%,5744
225,FJ,2020-08-13,2,10.00%,-84.23%,Fiji,44,33,2020,4,2,12.99%,-83.49%,5192
226,FJ,2020-08-14,2,7.32%,-84.29%,Fiji,44,33,2020,5,2,11.44%,-83.52%,5192
227,FJ,2020-08-15,2,4.88%,-84.81%,Fiji,43,33,2020,6,2,4.27%,-84.42%,4858
228,FJ,2020-08-16,2,-2.38%,-85.56%,Fiji,41,33,2020,7,2,-3.70%,-85.34%,4505
229,FJ,2020-08-17,2,7.14%,-84.15%,Fiji,45,34,2020,1,2,5.17%,-84.12%,4920
230,FJ,2020-08-18,2,-4.44%,-84.53%,Fiji,43,34,2020,2,2,-2.62%,-84.28%,4755
231,FJ,2020-08-19,2,-20.83%,-86.18%,Fiji,38,34,2020,3,2,-32.87%,-87.18%,3856
232,FJ,2020-08-20,2,-11.36%,-85.66%,Fiji,39,34,2020,4,2,-24.50%,-86.72%,3920
233,FJ,2020-08-21,2,-6.82%,-84.70%,Fiji,41,34,2020,5,2,-18.10%,-85.49%,4252
234,FJ,2020-08-22,2,-4.65%,-84.35%,Fiji,41,34,2020,6,2,-9.39%,-84.84%,4402
235,FJ,2020-08-23,2,-2.44%,-84.44%,Fiji,40,34,2020,7,2,-3.71%,-84.90%,4338
236,FJ,2020-08-24,2,-15.56%,-84.98%,Fiji,38,35,2020,1,2,-17.28%,-85.61%,4070
237,FJ,2020-08-25,2,-6.98%,-84.25%,Fiji,40,35,2020,2,2,-7.80%,-84.59%,4384
238,FJ,2020-08-26,2,10.53%,-83.53%,Fiji,42,35,2020,3,2,16.55%,-84.27%,4494
239,FJ,2020-08-27,2,15.38%,-82.28%,Fiji,45,35,2020,4,2,29.74%,-82.15%,5086
240,FJ,2020-08-28,2,0.00%,-83.98%,Fiji,41,35,2020,5,2,7.74%,-83.85%,4581
241,FJ,2020-08-29,2,0.00%,-84.11%,Fiji,41,35,2020,6,2,-0.07%,-84.43%,4399
242,FJ,2020-08-30,2,7.50%,-83.52%,Fiji,43,35,2020,7,2,3.62%,-84.20%,4495
