,date,total,train_pred,mean_se,mean_ci_lower,mean_ci_upper
32,2011-09-01,2159,2169.80165520481,2240.5973157765625,838.5442539254079,2916.524468989012
33,2011-10-01,1931,2029.433103823809,2239.714591914588,720.911924515064,2872.8388645904583
34,2011-11-01,2195,1802.2576611597156,2239.1911723407075,565.4870495766475,2791.827917926099
35,2011-12-01,1947,1963.8952751489837,2239.1910102210254,672.5749583235731,2850.6681403167427
36,2012-01-01,1383,1918.5957572446428,2222.8319271608343,666.6060281405759,2821.507247431268
37,2012-02-01,1591,1652.6747558906325,2214.039270070514,513.4587984399161,2702.5741146668697
38,2012-03-01,1677,1862.9913083702522,2211.4473204083197,645.9710100090558,2790.4072257273333
39,2012-04-01,1839,1951.0576591511513,2209.5045268451663,712.0436352079668,2822.462437049853
40,2012-05-01,1968,1690.0250958880265,2208.0270029078597,542.5143545108357,2713.3120883704587
41,2012-06-01,3122,2153.328169147946,2206.890884887966,887.4783952214958,2890.439739427977
42,2012-07-01,2865,2980.812662080395,2206.009950058565,2466.286840048167,3096.541072703554
43,2012-08-01,2133,2615.9831197464423,2205.322872434181,1501.8480293868456,3017.998584200223
44,2012-09-01,2309,2637.011297818207,2204.7868636832845,1542.3969054464008,3022.8340582459646
45,2012-10-01,1929,2497.510667802324,2204.381102747634,1306.28209234689,2988.2699963503546
46,2012-11-01,1545,2343.334407693145,2204.143172896796,1097.3032230060119,2946.3889593336353
47,2012-12-01,1564,2233.4416195296762,2204.140998956546,972.9944947686926,2913.9069781696217
48,2013-01-01,1590,2042.7023820840552,2195.1414855036214,810.1037345872102,2844.5128200081676
49,2013-02-01,1544,1960.2821379882828,2190.8993831673747,750.4820356084323,2810.4446555186337
50,2013-03-01,2184,2049.580734380193,2189.641776456777,825.9391695539655,2842.7956476596783
51,2013-04-01,2021,2254.6712308096266,2188.6701620881845,1027.4435288432628,2911.372759956151
52,2013-05-01,1857,2047.257776360265,2187.9139357197214,827.0786706264433,2840.6280171555873
53,2013-06-01,2317,2958.172950469217,2187.3219673920867,2413.392348518486,3090.371039144163
54,2013-07-01,2574,2391.4356322816,2186.8565426039954,1195.8713576512519,2951.6518593239743
55,2013-08-01,2022,2147.8533725702723,2186.489593943327,921.6342012082807,2875.018371003147
56,2013-09-01,2291,2376.488977887149,2186.2009929801006,1177.826182809822,2946.9845533634934
57,2013-10-01,2057,2106.300996861979,2185.981669273299,883.3250371184087,2860.3001868423344
58,2013-11-01,1981,1987.1147818516772,2185.8552325036867,780.525981383851,2816.537502282221
59,2013-12-01,1993,2004.63010127413,2185.8514311366584,794.8437801954054,2823.190682720485
60,2014-01-01,1415,1888.0238597246753,2180.177267906689,713.6310097064867,2771.9618638214765
61,2014-02-01,1523,1799.1255806629995,2177.708458890938,654.7310917140584,2731.0498875371673
62,2014-03-01,1816,1931.3029334671132,2176.9818054721195,751.6362000882102,2786.8936955442855
63,2014-04-01,1514,2004.909634933843,2176.412676026165,811.8433020543141,2815.5885741776387
64,2014-05-01,1462,1794.3954005051728,2175.964966424878,654.2048105595464,2727.131844262061
65,2014-06-01,1949,2796.9706387959523,2175.611563381968,1959.262380925511,3053.165174337783
66,2014-07-01,2114,2269.8312886382582,2175.3318753962526,1072.0714880081734,2908.3040630827086
67,2014-08-01,1639,1825.625183710068,2175.1102278843264,677.005423736256,2740.2540526318994
68,2014-09-01,1730,2063.5506730228326,2174.9352459788065,865.2111725091859,2836.6241759709123
69,2014-10-01,1798,1730.9596100435897,2174.8021424973144,614.2360309740274,2696.398321645098
70,2014-11-01,1515,1636.5211429278756,2174.7266354083167,556.5375524286982,2649.441127672231
71,2014-12-01,1595,1567.519085129604,2174.722291020517,517.280128966051,2612.7851190006945
