,date,total,train_pred,mean_se,mean_ci_lower,mean_ci_upper
91,2017-08-01,8452,5782.084878846602,9805.552836978095,1214.2375515671322,11354.822801005663
92,2017-09-01,10734,6737.894728888974,9805.5184580383,1573.7677297454004,11783.28314933072
93,2017-10-01,7447,8358.276019651574,9805.459092226482,2410.489590708159,12328.92036497255
94,2017-11-01,5538,5554.5703741288735,9804.765356807378,1139.7165441353475,11235.799740085575
95,2017-12-01,9651,11138.635393113971,9804.430067210647,5377.855307401485,12951.267427289718
96,2018-01-01,7640,4196.957867628302,9786.164651669831,765.4781234692882,10318.700327200662
97,2018-02-01,3856,5899.60195257923,9785.316200514493,1272.1499117117414,11388.228823059299
98,2018-03-01,5911,4618.149549790409,9784.709062939051,876.5317866666016,10632.242440919532
99,2018-04-01,5477,5922.614251116373,9784.70903946603,1280.7853556803245,11398.818081630403
100,2018-05-01,5141,5599.178957205255,9784.708940282846,1170.423321425069,11233.185242853691
101,2018-06-01,8408,6543.918442734496,9784.708610966607,1515.643044039373,11681.938013357429
102,2018-07-01,9046,6639.15945726893,9784.707039874178,1554.6227701239122,11721.749921058317
103,2018-08-01,6107,6553.637375074404,9784.702734362214,1519.5877516063676,11686.035020818068
104,2018-09-01,5317,7329.071018718613,9784.67570402505,1864.802020823304,11985.934957351878
105,2018-10-01,9545,6676.350939652864,9784.629028415471,1570.1595461878758,11736.979779786274
106,2018-11-01,4570,4940.256951145522,9784.083621763488,967.3208904786579,10847.25692520499
107,2018-12-01,6288,11136.98654652583,9783.820102115174,5425.297372561561,12945.952630037484
108,2019-01-01,4688,3831.4274399624956,9769.480118775296,684.6497934827402,9976.383625076141
109,2019-02-01,6157,4606.859546019412,9768.812713794901,883.3913448722619,10598.543011398464
110,2019-03-01,8686,4707.39502027987,9768.335037932975,911.5441330625433,10668.14738354134
111,2019-04-01,7704,6995.605005296302,9768.33501899983,1727.0593428191887,11847.50341812113
112,2019-05-01,6800,6540.148469297458,9768.33493899967,1530.912277720347,11662.778849514314
113,2019-06-01,8934,7211.448342516718,9768.334673376266,1827.6955396324151,11928.707203597358
114,2019-07-01,8315,7379.683102237538,9768.333406149048,1909.9221911828117,11989.424027568008
115,2019-08-01,8178,6533.374259598095,9768.329933365154,1528.153230628848,11659.87819457343
116,2019-09-01,7829,7216.388875961992,9768.308131054206,1830.093489869515,11930.497315109857
117,2019-10-01,8255,7933.357884074753,9768.270483449473,2207.010212295683,12174.769795559037
118,2019-11-01,7722,5025.674545289963,9767.830589109255,1003.6608806845318,10877.03811838167
119,2019-12-01,10704,10926.818655694657,9767.618095478321,5106.185714579084,12903.207695661122
120,2020-01-01,5517,3985.4325420368336,9756.063753413411,728.8695132959089,10088.299745987633
121,2020-02-01,4692,3079.6018877408405,9755.525250550287,521.6176218963217,9162.520184923196
122,2020-03-01,1259,1255.2233425269171,9755.139781350857,184.60214962119665,5776.22976104417
123,2020-04-01,0,0.6106341524214789,9755.139765762087,-0.7814730028860648,10.86311436378087
124,2020-05-01,0,1.6045616805621075,9755.139699893383,-0.6465964014342891,18.17474115298045
125,2020-06-01,0,5.321242290787242,9755.139481190316,-0.14208563300721666,45.45412830070831
126,2020-07-01,1,3.7868595435671724,9755.13843780987,-0.3503953353984075,34.20392934363733
127,2020-08-01,5,1.2636181118548406,9755.135578467578,-0.6928636662003913,15.667391627610964
128,2020-09-01,16,3.971302812118174,9755.117627433736,-0.3253465731336397,35.556574781231376
129,2020-09-01,16,8.19143455375661,9755.086630292446,0.24773793365730157,66.4515506203738
130,2020-10-01,13,6.322645226921164,9754.72445548702,-0.005798638698253922,52.77072209808012
131,2020-11-01,20,48.9264388993761,9754.54953291265,5.79831337997349,358.2500680766604
132,2020-11-01,20,4.941841649782136,9745.043535368342,-0.1874122941065749,42.34251017234176
133,2020-12-01,23,8.496445085311036,9744.600044240551,0.299440169006963,68.13175551146206
134,2021-01-01,18,8.867729986755084,9744.282555815227,0.3506014690849606,70.80484961888622
135,2021-02-01,41,12.21947963729894,9744.282542760999,0.809751879683676,95.04234356475084
136,2021-03-01,23,10.552963057344428,9744.28248760182,0.5814336846338353,83.00086555723051
137,2021-04-01,2,14.602664830485107,9744.282304457354,1.1363425406134393,112.22920964693485
138,2021-05-01,18,9.69778139726798,9744.281430719133,0.4642913675771896,76.81428966092467
139,2021-06-01,52,7.333484025869533,9744.279036273596,0.1404976023896103,59.68443700957053
140,2021-07-01,22,15.765458702054147,9744.264003914737,1.2957596843388623,120.59927325924224
141,2021-08-01,14,14.2215611193935,9744.23804674243,1.0841792304538593,109.47972386942754
142,2021-09-01,4,3.8759605722442236,9743.934767327608,-0.3326658943452906,34.55573563115081
143,2021-10-01,8,23.280281145919112,9743.788307787929,2.327616905804789,174.41989424773575
144,2021-11-01,0,2.316069177703412,9735.832540626443,-0.5434157560898172,23.051426068559945
145,2021-12-01,0,3.730244304715743,9735.461085288047,-0.34845774485634107,33.27599939935671
