,date,ym,samoa_rnz_news_count,samoa_rnz_epu_count,samoa_rnz_ratio,samoa_observer_news_count,samoa_observer_epu_count,samoa_observer_ratio,news_total,samoa_rnz_weights,samoa_observer_weights,samoa_rnz_z_score,samoa_observer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
44,2018-10-01,2018-10,8.0,0.0,0.0,142.0,9.0,0.06338028169014084,150.0,0.05333333333333334,0.9466666666666667,0.0,1.2582117694615773,0.6291058847307887,1.1911071417569599,77.33413396729584,61.22474771081883
45,2018-11-01,2018-11,4.0,0.0,0.0,135.0,21.0,0.15555555555555556,139.0,0.02877697841726619,0.9712230215827338,0.0,3.088055552703229,1.5440277763516146,2.9991906447117693,194.72623660829888,150.2651832705035
46,2018-12-01,2018-12,6.0,1.0,0.16666666666666666,90.0,6.0,0.06666666666666667,96.0,0.0625,0.9375,1.8811648213625933,1.3234523797299553,1.6023086005462743,1.3583094073319952,88.18995201448001,155.93708818238264
47,2019-01-01,2019-1,9.0,1.0,0.1111111111111111,119.0,11.0,0.09243697478991597,128.0,0.0703125,0.9296875,1.2541098809083955,1.8350390139112829,1.5445744474098393,1.7941924342470175,116.4902074791516,150.3183854395389
48,2019-02-01,2019-2,2.0,0.0,0.0,116.0,12.0,0.10344827586206896,118.0,0.01694915254237288,0.9830508474576272,0.0,2.0536330030292413,1.0268165015146207,2.0188256639948476,131.07480333439975,99.93004798777328
49,2019-03-01,2019-3,5.0,0.0,0.0,115.0,12.0,0.10434782608695652,120.0,0.041666666666666664,0.9583333333333334,0.0,2.071490681316452,1.035745340658226,1.9851785695949333,128.89022327882643,100.7990049267974
50,2019-04-01,2019-4,6.0,0.0,0.0,86.0,12.0,0.13953488372093023,92.0,0.06521739130434782,0.9347826086956522,0.0,2.770016608737116,1.385008304368558,2.5893633516455647,168.11768253759965,134.78936705327558
51,2019-05-01,2019-5,9.0,0.0,0.0,102.0,16.0,0.1568627450980392,111.0,0.08108108108108109,0.918918918918919,0.0,3.1140055993646008,1.5570027996823004,2.861518658875579,185.78770923074075,151.52791590302874
52,2019-06-01,2019-6,8.0,0.0,0.0,120.0,9.0,0.075,128.0,0.0625,0.9375,0.0,1.4888839271961998,0.7444419635980999,1.3958286817464374,90.62593824292482,72.44928479113563
53,2019-07-01,2019-7,6.0,0.0,0.0,60.0,7.0,0.11666666666666667,66.0,0.09090909090909091,0.9090909090909091,0.0,2.316041664527422,1.158020832263711,2.1054924222976563,136.70175196239163,112.69888745287764
54,2019-08-01,2019-8,2.0,0.0,0.0,78.0,4.0,0.05128205128205128,80.0,0.025,0.975,0.0,1.0180402920999656,0.5090201460499828,0.9925892847974664,64.4451116394132,49.537972506759395
55,2019-09-01,2019-9,5.0,2.0,0.4,91.0,8.0,0.08791208791208792,96.0,0.052083333333333336,0.9479166666666666,4.514795571270224,1.745211929314227,3.1300037502922256,1.8894610773327685,122.67564432944903,304.6127759996451
56,2019-10-01,2019-10,5.0,0.0,0.0,86.0,10.0,0.11627906976744186,91.0,0.054945054945054944,0.945054945054945,0.0,2.3083471739475967,1.1541735869737983,2.1815149116427834,141.6376079987103,112.32447254439631
57,2019-11-01,2019-11,8.0,1.0,0.125,73.0,8.0,0.1095890410958904,81.0,0.09876543209876543,0.9012345679012346,1.410873616021945,2.1755381584602005,1.7932058872410728,2.1000157345156816,136.3461710983532,174.5152615872783
58,2019-12-01,2019-12,6.0,1.0,0.16666666666666666,88.0,9.0,0.10227272727272728,94.0,0.06382978723404255,0.9361702127659575,1.8811648213625933,2.0302962643584546,1.955730542860524,2.020777236082123,131.20151161441356,190.33220318423494
59,2020-01-01,2020-1,2.0,0.0,0.0,103.0,5.0,0.04854368932038835,105.0,0.01904761904761905,0.9809523809523809,0.0,0.9636789172790937,0.48183945863954686,0.9453231283785395,61.376296799441135,46.892740965136326
60,2020-02-01,2020-2,6.0,0.0,0.0,116.0,23.0,0.19827586206896552,122.0,0.04918032786885246,0.9508196721311475,0.0,3.936129922472712,1.968064961236356,3.742549762351103,242.98976519778745,191.53259197656544
61,2020-03-01,2020-3,4.0,0.0,0.0,93.0,14.0,0.15053763440860216,97.0,0.041237113402061855,0.9587628865979382,0.0,2.988440857454738,1.494220428727369,2.865206182920522,186.02712638181129,145.41791929403567
62,2020-04-01,2020-4,6.0,2.0,0.3333333333333333,112.0,18.0,0.16071428571428573,118.0,0.05084745762711865,0.9491525423728814,3.7623296427251867,3.1904655582775714,3.476397600501379,3.2195433930799924,209.03291680940464,338.3239152567672
63,2020-05-01,2020-5,19.0,1.0,0.05263157894736842,113.0,13.0,0.11504424778761062,132.0,0.14393939393939395,0.8560606060606061,0.5940520488513452,2.283833752631339,1.4389429007413421,2.04060759829937,132.48902290081764,140.03829594737044
64,2020-06-01,2020-6,6.0,1.0,0.16666666666666666,129.0,17.0,0.13178294573643412,135.0,0.044444444444444446,0.9555555555555556,1.8811648213625933,2.61612679714061,2.2486458092516015,2.5834618204393647,167.73451817822954,218.8387928072446
65,2020-07-01,2020-7,6.0,0.0,0.0,126.0,20.0,0.15873015873015872,132.0,0.045454545454545456,0.9545454545454546,0.0,3.1510770945951316,1.5755385472975658,3.0078463175680805,195.2882170891309,153.33181966377907
66,2020-08-01,2020-8,7.0,1.0,0.14285714285714285,109.0,20.0,0.1834862385321101,116.0,0.0603448275862069,0.9396551724137931,1.6124269897393657,3.6425294854952903,2.627478237617328,3.520023300406571,228.54195390022224,255.70686289578583
67,2020-09-01,2020-9,4.0,0.0,0.0,127.0,12.0,0.09448818897637795,131.0,0.030534351145038167,0.9694656488549618,0.0,1.875759278357417,0.9378796391787085,1.8184841858884881,118.06738010274172,91.2746895006433
68,2020-10-01,2020-10,0.0,0.0,0.0,143.0,22.0,0.15384615384615385,143.0,0.0,1.0,0.0,3.0541208762998973,1.5270604381499486,3.0541208762998973,198.29265119819448,148.61391752027822
69,2020-11-01,2020-11,3.0,1.0,0.3333333333333333,143.0,22.0,0.15384615384615385,146.0,0.02054794520547945,0.9794520547945206,3.7623296427251867,3.0541208762998973,3.408225259512542,3.0686731112264445,199.23747341097473,331.68936536746907
70,2020-12-01,2020-12,2.0,0.0,0.0,126.0,16.0,0.12698412698412698,128.0,0.015625,0.984375,0.0,2.5208616756761053,1.2604308378380527,2.481473211993666,161.11277909853297,122.66545573102327
71,2021-01-01,2021-1,2.0,0.0,0.0,108.0,19.0,0.17592592592592593,110.0,0.01818181818181818,0.9818181818181818,0.0,3.492443779842938,1.746221889921469,3.428944802027612,222.62856748160925,169.94276679402182
72,2021-02-01,2021-2,3.0,1.0,0.3333333333333333,89.0,6.0,0.06741573033707865,92.0,0.03260869565217391,0.967391304347826,3.7623296427251867,1.3383226311875953,2.550326136956391,1.4173663380855601,92.02429775424001,248.19840046843638
73,2021-03-01,2021-3,4.0,0.0,0.0,140.0,11.0,0.07857142857142857,144.0,0.027777777777777776,0.9722222222222222,0.0,1.5597831618245903,0.7798915809122952,1.5164558517739073,98.45780944910351,75.89925073357065
