date,ym,vietnam_tuoi_tre_body_count,vietnam_tuoi_tre_epu_count,vietnam_tuoi_tre_ratio,vietnam_news_body_count,vietnam_news_epu_count,vietnam_news_ratio,news_total,vietnam_tuoi_tre_weights,vietnam_news_weights,vietnam_tuoi_tre_z_score,vietnam_news_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2016-03-01,2016-3,219,3.0,0.0136986301369863,199.0,10.0,0.05025125628140704,418.0,0.5239234449760766,0.47607655502392343,1.6118782109536773,1.9020622228097253,1.7569702168817014,1.750028015641126,108.05336085080042,125.70872893894193,108.05336085080042
2016-04-01,2016-4,205,3.0,0.014634146341463415,271.0,24.0,0.08856088560885608,476.0,0.43067226890756305,0.569327731092437,1.721957698531002,3.352121467210054,2.537039582870528,2.650055138262143,163.62444576308866,181.52158651640437,163.62444576308866
2016-05-01,2016-5,234,3.0,0.01282051282051282,207.0,15.0,0.07246376811594203,441.0,0.5306122448979592,0.46938775510204084,1.508552684610493,2.742828857529966,2.1256907710702295,2.087906806593103,128.91527768656658,152.09016201921767,128.91527768656658
2016-06-01,2016-6,223,0.0,0.0,208.0,17.0,0.08173076923076923,431.0,0.5174013921113689,0.48259860788863107,0.0,3.0935944710410097,1.5467972355205049,1.4929643850963572,92.18127824148587,110.67114999174976,92.18127824148587
2016-07-01,2016-7,212,0.0,0.0,252.0,16.0,0.06349206349206349,464.0,0.45689655172413796,0.5431034482758621,0.0,2.4032405227881606,1.2016202613940803,1.3052082149625355,80.58850085614688,85.97422669760579,80.58850085614688
2016-08-01,2016-8,222,1.0,0.0045045045045045045,243.0,13.0,0.053497942386831275,465.0,0.4774193548387097,0.5225806451612903,0.5300320243226057,2.0249526627196537,1.2774923435211296,1.311248616001063,80.96145810441153,91.40276664353053,80.96145810441153
2016-09-01,2016-9,191,2.0,0.010471204188481676,246.0,9.0,0.036585365853658534,437.0,0.43707093821510296,0.562929061784897,1.2321163287918164,1.3847940817285438,1.30845520526018,1.3180630730079146,81.38220850119524,93.61811551861639,81.38220850119524
2016-10-01,2016-10,193,3.0,0.015544041450777202,248.0,14.0,0.056451612903225805,441.0,0.4376417233560091,0.562358276643991,1.829022425900805,2.1367521583660865,1.9828872921334457,2.002076787922097,123.61580710872474,141.87277549057012,123.61580710872474
2016-11-01,2016-11,188,1.0,0.005319148936170213,283.0,20.0,0.0706713780918728,471.0,0.3991507430997877,0.6008492569002123,0.6258888797852046,2.674985034198836,1.6504369569920203,1.8570867814817178,114.66357471836345,118.08642517888026,114.66357471836345
2016-12-01,2016-12,198,3.0,0.015151515151515152,279.0,17.0,0.06093189964157706,477.0,0.41509433962264153,0.5849056603773585,1.78283499090331,2.3063356629983156,2.0445853269508127,2.0890334972230304,128.98484383528805,146.28718243975973,128.98484383528805
2017-01-01,2017-1,170,2.0,0.011764705882352941,224.0,15.0,0.06696428571428571,394.0,0.43147208121827413,0.5685279187817259,1.3843189341131583,2.534667738878138,1.9594933364956482,2.0383243459592384,125.85386869033472,140.19897111994115,125.85386869033472
2017-02-01,2017-2,180,1.0,0.005555555555555556,293.0,7.0,0.023890784982935155,473.0,0.38054968287526425,0.6194503171247357,0.6537061633312137,0.9042910158272858,0.7789985895792497,0.8089310296765606,49.94646695471841,55.736245042922945,49.94646695471841
2017-03-01,2017-3,190,0.0,0.0,312.0,16.0,0.05128205128205128,502.0,0.3784860557768924,0.6215139442231076,0.0,1.9410788837904374,0.9705394418952187,1.2064075931127818,74.48817609014372,69.44072156345082,74.48817609014372
2017-04-01,2017-4,185,1.0,0.005405405405405406,282.0,15.0,0.05319148936170213,467.0,0.3961456102783726,0.6038543897216274,0.6360384291871268,2.0133530975485923,1.3246957633678595,1.4677359377051853,90.62357830451369,94.7801044341706,90.62357830451369
2017-05-01,2017-5,196,0.0,0.0,293.0,16.0,0.05460750853242321,489.0,0.40081799591002043,0.5991820040899796,0.0,2.06695089331951,1.033475446659755,1.2384797786147577,76.46843435020891,73.94370350783842,76.46843435020891
2017-06-01,2017-6,202,3.0,0.01485148514851485,294.0,14.0,0.047619047619047616,496.0,0.40725806451612906,0.592741935483871,1.7475313277171058,1.8024303920911204,1.774980859904113,1.780072305390413,109.90840914303955,126.99736492147939,109.90840914303955
2017-07-01,2017-7,191,2.0,0.010471204188481676,300.0,18.0,0.06,491.0,0.3890020366598778,0.6109979633401222,1.2321163287918164,2.2710622940348117,1.751589311413314,1.866910197575724,115.27010965066529,125.32373277880662,115.27010965066529
2017-08-01,2017-8,173,1.0,0.005780346820809248,337.0,15.0,0.04451038575667656,510.0,0.3392156862745098,0.6607843137254902,0.6801567017318986,1.6847643130822048,1.1824605074070518,1.3439856527614147,82.98276680040763,84.60337345413595,82.98276680040763
2017-09-01,2017-9,181,1.0,0.0055248618784530384,308.0,11.0,0.03571428571428571,489.0,0.37014314928425357,0.6298568507157464,0.6500945270697153,1.3518227940683403,1.0009586605690277,1.0920828833796876,67.42933531471338,71.61717354770079,67.42933531471338
2017-10-01,2017-10,202,3.0,0.01485148514851485,350.0,18.0,0.05142857142857143,552.0,0.36594202898550726,0.6340579710144928,1.7475313277171058,1.94662482345841,1.847078075587758,1.8737681456690198,115.69354535192146,132.15581852333574,115.69354535192146
2017-11-01,2017-11,202,4.0,0.019801980198019802,380.0,14.0,0.03684210526315789,582.0,0.3470790378006873,0.6529209621993127,2.3300417702894745,1.3945119349336563,1.8622768526115654,1.7192147300227891,106.15083183974502,133.2432694788108,106.15083183974502
2017-12-01,2017-12,182,0.0,0.0,339.0,11.0,0.032448377581120944,521.0,0.3493282149712092,0.6506717850287908,0.0,1.2282047804514715,0.6141023902257358,0.799158196877253,49.343055226700294,43.93815567952862,49.343055226700294
2018-01-01,2018-1,216,4.0,0.018518518518518517,370.0,29.0,0.07837837837837838,586.0,0.36860068259385664,0.6313993174061433,2.1790205444373787,2.966702996712142,2.57286177057476,2.676362707136461,165.2487747494121,184.08461327738357,165.2487747494121
2018-02-01,2018-2,160,1.0,0.00625,250.0,9.0,0.036,410.0,0.3902439024390244,0.6097560975609756,0.7354194337476154,1.362637376420887,1.0490284050842513,1.1178693987922932,69.02149248594714,75.05649564056658,69.02149248594714
