,date,ym,tonga_abc_news_count,tonga_abc_epu_count,tonga_abc_ratio,matangi_news_count,matangi_epu_count,matangi_ratio,news_total,tonga_abc_weights,matangi_weights,tonga_abc_z_score,matangi_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
33,2017-10-01,2017-10,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2017-11-01,2017-11,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2017-12-01,2017-12,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2018-01-01,2018-1,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2018-02-01,2018-2,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2018-03-01,2018-3,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2018-04-01,2018-4,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2018-05-01,2018-5,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2018-06-01,2018-6,2.0,1.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,3.8340860282704,0.0,1.9170430141352,3.8340860282704,981.8181818181819,1309.0909090909092
42,2018-07-01,2018-7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2018-08-01,2018-8,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2018-09-01,2018-9,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2018-10-01,2018-10,8.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2018-11-01,2018-11,2.0,1.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,3.8340860282704,0.0,1.9170430141352,3.8340860282704,981.8181818181819,1309.0909090909092
47,2018-12-01,2018-12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2019-01-01,2019-1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2019-02-01,2019-2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2019-03-01,2019-3,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2019-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
52,2019-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
53,2019-06-01,2019-6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2019-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
55,2019-08-01,2019-8,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2019-09-01,2019-9,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2019-10-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
58,2019-11-01,2019-11,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2019-12-01,2019-12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2020-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
61,2020-02-01,2020-2,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2020-03-01,2020-3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2020-04-01,2020-4,2.0,1.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,3.8340860282704,0.0,1.9170430141352,3.8340860282704,981.8181818181819,1309.0909090909092
64,2020-05-01,2020-5,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2020-06-01,2020-6,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2020-07-01,2020-7,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2020-08-01,2020-8,2.0,1.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,3.8340860282704,0.0,1.9170430141352,3.8340860282704,981.8181818181819,1309.0909090909092
68,2020-09-01,2020-9,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2020-10-01,2020-10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2020-11-01,2020-11,4.0,1.0,0.25,0.0,0.0,0.0,4.0,1.0,0.0,1.9170430141352,0.0,0.9585215070676,1.9170430141352,490.90909090909093,654.5454545454546
71,2020-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
72,2021-01-01,2021-1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2021-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
74,2021-03-01,2021-3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2021-04-01,2021-4,4.0,1.0,0.25,0.0,0.0,0.0,4.0,1.0,0.0,1.9170430141352,0.0,0.9585215070676,1.9170430141352,490.90909090909093,654.5454545454546
76,2021-05-01,2021-5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2021-06-01,2021-6,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2021-07-01,2021-7,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2021-08-01,2021-8,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2021-09-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0
81,2021-10-01,2021-10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2021-11-01,2021-11,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2021-12-01,2021-12,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.6681720565408,0.0,3.8340860282704,7.6681720565408,1963.6363636363637,2618.1818181818185
84,2022-01-01,2022-1,33.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2022-02-01,2022-2,16.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2022-03-01,2022-3,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2022-04-01,2022-4,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2022-05-01,2022-5,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2022-06-01,2022-6,5.0,1.0,0.2,0.0,0.0,0.0,5.0,1.0,0.0,1.5336344113081601,0.0,0.7668172056540801,1.5336344113081601,392.7272727272728,523.6363636363637
90,2022-07-01,2022-7,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2022-08-01,2022-8,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2022-09-01,2022-9,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2022-10-01,2022-10,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2022-11-01,2022-11,8.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2022-12-01,2022-12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2023-01-01,2023-1,2.0,1.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,3.8340860282704,0.0,1.9170430141352,3.8340860282704,981.8181818181819,1309.0909090909092
97,2023-02-01,2023-2,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2023-03-01,2023-3,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2023-04-01,2023-4,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2023-05-01,2023-5,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2023-06-01,2023-6,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2023-07-01,2023-7,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2023-08-01,2023-8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2023-09-01,2023-9,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2023-10-01,2023-10,5.0,1.0,0.2,0.0,0.0,0.0,5.0,1.0,0.0,1.5336344113081601,0.0,0.7668172056540801,1.5336344113081601,392.7272727272728,523.6363636363637
106,2023-11-01,2023-11,3.0,1.0,0.3333333333333333,0.0,0.0,0.0,3.0,1.0,0.0,2.5560573521802663,0.0,1.2780286760901332,2.5560573521802663,654.5454545454545,872.7272727272727
107,2023-12-01,2023-12,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
