,inflation,date,inflation_rate,rate,statistics,policy,economy,government,interest_rate,cost-push_inflation,consumer_price_index,international_criminal_court,food,price,purchasing_power,share_price,stock,share,philippines,trends
30,0,2017-07-01,0,44,0,0,0,0,0,0,0,0,29,33,0,0,0,0,62,168
31,0,2017-08-01,0,47,73,0,59,52,0,0,0,0,55,44,0,0,0,0,56,386
32,0,2017-09-01,0,41,0,0,0,45,0,0,0,0,54,43,0,0,0,0,0,183
33,0,2017-10-01,0,71,0,0,0,26,0,0,0,0,41,57,0,0,50,85,0,330
34,0,2017-11-01,0,79,0,82,0,56,0,0,0,0,0,36,0,0,0,0,0,253
35,0,2017-12-01,0,57,0,0,0,71,0,0,0,0,0,58,0,0,0,0,0,186
36,0,2018-01-01,0,39,93,0,0,54,0,0,0,0,27,49,0,0,90,0,0,352
37,0,2018-02-01,0,40,0,100,0,47,0,0,0,0,39,40,0,0,0,0,0,266
38,0,2018-03-01,0,41,0,0,0,30,0,0,87,0,45,44,0,0,0,0,57,304
39,0,2018-04-01,0,61,0,0,0,44,0,0,0,0,67,35,0,0,0,0,91,298
40,0,2018-05-01,0,36,0,0,0,46,0,0,0,0,71,36,0,0,0,67,100,356
41,0,2018-06-01,0,42,0,0,0,0,0,0,0,0,78,59,0,0,0,0,81,260
42,0,2018-07-01,0,41,0,53,0,0,0,0,0,0,0,42,0,0,0,71,0,207
43,0,2018-08-01,0,38,0,0,0,71,0,0,0,0,67,26,0,0,0,0,0,202
44,0,2018-09-01,0,53,0,0,0,49,0,0,0,0,40,50,0,0,0,56,78,326
45,0,2018-10-01,0,39,0,58,0,32,0,0,0,0,44,50,0,0,0,96,0,319
46,0,2018-11-01,0,100,0,85,0,0,100,0,0,0,61,54,0,0,0,0,0,400
47,0,2018-12-01,0,49,0,0,0,0,0,0,0,0,69,38,0,0,100,0,0,256
48,0,2019-01-01,0,0,100,0,0,0,0,0,0,0,0,32,0,0,0,0,83,215
49,0,2019-02-01,0,69,0,0,0,47,0,0,0,0,56,59,0,0,0,0,0,231
50,0,2019-03-01,0,58,0,0,0,31,0,0,0,0,58,43,0,0,0,0,0,190
51,0,2019-04-01,0,0,0,56,0,30,0,0,0,0,63,33,0,0,0,45,0,227
52,0,2019-05-01,0,88,59,92,0,58,0,0,0,0,57,47,0,0,0,0,0,401
53,0,2019-06-01,0,39,0,0,0,36,0,0,0,0,48,36,0,0,0,60,0,219
54,0,2019-07-01,0,39,0,0,0,29,0,0,0,0,48,54,64,0,0,41,0,275
55,0,2019-08-01,0,50,65,51,0,37,0,0,0,0,68,51,0,0,0,46,47,415
56,100,2019-09-01,0,92,73,0,61,60,0,0,0,0,97,35,0,0,0,83,0,601
57,0,2019-10-01,0,98,0,45,0,45,0,0,0,0,56,70,0,0,0,51,45,410
58,73,2019-11-01,0,94,0,90,0,49,0,98,0,0,42,28,0,0,0,0,0,474
59,0,2019-12-01,0,0,0,0,0,25,0,0,0,0,49,45,0,0,0,0,65,184
60,0,2020-01-01,0,52,0,0,0,69,0,0,0,0,40,63,0,0,0,63,68,355
61,0,2020-02-01,0,46,0,0,0,39,0,0,0,0,63,39,0,0,0,0,50,237
62,0,2020-03-01,0,0,53,37,0,53,0,0,0,0,59,47,0,0,32,56,0,337
63,0,2020-04-01,0,42,0,47,0,50,0,0,0,0,81,41,0,0,44,43,0,348
64,0,2020-05-01,0,53,0,0,0,57,0,0,0,0,63,47,0,0,0,0,59,279
65,0,2020-06-01,0,30,0,0,78,87,0,0,0,0,43,39,0,0,62,0,67,406
66,0,2020-07-01,0,37,0,0,0,0,0,0,0,0,63,50,0,0,56,0,0,206
67,0,2020-08-01,0,56,61,0,0,45,0,0,0,0,55,58,0,39,0,87,67,468
68,0,2020-09-01,0,55,0,0,0,50,0,0,0,0,100,61,69,0,0,0,0,335
69,0,2020-10-01,0,0,66,55,53,82,0,0,0,0,39,55,0,0,0,0,64,414
70,0,2020-11-01,0,44,0,55,0,39,0,0,0,0,63,68,0,0,0,0,0,269
71,0,2020-12-01,0,59,97,0,0,0,0,0,0,0,64,36,0,0,55,0,0,311
72,0,2021-01-01,0,0,0,0,0,34,0,0,0,0,51,37,0,0,0,89,0,211
73,0,2021-02-01,0,43,0,0,0,0,0,0,0,0,41,59,0,100,0,67,0,310
74,0,2021-03-01,0,32,0,0,0,38,0,0,0,0,72,100,100,0,59,67,0,468
75,0,2021-04-01,0,0,0,0,0,51,0,0,0,0,72,36,0,0,0,53,0,212
76,0,2021-05-01,0,46,0,0,0,72,0,0,0,0,66,65,0,50,0,55,0,354
77,0,2021-06-01,0,34,0,66,0,84,0,0,0,0,43,70,0,0,0,97,0,394
78,0,2021-07-01,0,27,45,50,0,56,0,0,0,0,74,55,0,0,0,54,0,361
79,0,2021-08-01,0,24,0,0,53,54,0,0,0,0,75,61,0,32,40,42,0,381
80,0,2021-09-01,0,35,0,43,0,61,0,0,0,0,98,36,0,0,53,0,56,382
81,0,2021-10-01,0,33,0,73,81,83,0,0,100,0,94,27,0,0,0,0,0,491
82,0,2021-11-01,0,94,0,0,0,49,0,0,0,0,46,39,0,0,99,100,0,427
83,0,2021-12-01,0,0,0,0,0,86,0,0,0,0,32,25,0,0,0,0,0,143
84,0,2022-01-01,0,0,0,0,0,30,0,0,0,0,46,63,0,0,0,0,84,223
85,0,2022-02-01,0,42,0,0,0,47,0,0,0,0,61,44,0,0,0,0,75,269
86,0,2022-03-01,0,55,0,32,0,75,0,0,0,0,64,32,0,0,0,0,0,258
87,0,2022-04-01,0,55,0,0,0,55,0,0,0,0,57,30,0,0,0,46,0,243
88,0,2022-05-01,0,51,0,44,0,76,0,0,0,0,80,49,0,0,0,0,0,300
89,0,2022-06-01,0,45,52,0,56,100,0,0,0,0,67,50,0,0,0,49,0,419
90,0,2022-07-01,0,35,0,38,0,71,0,0,0,0,56,39,0,0,0,54,0,293
91,56,2022-08-01,0,22,0,0,0,60,0,0,0,0,67,40,0,0,0,44,0,289
92,0,2022-09-01,0,56,95,54,0,51,0,0,0,0,77,52,0,0,0,47,0,432
93,60,2022-10-01,0,72,0,0,0,59,0,0,0,0,66,60,0,0,0,0,45,362
94,0,2022-11-01,0,34,0,0,0,61,0,0,0,0,56,39,0,0,0,0,40,230
95,0,2022-12-01,0,65,0,0,0,0,0,0,0,0,46,44,0,0,0,66,48,269
96,52,2023-01-01,0,44,0,43,0,28,0,0,0,0,40,46,0,0,38,0,39,330
97,0,2023-02-01,0,65,0,0,0,36,53,0,0,0,73,62,0,0,46,35,0,370
98,0,2023-03-01,0,36,0,42,0,42,0,0,0,0,42,45,0,0,0,0,0,207
99,0,2023-04-01,0,78,0,53,0,19,0,0,0,0,76,39,0,0,0,49,0,314
100,56,2023-05-01,0,84,0,43,0,31,0,0,0,0,72,58,0,0,0,31,0,375
101,53,2023-06-01,0,71,0,0,0,25,0,0,0,0,84,47,0,0,30,34,35,379
102,0,2023-07-01,0,52,0,37,0,25,0,0,0,0,81,57,0,0,0,41,0,293
103,0,2023-08-01,0,77,43,43,0,49,0,0,0,0,55,50,0,0,0,39,0,356
104,0,2023-09-01,0,81,43,68,0,55,0,0,52,0,80,49,0,0,0,37,42,507
105,0,2023-10-01,0,64,37,33,34,35,0,0,0,0,58,52,0,0,41,0,48,402
106,0,2023-11-01,0,55,0,31,59,28,0,0,0,0,55,46,0,0,0,69,39,382
107,0,2023-12-01,0,65,0,32,0,38,0,0,0,0,35,58,0,0,0,44,47,319
108,0,2024-01-01,0,63,0,0,0,39,0,0,0,0,61,46,0,0,32,0,58,299
109,0,2024-02-01,0,45,0,0,0,17,0,0,0,0,41,39,0,0,0,0,0,142
110,5,2024-03-01,100,37,7,13,6,41,2,0,0,0,82,47,0,2,7,11,13,373
111,0,2024-04-01,0,62,36,40,11,27,0,0,0,0,98,49,0,7,28,30,36,424
