,date,ym,fiji_sun_news_count,fiji_sun_epu_count,fiji_sun_ratio,fiji_abc_news_count,fiji_abc_epu_count,fiji_abc_ratio,fiji_rnz_news_count,fiji_rnz_epu_count,fiji_rnz_ratio,news_total,fiji_sun_weights,fiji_abc_weights,fiji_rnz_weights,fiji_sun_z_score,fiji_abc_z_score,fiji_rnz_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
45,2018-10-01,2018-10,0.0,0.0,0.0,7.0,0.0,0.0,71.0,2.0,0.028169014084507043,78.0,0.0,0.08974358974358974,0.9102564102564102,0.0,0.0,1.3047118774044428,0.4349039591348143,1.1876223499450698,123.72997079988072,75.09194696147783
46,2018-11-01,2018-11,0.0,0.0,0.0,6.0,1.0,0.16666666666666666,82.0,0.0,0.0,88.0,0.0,0.06818181818181818,0.9318181818181818,0.0,1.0652957505058382,0.0,0.35509858350194606,0.07263380117085261,7.567201895762238,61.31248851233898
47,2018-12-01,2018-12,1.0,0.0,0.0,1.0,0.0,0.0,55.0,0.0,0.0,57.0,0.017543859649122806,0.017543859649122806,0.9649122807017544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2019-01-01,2019-1,0.0,0.0,0.0,10.0,0.0,0.0,58.0,0.0,0.0,68.0,0.0,0.14705882352941177,0.8529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2019-02-01,2019-2,0.0,0.0,0.0,3.0,0.0,0.0,59.0,1.0,0.01694915254237288,62.0,0.0,0.04838709677419355,0.9516129032258065,0.0,0.0,0.785038502506063,0.26167950083535435,0.7470527685138342,77.83014292250562,45.18244266326209
50,2019-03-01,2019-3,0.0,0.0,0.0,3.0,0.0,0.0,76.0,0.0,0.0,79.0,0.0,0.0379746835443038,0.9620253164556962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2019-04-01,2019-4,0.0,0.0,0.0,3.0,0.0,0.0,82.0,0.0,0.0,85.0,0.0,0.03529411764705882,0.9647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2019-05-01,2019-5,0.0,0.0,0.0,5.0,0.0,0.0,79.0,2.0,0.02531645569620253,84.0,0.0,0.05952380952380952,0.9404761904761905,0.0,0.0,1.1725891556419674,0.3908630518806558,1.1027921820918503,114.89211574274636,67.48769916791045
53,2019-06-01,2019-6,0.0,0.0,0.0,1.0,0.0,0.0,72.0,5.0,0.06944444444444445,73.0,0.0,0.0136986301369863,0.9863013698630136,0.0,0.0,3.216477197767897,1.0721590659226323,3.172415866291624,330.51156583529774,185.1225081341988
54,2019-07-01,2019-7,0.0,0.0,0.0,4.0,0.0,0.0,66.0,2.0,0.030303030303030304,70.0,0.0,0.05714285714285714,0.9428571428571428,0.0,0.0,1.4035536862987188,0.4678512287662396,1.3233506185102206,137.87053889129567,80.78073082219585
