,date,ym,samoa_rnz_news_count,samoa_rnz_epu_count,samoa_rnz_ratio,samoa_observer_news_count,samoa_observer_epu_count,samoa_observer_ratio,news_total,samoa_rnz_weights,samoa_observer_weights,samoa_rnz_z_score,samoa_observer_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
37,2018-03-01,2018-3,52.0,1.0,0.019230769230769232,563.0,13.0,0.023090586145648313,615.0,0.08455284552845528,0.9154471544715447,1.807721139513353,1.4969567439542655,1.6523389417338092,1.5232327578877167,162.5071200915275,203.70390398168334
38,2018-04-01,2018-4,59.0,0.0,0.0,436.0,10.0,0.022935779816513763,495.0,0.1191919191919192,0.8808080808080808,0.0,1.4869206895664282,0.7434603447832141,1.3096917588908337,139.7253537536155,91.65539276644783
39,2018-05-01,2018-5,77.0,2.0,0.025974025974025976,391.0,9.0,0.023017902813299233,468.0,0.16452991452991453,0.8354700854700855,2.4415973832388147,1.492244702265643,1.966921042752229,1.6484416177249042,175.86511224126363,242.48626302538608
40,2018-06-01,2018-6,73.0,1.0,0.0136986301369863,395.0,6.0,0.015189873417721518,468.0,0.15598290598290598,0.844017094017094,1.2876917706122513,0.9847555756723483,1.1362236731422999,1.0320084436864785,110.10052089884965,140.07610192411818
41,2018-07-01,2018-7,86.0,0.0,0.0,396.0,4.0,0.010101010101010102,482.0,0.17842323651452283,0.8215767634854771,0.0,0.654845879445417,0.3274229397227085,0.5380061582165666,57.39755195687941,40.36540529916289
42,2018-08-01,2018-8,80.0,0.0,0.0,407.0,7.0,0.0171990171990172,487.0,0.16427104722792607,0.8357289527720739,0.0,1.1150078487854396,0.5575039243927198,0.9318443417980984,99.4144457405088,68.73028469857464
43,2018-09-01,2018-9,64.0,0.0,0.0,405.0,8.0,0.019753086419753086,469.0,0.13646055437100213,0.8635394456289979,0.0,1.2805874975821485,0.6402937487910743,1.1058378177415142,117.97705775358581,78.93679258502964
44,2018-10-01,2018-10,52.0,0.0,0.0,417.0,9.0,0.02158273381294964,469.0,0.11087420042643924,0.8891257995735607,0.0,1.399203066153157,0.6996015330765785,1.2440675449592036,132.72418997278405,86.24838398454227
45,2018-11-01,2018-11,57.0,0.0,0.0,421.0,22.0,0.052256532066508314,478.0,0.1192468619246862,0.8807531380753139,0.0,3.387777495088166,1.693888747544083,2.9837956598998283,318.32826409558015,208.82625354293765
46,2018-12-01,2018-12,58.0,1.0,0.017241379310344827,409.0,6.0,0.014669926650366748,467.0,0.12419700214132762,0.8758029978586723,1.620715504391282,0.9510475608571579,1.28588153262422,1.0342183118742438,110.33628218557095,158.52624521373903
47,2019-01-01,2019-1,55.0,1.0,0.01818181818181818,420.0,12.0,0.02857142857142857,475.0,0.11578947368421053,0.8842105263157894,1.7091181682671701,1.8522783447170361,1.7806982564921032,1.8357019032333672,195.84310283260092,219.52831679933544
48,2019-02-01,2019-2,56.0,0.0,0.0,428.0,12.0,0.028037383177570093,484.0,0.11570247933884298,0.8842975206611571,0.0,1.8176563195821382,0.9088281597910691,1.6073489768205687,171.4811159703463,112.04229321356425
49,2019-03-01,2019-3,55.0,1.0,0.01818181818181818,423.0,13.0,0.030732860520094562,478.0,0.11506276150627615,0.8849372384937239,1.7091181682671701,1.9924034204403107,1.8507607943537403,1.9598078370312673,209.08342856964313,228.16577738614717
50,2019-04-01,2019-4,58.0,0.0,0.0,346.0,12.0,0.03468208092485549,404.0,0.14356435643564355,0.8564356435643564,0.0,2.2484303606391767,1.1242151803195883,1.9256359029236512,205.43777259813763,138.5956690618656
51,2019-05-01,2019-5,70.0,0.0,0.0,379.0,16.0,0.04221635883905013,449.0,0.155902004454343,0.844097995545657,0.0,2.7368756544631667,1.3684378272315834,2.3101912539900673,246.4643210976915,168.70396304452242
52,2019-06-01,2019-6,74.0,0.0,0.0,401.0,9.0,0.022443890274314215,475.0,0.15578947368421053,0.8442105263157895,0.0,1.4550316174211133,0.7275158087105567,1.2283530075491926,131.0476738889173,89.6897160138507
53,2019-07-01,2019-7,74.0,0.0,0.0,319.0,7.0,0.0219435736677116,393.0,0.18829516539440203,0.811704834605598,0.0,1.4225962208641814,0.7112981104320907,1.1547282301671091,123.19296456902742,87.69036323611246
54,2019-08-01,2019-8,53.0,0.0,0.0,314.0,4.0,0.012738853503184714,367.0,0.1444141689373297,0.8555858310626703,0.0,0.825856586816513,0.4129282934082565,0.7065911941699865,75.38316088069719,50.90668948556848
55,2019-09-01,2019-9,62.0,2.0,0.03225806451612903,314.0,8.0,0.025477707006369428,376.0,0.16489361702127658,0.8351063829787234,3.0323064275707856,1.651713173633026,2.3420098006019057,1.879364188909997,200.50124339922186,288.7280130584907
56,2019-10-01,2019-10,74.0,0.0,0.0,259.0,10.0,0.03861003861003861,333.0,0.2222222222222222,0.7777777777777778,0.0,2.503078844212211,1.2515394221061056,1.946839101053942,207.69985017429335,154.29247585394307
57,2019-11-01,2019-11,78.0,1.0,0.01282051282051282,310.0,8.0,0.025806451612903226,388.0,0.20103092783505155,0.7989690721649485,1.2051474263422353,1.6730256016799037,1.4390865140110694,1.5789676179780012,168.4532314491484,177.41368533252918
58,2019-12-01,2019-12,78.0,1.0,0.01282051282051282,380.0,9.0,0.02368421052631579,458.0,0.1703056768558952,0.8296943231441049,1.2051474263422353,1.5354412594364906,1.370294342889363,1.4791903446300456,157.8084253560558,168.93283829386806
59,2020-01-01,2020-1,43.0,0.0,0.0,356.0,5.0,0.014044943820224719,399.0,0.10776942355889724,0.8922305764411027,0.0,0.9105300851839363,0.45526504259196815,0.8124027827706298,86.67174199002466,56.126055121027036
60,2020-02-01,2020-2,60.0,0.0,0.0,370.0,23.0,0.062162162162162166,430.0,0.13953488372093023,0.8604651162790697,0.0,4.02995693918166,2.01497846959083,3.467637366272591,369.94724476393316,248.41088612484833
