,inflation,date,economy,economics,government,money,cost,demand-pull_inflation,inflation_rate,demand,price,cost-push_inflation,rate,consumer_price_index,food,iphone,samsung,share_price,trends
58,0,2019-11-01,0,77,58,40,51,0,0,0,43,0,82,0,39,52,66,0,508
59,0,2019-12-01,0,0,0,0,0,0,0,0,64,0,72,0,0,43,78,0,257
60,0,2020-01-01,0,0,0,65,47,0,0,0,75,0,0,0,35,47,71,0,340
61,0,2020-02-01,0,0,78,56,50,0,0,0,42,0,78,0,57,32,59,96,548
62,0,2020-03-01,56,60,77,80,69,0,0,0,55,0,51,0,46,30,51,0,575
63,0,2020-04-01,0,0,53,75,35,0,0,85,59,0,0,0,56,44,57,0,464
64,0,2020-05-01,64,64,61,75,54,0,0,0,65,0,44,0,91,38,42,0,598
65,0,2020-06-01,0,0,50,66,64,0,0,0,85,0,55,0,64,50,71,0,505
66,0,2020-07-01,58,0,37,69,0,0,0,0,56,0,62,0,66,45,75,0,468
67,0,2020-08-01,0,0,35,82,36,0,0,0,86,0,65,0,56,45,87,0,492
68,0,2020-09-01,0,0,39,56,33,0,0,0,80,0,80,0,45,43,59,0,435
69,0,2020-10-01,43,56,31,50,47,0,0,84,84,0,36,0,53,40,71,48,643
70,0,2020-11-01,53,0,49,36,0,0,0,0,41,0,0,0,41,46,53,0,319
71,0,2020-12-01,0,0,39,79,0,0,0,0,66,0,39,0,19,43,82,0,367
72,0,2021-01-01,0,0,0,67,0,0,0,0,81,0,0,0,55,58,81,0,342
73,0,2021-02-01,79,64,83,44,0,0,0,0,95,0,48,0,40,57,48,0,558
74,0,2021-03-01,0,71,57,68,54,0,0,0,78,0,36,0,81,30,72,0,547
75,0,2021-04-01,55,74,35,47,52,0,0,0,59,0,37,0,39,38,71,0,507
76,0,2021-05-01,0,0,78,47,31,0,0,94,80,0,62,0,48,30,48,0,518
77,0,2021-06-01,0,0,0,65,56,0,0,0,84,0,55,0,37,42,40,0,379
78,99,2021-07-01,0,0,43,81,37,0,0,0,37,0,0,0,21,29,64,0,411
79,0,2021-08-01,0,0,57,28,37,0,0,0,58,0,43,0,57,49,68,0,397
80,0,2021-09-01,0,0,43,78,37,0,0,0,77,0,69,0,41,81,56,0,482
81,0,2021-10-01,0,0,42,58,41,0,0,80,95,0,51,0,41,38,65,0,511
82,0,2021-11-01,0,0,59,57,42,0,0,0,59,0,64,0,56,27,73,0,437
83,0,2021-12-01,0,0,0,37,0,0,0,0,67,0,0,0,25,59,93,0,281
84,0,2022-01-01,0,0,49,54,0,0,0,0,75,0,51,100,20,75,71,0,495
85,0,2022-02-01,60,0,97,75,50,0,0,0,52,0,43,0,64,44,54,0,539
86,0,2022-03-01,32,52,95,68,61,0,0,0,64,0,65,0,100,40,50,0,627
87,0,2022-04-01,54,100,69,72,59,0,0,53,66,0,60,0,73,50,61,0,717
88,0,2022-05-01,60,45,67,57,73,0,0,70,88,0,96,0,79,44,59,0,738
89,0,2022-06-01,0,0,31,89,41,0,0,0,70,0,72,0,58,65,34,0,460
90,0,2022-07-01,0,40,61,74,31,0,0,0,63,0,62,0,58,58,40,0,487
91,0,2022-08-01,0,47,48,94,25,0,0,0,92,0,74,66,57,55,57,0,615
92,0,2022-09-01,0,42,84,90,56,0,0,0,78,0,81,0,39,67,65,0,602
93,0,2022-10-01,97,0,50,77,48,0,0,0,72,0,84,0,68,57,50,0,603
94,0,2022-11-01,60,0,0,67,44,0,0,0,57,0,68,0,27,53,66,0,442
95,0,2022-12-01,0,0,29,79,27,0,0,0,100,0,41,0,41,77,64,0,458
96,0,2023-01-01,0,0,0,43,29,0,0,0,93,0,67,0,41,100,76,0,449
97,0,2023-02-01,51,82,61,56,47,0,0,0,74,0,81,0,44,56,73,0,625
98,43,2023-03-01,51,49,57,55,100,0,0,42,75,0,73,0,88,67,45,0,745
99,0,2023-04-01,0,0,20,62,67,0,0,0,97,0,63,0,71,54,47,0,481
100,40,2023-05-01,0,48,43,76,58,0,0,0,68,0,60,0,80,62,48,0,583
101,0,2023-06-01,41,0,52,72,84,0,0,70,55,0,42,0,56,76,59,0,607
102,0,2023-07-01,0,0,0,63,27,0,0,0,90,0,54,0,47,60,72,0,413
103,0,2023-08-01,36,0,34,79,44,0,0,0,61,39,100,0,59,66,50,0,568
104,0,2023-09-01,32,0,54,64,44,0,0,0,91,0,90,0,54,40,35,0,504
105,0,2023-10-01,0,0,49,95,63,0,0,0,87,0,77,0,45,73,48,0,537
106,0,2023-11-01,39,0,23,91,58,0,0,0,62,0,79,0,39,60,54,0,505
107,0,2023-12-01,0,0,0,88,30,0,0,0,97,0,47,67,23,69,80,0,501
108,0,2024-01-01,0,0,20,66,37,0,0,0,61,0,59,60,35,71,49,0,458
109,0,2024-02-01,0,40,50,67,46,100,0,0,41,0,42,0,69,37,45,0,537
110,4,2024-03-01,60,9,70,60,46,0,0,6,50,0,63,0,68,58,43,1,538
111,15,2024-04-01,34,41,62,63,63,0,0,31,73,0,85,0,79,54,47,0,647
