,Date,JAPAN,SOUTH KOREA,TAIWAN,CHINA,USA/CANADA,EUROPE,OTHERS,Total,year,month,covid
37,2010-07-01,2304.0,1831.0,3333.0,104.0,990.0,211.0,985.0,9758.0,0.0,0.0,0.0
38,2010-08-01,2767.0,2223.0,2387.0,63.0,647.0,360.0,541.0,8988.0,0.0,0.0,0.0
39,2010-09-01,3146.0,949.0,1975.0,50.0,555.0,166.0,247.0,7088.0,0.0,0.0,0.0
40,2010-10-01,2031.0,1170.0,2140.0,105.0,691.0,314.0,228.0,6679.0,0.0,0.0,0.0
41,2010-11-01,2095.0,1220.0,1182.0,39.0,651.0,510.0,315.0,6012.0,0.0,0.0,0.0
42,2010-12-01,4064.0,1151.0,993.0,162.0,732.0,362.0,369.0,7833.0,0.0,0.0,0.0
43,2011-01-01,3484.0,1196.0,3022.0,109.0,747.0,737.0,320.0,9615.0,0.0,0.0,0.0
44,2011-02-01,4419.0,901.0,1898.0,178.0,706.0,484.0,247.0,8833.0,0.0,0.0,0.0
45,2011-03-01,3721.0,543.0,1493.0,137.0,884.0,518.0,323.0,7619.0,0.0,0.0,0.0
46,2011-04-01,1999.0,754.0,3237.0,190.0,841.0,387.0,652.0,8060.0,0.0,0.0,0.0
47,2011-05-01,2239.0,890.0,2742.0,81.0,727.0,168.0,472.0,7319.0,0.0,0.0,0.0
48,2011-06-01,1817.0,911.0,3497.0,83.0,800.0,146.0,343.0,7597.0,0.0,0.0,0.0
49,2011-07-01,2803.0,2453.0,4734.0,178.0,608.0,178.0,271.0,11225.0,0.0,0.0,0.0
50,2011-08-01,4422.0,2390.0,4277.0,245.0,567.0,271.0,302.0,12474.0,0.0,0.0,0.0
51,2011-09-01,4606.0,1226.0,3434.0,137.0,445.0,215.0,371.0,10434.0,0.0,0.0,0.0
52,2011-10-01,2298.0,1305.0,3203.0,327.0,535.0,349.0,346.0,8363.0,0.0,0.0,0.0
53,2011-11-01,2617.0,1397.0,2998.0,152.0,729.0,652.0,265.0,8810.0,0.0,0.0,0.0
54,2011-12-01,3626.0,1998.0,2847.0,465.0,759.0,414.0,348.0,10457.0,0.0,0.0,0.0
55,2012-01-01,3580.0,1823.0,3650.0,783.0,618.0,418.0,286.0,11158.0,0.0,0.0,0.0
56,2012-02-01,4272.0,1949.0,3055.0,247.0,776.0,724.0,307.0,11330.0,0.0,0.0,0.0
57,2012-03-01,4159.0,1177.0,2370.0,270.0,918.0,739.0,407.0,10040.0,0.0,0.0,0.0
58,2012-04-01,2492.0,1237.0,2762.0,301.0,688.0,605.0,395.0,8480.0,0.0,0.0,0.0
59,2012-05-01,2024.0,1151.0,3077.0,158.0,813.0,249.0,357.0,7829.0,0.0,0.0,0.0
60,2012-06-01,2147.0,1733.0,4715.0,173.0,631.0,143.0,284.0,9826.0,0.0,0.0,0.0
61,2012-07-01,3128.0,1562.0,5308.0,312.0,778.0,207.0,340.0,11635.0,0.0,0.0,0.0
62,2012-08-01,4512.0,1646.0,4159.0,234.0,562.0,327.0,412.0,11852.0,0.0,0.0,0.0
63,2012-09-01,3515.0,1656.0,2461.0,276.0,480.0,255.0,292.0,8935.0,0.0,0.0,0.0
64,2012-10-01,2875.0,1674.0,2516.0,605.0,407.0,350.0,339.0,8766.0,0.0,0.0,0.0
65,2012-11-01,3075.0,1991.0,2317.0,802.0,648.0,666.0,255.0,9754.0,0.0,0.0,0.0
66,2012-12-01,3858.0,2012.0,2224.0,805.0,753.0,509.0,360.0,10521.0,0.0,0.0,0.0
67,2013-01-01,3637.0,1770.0,2307.0,877.0,758.0,404.0,391.0,10144.0,0.0,0.0,0.0
68,2013-02-01,3561.0,1233.0,2523.0,1693.0,684.0,874.0,348.0,10916.0,0.0,0.0,0.0
69,2013-03-01,4175.0,1452.0,1677.0,1204.0,984.0,741.0,378.0,10611.0,0.0,0.0,0.0
70,2013-04-01,2242.0,1197.0,1366.0,712.0,813.0,612.0,433.0,7375.0,0.0,0.0,0.0
71,2013-05-01,1631.0,1204.0,1778.0,217.0,685.0,307.0,362.0,6184.0,0.0,0.0,0.0
72,2013-06-01,1618.0,1225.0,2409.0,454.0,799.0,223.0,276.0,7004.0,0.0,0.0,0.0
73,2013-07-01,2459.0,1317.0,3351.0,690.0,698.0,331.0,514.0,9360.0,0.0,0.0,0.0
74,2013-08-01,4082.0,1505.0,3040.0,614.0,612.0,287.0,351.0,10491.0,0.0,0.0,0.0
75,2013-09-01,3215.0,1890.0,2607.0,657.0,566.0,189.0,361.0,9485.0,0.0,0.0,0.0
76,2013-10-01,2552.0,1538.0,2180.0,622.0,780.0,494.0,310.0,8476.0,0.0,0.0,0.0
77,2013-11-01,2682.0,1551.0,1590.0,511.0,595.0,682.0,425.0,8036.0,0.0,0.0,0.0
78,2013-12-01,4025.0,1566.0,1740.0,983.0,661.0,518.0,468.0,9961.0,0.0,0.0,0.0
79,2014-01-01,3656.0,1759.0,2269.0,1709.0,754.0,469.0,299.0,10915.0,0.0,0.0,0.0
80,2014-02-01,4098.0,1171.0,2407.0,1775.0,730.0,619.0,308.0,11108.0,0.0,0.0,0.0
81,2014-03-01,4196.0,1130.0,2624.0,969.0,888.0,698.0,440.0,10945.0,0.0,0.0,0.0
82,2014-04-01,2522.0,867.0,2212.0,1230.0,929.0,620.0,475.0,8855.0,0.0,0.0,0.0
83,2014-05-01,2091.0,969.0,2985.0,1294.0,710.0,258.0,364.0,8671.0,0.0,0.0,0.0
84,2014-06-01,1939.0,1234.0,3814.0,2149.0,763.0,191.0,372.0,10462.0,0.0,0.0,0.0
85,2014-07-01,2716.0,1374.0,3478.0,3118.0,735.0,316.0,571.0,12308.0,0.0,0.0,0.0
86,2014-08-01,4362.0,1619.0,3430.0,3300.0,532.0,290.0,320.0,13853.0,0.0,0.0,0.0
87,2014-09-01,3306.0,1015.0,2406.0,4001.0,531.0,208.0,368.0,11835.0,0.0,0.0,0.0
88,2014-10-01,2344.0,1096.0,1798.0,5178.0,634.0,429.0,342.0,11821.0,0.0,0.0,0.0
89,2014-11-01,2652.0,1178.0,1404.0,6929.0,836.0,630.0,369.0,13998.0,0.0,0.0,0.0
90,2014-12-01,3491.0,1212.0,1302.0,7656.0,773.0,449.0,530.0,15413.0,0.0,0.0,0.0
91,2015-01-01,2925.0,1617.0,1151.0,7506.0,718.0,593.0,342.0,14852.0,0.0,0.0,0.0
92,2015-02-01,2790.0,808.0,1757.0,10933.0,743.0,427.0,253.0,17711.0,0.0,0.0,0.0
93,2015-03-01,3371.0,812.0,1403.0,7344.0,1071.0,571.0,356.0,14928.0,0.0,0.0,0.0
94,2015-04-01,2495.0,802.0,891.0,6996.0,791.0,419.0,424.0,12818.0,0.0,0.0,0.0
95,2015-05-01,2298.0,957.0,1044.0,6829.0,782.0,244.0,520.0,12674.0,0.0,0.0,0.0
96,2015-06-01,1636.1538461538462,1018.8461538461538,1086.923076923077,7810.384615384615,783.4615384615385,162.69230769230768,308.0769230769231,12806.538461538465,0.0,0.0,0.0
97,2015-07-01,1784.0,1040.0,1236.0,7628.0,599.0,199.0,325.0,12811.0,0.0,0.0,0.0
98,2015-08-01,2976.0,1101.0,1187.0,9067.0,529.0,279.0,407.0,15546.0,0.0,0.0,0.0
99,2015-09-01,2971.0,764.0,936.0,7219.0,563.0,208.0,384.0,13045.0,0.0,0.0,0.0
100,2015-10-01,2100.0,1051.0,1387.0,6476.0,789.0,272.0,346.0,12421.0,0.0,0.0,0.0
101,2015-11-01,2556.0,1164.0,1165.0,5055.0,678.0,476.0,293.0,11387.0,0.0,0.0,0.0
102,2015-12-01,3289.0,1174.0,955.0,5530.0,781.0,379.0,437.0,12545.0,0.0,0.0,0.0
103,2016-01-01,3048.0,1390.0,1351.0,6883.0,655.0,501.0,334.0,14162.0,0.0,0.0,0.0
104,2016-02-01,3367.0,1034.0,1258.0,6802.0,826.0,421.0,401.0,14109.0,0.0,0.0,0.0
105,2016-03-01,3291.0,778.0,1227.0,5120.0,858.0,562.0,387.0,12223.0,0.0,0.0,0.0
106,2016-04-01,1964.0,1044.0,1196.0,4922.0,658.0,428.0,421.0,10633.0,0.0,0.0,0.0
107,2016-05-01,1620.0,862.0,1012.0,4756.0,691.0,233.0,399.0,9573.0,0.0,0.0,0.0
108,2016-06-01,1325.0,756.0,1575.0,6278.0,779.0,211.0,426.0,11350.0,0.0,0.0,0.0
109,2016-07-01,1901.0,1008.0,1455.0,6754.0,691.0,231.0,418.0,12458.0,0.0,0.0,0.0
110,2016-08-01,2866.0,1051.0,1534.0,6736.0,487.0,269.0,306.0,13249.0,0.0,0.0,0.0
111,2016-09-01,3219.0,1168.0,1321.0,5325.0,566.0,265.0,294.0,12158.0,0.0,0.0,0.0
112,2016-10-01,1528.0,1022.0,611.0,4228.0,793.0,441.0,334.0,8957.0,0.0,0.0,0.0
113,2016-11-01,2276.0,1086.0,543.0,3593.0,645.0,848.0,360.0,9351.0,0.0,0.0,0.0
114,2016-12-01,2790.0,1193.0,784.0,3482.0,764.0,471.0,367.0,9851.0,0.0,0.0,0.0
115,2017-01-01,2381.0,1405.0,751.0,5715.0,655.0,357.0,365.0,11629.0,0.0,0.0,0.0
116,2017-02-01,2152.0,1117.0,810.0,4596.0,611.0,435.0,272.0,9993.0,0.0,0.0,0.0
117,2017-03-01,2945.0,765.0,683.0,2451.0,862.0,790.0,370.0,8866.0,0.0,0.0,0.0
118,2017-04-01,2239.0,1099.0,695.0,4156.0,702.0,528.0,424.0,9843.0,0.0,0.0,0.0
119,2017-05-01,1946.0,891.0,745.0,4210.0,689.0,195.0,305.0,8981.0,0.0,0.0,0.0
120,2017-06-01,1394.0,1092.0,1018.0,5234.0,800.0,210.0,332.0,10080.0,0.0,0.0,0.0
121,2017-07-01,1627.0,1382.0,1126.0,6600.0,852.0,239.0,422.0,12248.0,0.0,0.0,0.0
122,2017-08-01,2411.0,1137.0,970.0,7414.0,602.0,239.0,347.0,13120.0,0.0,0.0,0.0
123,2017-09-01,2088.0,1230.0,686.0,3679.0,515.0,209.0,344.0,8751.0,0.0,0.0,0.0
124,2017-10-01,1601.0,731.0,804.0,5313.0,458.0,380.0,309.0,9596.0,0.0,0.0,0.0
125,2017-11-01,2319.0,435.0,772.0,4330.0,518.0,615.0,341.0,9330.0,0.0,0.0,0.0
126,2017-12-01,2876.0,561.0,706.0,4029.0,717.0,455.0,378.0,9722.0,0.0,0.0,0.0
127,2018-01-01,2462.0,1806.0,798.0,3894.0,694.0,490.0,279.0,10423.0,0.0,0.0,0.0
128,2018-02-01,2533.0,999.0,832.0,6604.0,677.0,443.0,298.0,12386.0,0.0,0.0,0.0
129,2018-03-01,3312.0,1110.0,993.0,3662.0,931.0,600.0,374.0,10982.0,0.0,0.0,0.0
130,2018-04-01,2562.0,1123.0,825.0,4267.0,708.0,419.0,407.0,10311.0,0.0,0.0,0.0
131,2018-05-01,1241.0,1099.0,665.0,3268.0,827.0,260.0,258.0,7618.0,0.0,0.0,0.0
132,2018-06-01,951.0,1048.0,1025.0,3899.0,759.0,188.0,275.0,8145.0,0.0,0.0,0.0
133,2018-07-01,1100.0,1223.0,1396.0,3768.0,867.0,177.0,439.0,8970.0,0.0,0.0,0.0
134,2018-08-01,2008.0,1526.0,1608.0,4597.0,583.0,244.0,489.0,11055.0,0.0,0.0,0.0
135,2018-09-01,1419.0,1172.0,872.0,2432.0,639.0,176.0,316.0,7026.0,0.0,0.0,0.0
136,2018-10-01,1019.0,1044.0,748.0,2006.0,499.0,577.0,284.0,6177.0,0.0,0.0,0.0
137,2018-11-01,1498.0,1055.0,773.0,1274.0,601.0,364.0,316.0,5881.0,0.0,0.0,0.0
138,2018-12-01,2258.0,1102.0,797.0,1500.0,642.0,398.0,270.0,6967.0,0.0,0.0,0.0
139,2019-01-01,1953.0,1169.0,919.0,2072.0,626.0,310.0,280.0,7329.0,0.0,0.0,0.0
140,2019-02-01,2055.0,1035.0,1092.0,4059.0,702.0,438.0,371.0,9752.0,0.0,0.0,0.0
141,2019-03-01,2434.0,1090.0,1190.0,2549.0,826.0,483.0,461.0,9033.0,0.0,0.0,0.0
142,2019-04-01,1756.0,808.0,1099.0,3182.0,777.0,368.0,415.0,8405.0,0.0,0.0,0.0
143,2019-05-01,1288.0,1095.0,1393.0,2489.0,607.0,185.0,421.0,7478.0,0.0,0.0,0.0
144,2019-06-01,650.0,655.0,1399.0,2321.0,622.0,119.0,305.0,6071.0,0.0,0.0,0.0
145,2019-07-01,1090.0,773.0,1697.0,2319.0,724.0,163.0,288.0,7054.0,0.0,0.0,0.0
146,2019-08-01,2117.0,1058.0,1664.0,2580.0,535.0,183.0,381.0,8518.0,0.0,0.0,0.0
147,2019-09-01,1467.0,657.0,1253.0,2017.0,643.0,165.0,512.0,6714.0,0.0,0.0,0.0
148,2019-10-01,918.0,698.0,1300.0,1904.0,716.0,276.0,362.0,6174.0,0.0,0.0,0.0
149,2019-11-01,1417.0,1307.0,1328.0,2209.0,620.0,605.0,465.0,7951.0,0.0,0.0,0.0
150,2019-12-01,2545.0,1515.0,1101.0,2319.0,782.0,417.0,565.0,9244.0,0.0,0.0,0.0
151,2020-01-01,2200.0,1324.0,1343.0,3109.0,920.0,511.0,382.0,9789.0,2020.0,1.0,6.484999999999999
152,2020-02-01,2280.0,880.0,831.0,122.0,644.0,547.0,290.0,5594.0,2020.0,2.0,18.961379310344828
153,2020-03-01,1261.0,487.0,325.0,58.0,291.0,178.0,139.0,2739.0,2020.0,3.0,41.96075268817204
154,2020-04-01,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,2020.0,4.0,82.458
155,2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2020.0,5.0,64.93
156,2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2020.0,6.0,50.60525
157,2020-07-01,0.0,0.0,1.0,0.0,19.0,0.0,0.0,20.0,2020.0,7.0,48.74774193548387
158,2020-08-01,2.0,0.0,14.0,0.0,13.0,1.0,0.0,30.0,2020.0,8.0,58.649274193548386
159,2020-09-01,0.0,0.0,10.0,0.0,4.0,0.0,65.0,79.0,2020.0,9.0,54.897749999999995
160,2020-10-01,0.0,0.0,3.0,1.0,9.0,1.0,1.0,15.0,2020.0,10.0,47.38006451612903
161,2020-11-01,4.0,0.0,15.0,0.0,1.0,0.0,2.0,22.0,2020.0,11.0,43.2978
162,2020-12-01,4.0,0.0,6.0,0.0,1.0,0.0,1.0,12.0,2020.0,12.0,41.74263440860214
163,2021-01-01,0.0,0.0,17.0,1.0,23.0,0.0,2.0,43.0,2021.0,1.0,41.73123655913978
164,2021-02-01,0.0,0.0,2.0,0.0,29.0,0.0,4.0,35.0,2021.0,2.0,41.89958333333333
165,2021-03-01,9.0,0.0,8.0,0.0,28.0,0.0,9.0,54.0,2021.0,3.0,41.02274193548387
166,2021-04-01,0.0,0.0,205.0,0.0,48.0,0.0,3.0,256.0,2021.0,4.0,41.708619047619045
167,2021-05-01,5.0,0.0,97.0,0.0,39.0,0.0,2.0,143.0,2021.0,5.0,40.110092165898614
168,2021-06-01,0.0,0.0,5.0,0.0,74.0,0.0,2.0,81.0,2021.0,6.0,42.542
169,2021-07-01,4.0,0.0,1.0,0.0,268.0,2.0,17.0,292.0,2021.0,7.0,43.06072580645161
170,2021-08-01,23.0,6.0,669.0,24.0,349.0,7.0,80.0,1158.0,2021.0,8.0,50.727782258064515
171,2021-09-01,31.0,6.0,884.0,7.0,322.0,9.0,30.0,1289.0,2021.0,9.0,53.61441666666667
172,2021-10-01,20.0,0.0,367.0,6.0,210.0,17.0,33.0,653.0,2021.0,10.0,52.58403225806452
173,2021-11-01,39.0,5.0,6.0,3.0,303.0,12.0,34.0,402.0,2021.0,11.0,53.116083333333336
174,2021-12-01,28.0,7.0,309.0,4.0,400.0,12.0,65.0,825.0,2021.0,12.0,46.72302419354838
175,2022-01-01,29.0,0.0,30.0,1.0,315.0,17.0,37.0,429.0,2022.0,1.0,51.83641129032258
176,2022-02-01,36.0,11.0,9.0,0.0,414.0,19.0,29.0,518.0,2022.0,2.0,59.12861607142857
177,2022-03-01,37.0,2.0,5.0,3.0,429.0,30.0,72.0,578.0,2022.0,3.0,57.584153225806446
178,2022-04-01,80.0,15.0,38.0,5.0,688.0,101.0,311.0,1238.0,2022.0,4.0,54.24470833333333
179,2022-05-01,101.0,16.0,2.0,5.0,541.0,18.0,68.0,751.0,2022.0,5.0,45.744435483870966
180,2022-06-01,62.0,15.0,8.0,10.0,761.0,38.0,93.0,987.0,2022.0,6.0,36.03366666666667
181,2022-07-01,96.0,8.0,15.0,9.0,708.0,127.0,137.0,1100.0,2022.0,7.0,26.947499999999998
182,2022-08-01,99.0,17.0,82.0,5.0,375.0,133.0,125.0,836.0,2022.0,8.0,24.604717741935485
183,2022-09-01,135.0,40.0,21.0,6.0,543.0,39.0,146.0,930.0,2022.0,9.0,22.962375
