date,ym,south_korea_the_korea_times_body_count,south_korea_the_korea_times_epu_count,south_korea_the_korea_times_ratio,south_korea_the_korea_herald_body_count,south_korea_the_korea_herald_epu_count,south_korea_the_korea_herald_ratio,news_total,south_korea_the_korea_times_weights,south_korea_the_korea_herald_weights,south_korea_the_korea_times_z_score,south_korea_the_korea_herald_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2021-12-01,2021-12,331,2.0,0.006042296072507553,0.0,0.0,0.0,331.0,1.0,0.0,0.9689163033266426,,0.9689163033266426,0.9689163033266426,64.690371651175,64.690371651175,64.690371651175
2022-01-01,2022-1,319,4.0,0.012539184952978056,0.0,0.0,0.0,319.0,1.0,0.0,2.0107291310414963,,2.0107291310414963,2.0107291310414963,134.24773051121582,134.24773051121582,134.24773051121582
2022-02-01,2022-2,268,8.0,0.029850746268656716,0.0,0.0,0.0,268.0,1.0,0.0,4.7867357671808755,,4.7867357671808755,4.7867357671808755,319.5897465155063,319.5897465155063,319.5897465155063
2022-03-01,2022-3,370,9.0,0.024324324324324326,0.0,0.0,0.0,370.0,1.0,0.0,3.90054279406766,,3.90054279406766,3.90054279406766,260.4224556065545,260.4224556065545,260.4224556065545
2022-04-01,2022-4,386,2.0,0.0051813471502590676,0.0,0.0,0.0,386.0,1.0,0.0,0.8308582808319137,,0.8308582808319137,0.8308582808319137,55.472831649064574,55.472831649064574,55.472831649064574
2022-05-01,2022-5,394,4.0,0.01015228426395939,0.0,0.0,0.0,394.0,1.0,0.0,1.6279761238635464,,1.6279761238635464,1.6279761238635464,108.69295947481686,108.69295947481686,108.69295947481686
2022-06-01,2022-6,337,5.0,0.01483679525222552,0.0,0.0,0.0,337.0,1.0,0.0,2.3791639198896046,,2.3791639198896046,2.3791639198896046,158.84653573100093,158.84653573100093,158.84653573100093
2022-07-01,2022-7,314,3.0,0.009554140127388535,0.0,0.0,0.0,314.0,1.0,0.0,1.5320603331263631,,1.5320603331263631,1.5320603331263631,102.28907491977193,102.28907491977193,102.28907491977193
2022-08-01,2022-8,365,5.0,0.0136986301369863,0.0,0.0,0.0,365.0,1.0,0.0,2.1966527150761554,,2.1966527150761554,2.1966527150761554,146.6610480584858,146.6610480584858,146.6610480584858
2022-09-01,2022-9,358,1.0,0.002793296089385475,0.0,0.0,0.0,358.0,1.0,0.0,0.4479208050294954,,0.4479208050294954,0.4479208050294954,29.90574443650688,29.90574443650688,29.90574443650688
2022-10-01,2022-10,393,8.0,0.020356234096692113,0.0,0.0,0.0,393.0,1.0,0.0,3.2642371134973915,,3.2642371134973915,3.2642371134973915,217.9390637815667,217.9390637815667,217.9390637815667
2022-11-01,2022-11,405,12.0,0.02962962962962963,0.0,0.0,0.0,405.0,1.0,0.0,4.751278465201758,,4.751278465201758,4.751278465201758,317.2224150598359,317.2224150598359,317.2224150598359
2022-12-01,2022-12,393,4.0,0.010178117048346057,0.0,0.0,0.0,393.0,1.0,0.0,1.6321185567486958,,1.6321185567486958,1.6321185567486958,108.96953189078334,108.96953189078334,108.96953189078334
2023-01-01,2023-1,395,5.0,0.012658227848101266,0.0,0.0,0.0,395.0,1.0,0.0,2.02981833165265,,2.02981833165265,2.02981833165265,135.52223428189194,135.52223428189194,135.52223428189194
2023-02-01,2023-2,327,6.0,0.01834862385321101,0.0,0.0,0.0,327.0,1.0,0.0,2.942305471569896,,2.942305471569896,2.942305471569896,196.44507354622868,196.44507354622868,196.44507354622868
2023-03-01,2023-3,375,5.0,0.013333333333333334,0.0,0.0,0.0,375.0,1.0,0.0,2.1380753093407914,,2.1380753093407914,2.1380753093407914,142.75008677692617,142.75008677692617,142.75008677692617
2023-04-01,2023-4,329,4.0,0.0121580547112462,0.0,0.0,0.0,329.0,1.0,0.0,1.9496127440797488,,1.9496127440797488,1.9496127440797488,130.16725238017582,130.16725238017582,130.16725238017582
2023-05-01,2023-5,389,5.0,0.012853470437017995,0.0,0.0,0.0,389.0,1.0,0.0,2.0611265835547474,,2.0611265835547474,2.0611265835547474,137.61255152017304,137.61255152017304,137.61255152017304
2023-06-01,2023-6,394,1.0,0.0025380710659898475,0.0,0.0,0.0,394.0,1.0,0.0,0.4069940309658866,,0.4069940309658866,0.4069940309658866,27.173239868704215,27.173239868704215,27.173239868704215
2023-07-01,2023-7,423,4.0,0.009456264775413711,0.0,0.0,0.0,423.0,1.0,0.0,1.5163654676175824,,1.5163654676175824,1.5163654676175824,101.24119629569232,101.24119629569232,101.24119629569232
2023-08-01,2023-8,432,5.0,0.011574074074074073,0.0,0.0,0.0,432.0,1.0,0.0,1.8559681504694368,,1.8559681504694368,1.8559681504694368,123.9150058827484,123.9150058827484,123.9150058827484
2023-09-01,2023-9,336,2.0,0.005952380952380952,0.0,0.0,0.0,336.0,1.0,0.0,0.9544979059557103,,0.9544979059557103,0.9544979059557103,63.72771731112775,63.72771731112775,63.72771731112775
2023-10-01,2023-10,395,7.0,0.017721518987341773,0.0,0.0,0.0,395.0,1.0,0.0,2.84174566431371,,2.84174566431371,2.84174566431371,189.7311279946487,189.7311279946487,189.7311279946487
2023-11-01,2023-11,367,3.0,0.008174386920980926,0.0,0.0,0.0,367.0,1.0,0.0,1.3108091133560709,,1.3108091133560709,1.3108091133560709,87.51708317386482,87.51708317386482,87.51708317386482
