,date,total,sarimax,var,lf,mean_ensemble,rpw,ols,ols_regularized
21,2020-10-01,0.0,0.1873856105183207,2.1263255573735864,-11.209247324969486,-2.9651787190258596,-7.685694305728402,63.49172461430386,59.09822886795941
22,2020-11-01,0.0,0.2578682653232083,0.6969919696115201,-7.474701813045925,-2.1732805260370656,-5.180780914135671,66.49182089409717,61.668268104643616
23,2020-12-01,0.0,5.850098796186398,2.2502842585208365,-1.092625891239185,2.335919054489349,0.5258602205086964,71.93451309577253,66.57383358399923
24,2021-01-01,0.0,0.0857948731404878,1.0700508192097402,-43.86180598352098,-14.235320097056919,-30.991111195068214,35.07545568252566,33.2229597482166
25,2021-02-01,0.0,0.358152957790872,0.7465916672469044,27.859334397112008,9.65469300738326,19.91607417898614,97.06837028936928,89.39826326936196
26,2021-03-01,0.0,0.6864310383200745,2.649057605626558,-87.35757368250428,-28.007361679519217,-61.57129452523142,-2.345411288901431,-0.5689090712735236
27,2021-04-01,0.0,0.8730352008882003,1.8378748689355584,94.96061658757976,32.55717555246784,67.73989882495825,155.27452121230658,142.27792742782333
28,2021-05-01,0.0,0.9251408964652968,0.6057285813642848,145.5606971737753,49.03052221720163,103.50712252740492,198.85976740798935,181.67359774618637
29,2021-06-01,0.0,0.9171644791860368,3.838403696109361,148.64589785069884,51.133822008664744,106.04168407562156,202.04390085066518,184.8965347763675
30,2021-07-01,0.0,5.139318735459182,0.084509076403229,259.39982116454377,88.2078829921354,184.9043464817102,297.0356112575886,270.5060686438236
31,2021-08-01,0.0,-0.2622628929804458,0.0510823026878637,245.01529003427436,81.6013698146606,173.67982528568044,284.89894300184375,259.6811358864293
32,2021-09-01,0.0,-0.0041380007587895,-0.3941691001114344,156.6206557699541,52.074116223027964,110.99129305809285,208.32523483553825,190.18544167334647
33,2021-10-01,0.0,-0.356791076832349,-0.4079596549092109,-124.63614301350412,-41.80029791508189,-88.46386277935267,-35.027701020384185,-30.488044036394854
34,2021-11-01,0.0,-0.4989540121024751,-0.2881491387417334,37.98165587922044,12.398184242792077,26.80304742664243,105.7127438094997,97.15942050153292
35,2021-12-01,0.0,2.34912210413982,-0.1791317232533467,10.675338639508968,4.281776340131814,7.971597778849393,81.93554712297059,75.51106310066203
36,2022-01-01,0.0,-0.6117982134378297,-0.0001154629441083,-61.59502753103764,-20.73564706913986,-43.773955723458634,19.6014914951895,19.103326475129364
37,2022-02-01,0.0,-0.6495040035804399,-0.4963975819287026,-129.06851894637083,-43.40480684395999,-91.65975647388167,-38.85999534509904,-33.962514891839646
38,2022-03-01,0.0,-0.4879978050400433,-0.6593160334083523,-249.7327956278528,-83.62670315543373,-177.13071767979164,-143.30606650370936,-128.70163140652932
39,2022-04-01,0.0,-0.2805824502354376,-0.5040315184156814,19.154980857535893,6.123455629628258,13.467365406301951,89.37494634951926,82.31367658484899
40,2022-05-01,0.0,0.2436708912069616,1.0345227011570102,158.84238116922702,53.373524920530336,112.70739654175408,210.46039891608646,192.2613558854692
41,2022-06-01,0.0,2.0752816833253425,2.0999287817425407,571.2495360634558,191.8082488428412,404.79296560837963,567.3784810069183,515.9796291551199
42,2022-07-01,0.0,14.627979782702232,5.288466378801459,916.7227414896938,312.2130625503992,649.5077613810613,866.0899136558905,786.7669468901261
43,2022-08-01,6228.0,3.958743622226338,9.3520029269481,3721.879084787629,1245.0632771122678,2648.462374210098,3294.6595676094817,2989.896348132648
44,2022-09-01,8130.0,117.0520033192664,8262.134504891077,3547.0264971124743,3975.4043351076057,3595.177274565954,4449.071916858678,4888.493411415865
