,date,news_count_marshall_islands_abc,epu_count_marshall_islands_abc,ratio_marshall_islands_abc,z_score_marshall_islands_abc,news_count_total,weight_abc,z_score_weighted,z_score_unweighted,epu_score_weighted,epu_score_unweighted
61,2020-03-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
62,2020-04-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
63,2020-05-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
64,2020-06-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
65,2020-07-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
66,2020-08-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
67,2020-09-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
68,2020-10-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
69,2020-11-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
70,2020-12-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
71,2021-01-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
72,2021-02-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
73,2021-03-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
74,2021-04-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
75,2021-05-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
76,2021-06-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
77,2021-07-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
78,2021-08-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
79,2021-09-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
80,2021-10-01,2.0,1.0,0.5,2.1213203435596424,2.0,1.0,2.1213203435596424,2.1213203435596424,900.0000000000001,2950.0
81,2021-11-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
82,2021-12-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
83,2022-01-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
84,2022-02-01,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
85,2022-03-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
86,2022-04-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
87,2022-05-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
88,2022-06-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
89,2022-07-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
90,2022-08-01,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
91,2022-09-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
92,2022-10-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
93,2022-11-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
94,2022-12-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
95,2023-01-01,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
96,2023-02-01,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
97,2023-03-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
98,2023-04-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
99,2023-05-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
100,2023-06-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
101,2023-07-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
102,2023-08-01,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
103,2023-09-01,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
104,2023-10-01,4.0,2.0,0.5,2.1213203435596424,4.0,1.0,2.1213203435596424,2.1213203435596424,900.0000000000001,2950.0
105,2023-11-01,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
