,date,news_count_post_courier,epu_count_post_courier,ratio_post_courier,z_score_post_courier,news_count_papua_new_guinea_abc,epu_count_papua_new_guinea_abc,ratio_papua_new_guinea_abc,z_score_papua_new_guinea_abc,news_count_png_business,epu_count_png_business,ratio_png_business,z_score_png_business,news_count_papua_new_guinea_rnz,epu_count_papua_new_guinea_rnz,ratio_papua_new_guinea_rnz,z_score_papua_new_guinea_rnz,news_count_total,weight_courier,weight_abc,weight_business,weight_rnz,z_score_weighted,z_score_unweighted,epu_score_weighted,epu_score_unweighted
29,2018-05-01,200.0,1.0,0.005,0.7010187892457943,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,1.0,0.011904761904761904,0.6954645804905121,298.0,0.6711409395973155,0.04697986577181208,0.0,0.28187919463087246,0.6665194047327581,0.3491208424340766,56.818262560200175,45.63710468569916
30,2018-06-01,184.0,3.0,0.016304347826086956,2.2859308344971554,18.0,1.0,0.05555555555555555,0.91152262368815,0.0,0.0,0.0,0.0,62.0,1.0,0.016129032258064516,0.9422423348581132,264.0,0.696969696969697,0.06818181818181818,0.0,0.23484848484848486,1.8766579755116148,1.0349239482608545,159.97800638837435,135.28534200141942
31,2018-07-01,163.0,1.0,0.006134969325153374,0.8601457536758212,8.0,1.0,0.125,2.0509259032983373,0.0,0.0,0.0,0.0,68.0,2.0,0.029411764705882353,1.718206610623618,239.0,0.6820083682008368,0.03347280334728033,0.0,0.28451882845188287,1.1441389732131864,1.157319566899444,97.53352734186292,151.2849071432083
32,2018-08-01,262.0,6.0,0.022900763358778626,3.2107730805150885,11.0,1.0,0.09090909090909091,1.4915824751260638,0.0,0.0,0.0,0.0,83.0,1.0,0.012048192771084338,0.7038436718217231,356.0,0.7359550561797753,0.03089887640449438,0.0,0.23314606741573032,2.573171289557705,1.351549806865719,219.3531364643148,176.67469977967383
33,2018-09-01,154.0,2.0,0.012987012987012988,1.8208280240150503,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,208.0,0.7403846153846154,0.038461538461538464,0.0,0.22115384615384615,1.3481130562419124,0.45520700600376257,114.92154773963219,59.504696545237486
34,2018-10-01,206.0,4.0,0.019417475728155338,2.7224030650322106,8.0,1.0,0.125,2.0509259032983373,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,298.0,0.6912751677852349,0.026845637583892617,0.0,0.28187919463087246,1.936988049070544,1.1933322420826369,165.12091736051903,155.9924869482089
35,2018-11-01,207.0,1.0,0.004830917874396135,0.677312839851009,27.0,4.0,0.14814814814814814,2.430726996501733,0.0,0.0,0.0,0.0,105.0,1.0,0.009523809523809525,0.5563716643924097,339.0,0.6106194690265486,0.07964601769911504,0.0,0.30973451327433627,0.779505638689996,0.9161028751862879,66.44991238327552,119.75304174410938
36,2018-12-01,99.0,3.0,0.030303030303030304,4.248598722701784,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,167.0,0.592814371257485,0.029940119760479042,0.0,0.3772455089820359,2.518630380523812,1.062149680675446,214.70372990877388,138.84429193888747
37,2019-01-01,156.0,2.0,0.01282051282051282,1.797484074989216,5.0,1.0,0.2,3.28148144527734,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,235.0,0.6638297872340425,0.02127659574468085,0.0,0.3148936170212766,1.2630422252115079,1.269741380066639,107.66958061102626,165.98069562921424
38,2019-02-01,109.0,2.0,0.01834862385321101,2.5725460155808966,14.0,1.0,0.07142857142857142,1.1719576590276213,0.0,0.0,0.0,0.0,72.0,2.0,0.027777777777777776,1.6227506878111948,195.0,0.558974358974359,0.07179487179487179,0.0,0.36923076923076925,2.1212972946005664,1.3418135906049282,180.83258461347174,175.40198080466672
