,date,ym,daily_posts_news_count,daily_posts_epu_count,daily_posts_ratio,vanuatu_abc_news_count,vanuatu_abc_epu_count,vanuatu_abc_ratio,vbr_news_count,vbr_epu_count,vbr_ratio,news_total,daily_posts_weights,vanuatu_abc_weights,vbr_weights,daily_posts_z_score,vanuatu_abc_z_score,vbr_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
10,2015-11-01,2015-11,267,9,0.033707865168539325,5.0,0.0,0.0,0.0,0.0,0.0,272.0,0.9816176470588235,0.01838235294117647,0.0,2.2911236939277178,0.0,0.0,0.7637078979759059,2.249007449554046,231.80939488982912,99.54318359465
11,2015-12-01,2015-12,253,3,0.011857707509881422,3.0,0.0,0.0,0.0,0.0,0.0,256.0,0.98828125,0.01171875,0.0,0.8059684140694343,0.0,0.0,0.26865613802314475,0.7965234717170582,82.09916069014783,35.01716735147767
12,2016-01-01,2016-1,237,2,0.008438818565400843,9.0,0.0,0.0,0.0,0.0,0.0,246.0,0.9634146341463414,0.036585365853658534,0.0,0.5735865225304272,0.0,0.0,0.1911955075101424,0.5526016497549238,56.95768329722992,24.9207970180699
13,2016-02-01,2016-2,230,5,0.021739130434782608,3.0,0.0,0.0,0.0,0.0,0.0,233.0,0.9871244635193133,0.012875536480686695,0.0,1.4776087591272964,0.0,0.0,0.49253625304243215,1.4585837536449706,150.33894947552105,64.19814014437574
14,2016-03-01,2016-3,301,5,0.016611295681063124,2.0,0.0,0.0,0.0,0.0,0.0,303.0,0.9933993399339934,0.006600660066006601,0.0,1.1290698159444459,0.0,0.0,0.3763566053148153,1.121617209898608,115.60717896962511,49.05505725317748
15,2016-04-01,2016-4,299,10,0.033444816053511704,3.0,0.0,0.0,0.0,0.0,0.0,302.0,0.9900662251655629,0.009933774834437087,0.0,2.273244244811225,0.0,0.0,0.7577480816037417,2.2506623483395902,231.97996839600268,98.76636945288575
16,2016-05-01,2016-5,270,8,0.02962962962962963,3.0,0.0,0.0,0.0,0.0,0.0,273.0,0.989010989010989,0.01098901098901099,0.0,2.013926012440167,0.0,0.0,0.671308670813389,1.9917949573584068,205.2980233130925,87.4996873078899
17,2016-06-01,2016-6,288,3,0.010416666666666666,5.0,0.0,0.0,0.0,0.0,0.0,293.0,0.9829351535836177,0.017064846416382253,0.0,0.7080208637484962,0.0,0.0,0.23600695458283205,0.6959385964490338,71.7316898862725,30.76160881918004
18,2016-07-01,2016-7,302,4,0.013245033112582781,0.0,0.0,0.0,0.0,0.0,0.0,302.0,1.0,0.0,0.0,0.9002649393358362,0.0,0.0,0.3000883131119454,0.9002649393358362,92.79198735840107,39.114098631010386
19,2016-08-01,2016-8,311,5,0.01607717041800643,3.0,0.0,0.0,0.0,0.0,0.0,314.0,0.9904458598726115,0.009554140127388535,0.0,1.0927653202549137,0.0,0.0,0.3642551067516379,1.0823248872588476,111.55724594839619,47.477724222528686
20,2016-09-01,2016-9,287,5,0.017421602787456445,1.0,0.0,0.0,0.0,0.0,0.0,288.0,0.9965277777777778,0.003472222222222222,0.0,1.1841463923319797,0.0,0.0,0.3947154641106599,1.1800347729141603,121.6283862076264,51.44798687528369
21,2016-10-01,2016-10,306,6,0.0196078431372549,2.0,0.0,0.0,0.0,0.0,0.0,308.0,0.9935064935064936,0.006493506493506494,0.0,1.332745155291287,0.0,0.0,0.4442483850970957,1.324090965971214,136.47652686154447,57.90420483610362
22,2016-11-01,2016-11,308,9,0.02922077922077922,1.0,1.0,1.0,0.0,0.0,0.0,309.0,0.9967637540453075,0.003236245954692557,0.0,1.9861364489568205,5.546121948094638,0.0,2.5107527990171525,1.9976574376271694,205.90228009486745,327.25643861448026
23,2016-12-01,2016-12,294,6,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.0,295.0,0.9966101694915255,0.003389830508474576,0.0,1.3871429167317475,0.0,0.0,0.46238097224391583,1.3824407373529959,142.4907466893413,60.26764176818946
24,2017-01-01,2017-1,236,3,0.012711864406779662,1.0,0.0,0.0,0.0,0.0,0.0,237.0,0.9957805907172996,0.004219409282700422,0.0,0.8640254608456225,0.0,0.0,0.2880084869485408,0.860379783795641,88.68094994378838,37.53959042340615
25,2017-02-01,2017-2,270,4,0.014814814814814815,1.0,0.0,0.0,0.0,0.0,0.0,271.0,0.996309963099631,0.0036900369003690036,0.0,1.0069630062200834,0.0,0.0,0.3356543354066945,1.0032472755698247,103.40656893814436,43.74984365394495
26,2017-03-01,2017-3,303,5,0.0165016501650165,2.0,0.0,0.0,0.0,0.0,0.0,305.0,0.9934426229508196,0.006557377049180328,0.0,1.1216172098986077,0.0,0.0,0.3738724032995359,1.1142623429484528,114.84909910752918,48.731261495730756
27,2017-04-01,2017-4,292,2,0.00684931506849315,3.0,0.0,0.0,0.0,0.0,0.0,295.0,0.9898305084745763,0.010169491525423728,0.0,0.4655479652044906,0.0,0.0,0.15518265506816353,0.4608135791176653,47.496915563113774,20.226811278364956
28,2017-05-01,2017-5,284,7,0.02464788732394366,5.0,0.0,0.0,0.0,0.0,0.0,289.0,0.9826989619377162,0.01730103806228374,0.0,1.6753169733767233,0.0,0.0,0.5584389911255744,1.6463322506539424,169.6905374356919,72.7880321355246
29,2017-06-01,2017-6,277,8,0.02888086642599278,1.0,0.0,0.0,0.0,0.0,0.0,278.0,0.9964028776978417,0.0035971223021582736,0.0,1.9630325753026898,0.0,0.0,0.6543441917675633,1.9559713070462055,201.60561282184983,85.28850387411651
30,2017-07-01,2017-7,288,3,0.010416666666666666,1.0,0.0,0.0,0.0,0.0,0.0,289.0,0.9965397923875432,0.0034602076124567475,0.0,0.7080208637484962,0.0,0.0,0.23600695458283205,0.7055709645659753,72.72451604386796,30.76160881918004
31,2017-08-01,2017-8,291,6,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.0,291.0,1.0,0.0,0.0,1.401443359172281,0.0,0.0,0.4671477863907603,1.401443359172281,144.4493823826656,60.88895766270688
32,2017-09-01,2017-9,281,8,0.028469750889679714,6.0,0.0,0.0,0.0,0.0,0.0,287.0,0.9790940766550522,0.020905923344947737,0.0,1.9350890510990926,0.0,0.0,0.6450296836996975,1.8946342277311672,195.28348559050258,84.0744326445917
33,2017-10-01,2017-10,277,11,0.039711191335740074,1.0,0.0,0.0,0.0,0.0,0.0,278.0,0.9964028776978417,0.0035971223021582736,0.0,2.6991697910411987,0.0,0.0,0.8997232636803996,2.6894605471885327,277.20771763004353,117.27169282691021
34,2017-11-01,2017-11,292,7,0.023972602739726026,1.0,0.0,0.0,0.0,0.0,0.0,293.0,0.9965870307167235,0.0034129692832764505,0.0,1.6294178782157172,0.0,0.0,0.5431392927385724,1.6238567250477454,167.37394306796918,70.79383947427736
35,2017-12-01,2017-12,249,9,0.03614457831325301,1.0,0.0,0.0,0.0,0.0,0.0,250.0,0.996,0.004,0.0,2.4567470934887576,0.0,0.0,0.8189156978295858,2.4469201051148026,252.2086216401341,106.73907638462471
36,2018-01-01,2018-1,245,6,0.024489795918367346,2.0,0.0,0.0,0.0,0.0,0.0,247.0,0.9919028340080972,0.008097165991902834,0.0,1.664571500078097,0.0,0.0,0.554857166692699,1.651093188336574,170.18125616743194,72.32117012182736
37,2018-02-01,2018-2,235,9,0.03829787234042553,3.0,0.0,0.0,0.0,0.0,0.0,238.0,0.9873949579831933,0.012605042016806723,0.0,2.6031064948029816,0.0,0.0,0.8677021649343272,2.5702942280617678,264.92502273123335,113.09800008413427
38,2018-03-01,2018-3,289,6,0.020761245674740483,0.0,0.0,0.0,0.0,0.0,0.0,289.0,1.0,0.0,0.0,1.4111419291319507,0.0,0.0,0.4703806430439836,1.4111419291319507,145.44903208773593,61.31033453234499
39,2018-04-01,2018-4,263,8,0.030418250950570342,7.0,0.0,0.0,0.0,0.0,0.0,270.0,0.9740740740740741,0.025925925925925925,0.0,2.0675286059271674,0.0,0.0,0.6891762019757225,2.013926012440167,207.57911246101574,89.82857632368925
40,2018-05-01,2018-5,286,3,0.01048951048951049,7.0,0.0,0.0,0.0,0.0,0.0,293.0,0.9761092150170648,0.023890784982935155,0.0,0.7129720585998843,0.0,0.0,0.23765735286662812,0.6959385964490339,71.73168988627252,30.976724964768717
41,2018-06-01,2018-6,264,3,0.011363636363636364,6.0,3.0,0.5,0.0,0.0,0.0,270.0,0.9777777777777777,0.022222222222222223,0.0,0.7723863968165413,2.773060974047319,0.0,1.1818157902879534,0.816845831866114,84.19382427599764,154.04018538957365
42,2018-07-01,2018-7,276,3,0.010869565217391304,2.0,0.0,0.0,0.0,0.0,0.0,278.0,0.9928057553956835,0.007194244604316547,0.0,0.7388043795636482,0.0,0.0,0.24626812652121607,0.733489240142327,75.60210480819369,32.09907007218787
43,2018-08-01,2018-8,303,10,0.033003300330033,1.0,0.0,0.0,0.0,0.0,0.0,304.0,0.9967105263157895,0.003289473684210526,0.0,2.2432344197972154,0.0,0.0,0.7477448065990718,2.235855359205777,230.45378439339737,97.46252299146151
44,2018-09-01,2018-9,272,10,0.03676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,272.0,1.0,0.0,0.0,2.498897166171163,0.0,0.0,0.8329657220570543,2.498897166171163,257.5659943220324,108.57038406769426
45,2018-10-01,2018-10,243,5,0.0205761316872428,2.0,0.0,0.0,0.0,0.0,0.0,245.0,0.9918367346938776,0.00816326530612245,0.0,1.398559730861227,0.0,0.0,0.4661865769537423,1.3871429167317475,142.97540909304655,60.7636717415902
