Day of Date,Destination Country,Destination Iso Country,Destination Region,Passenger,Type,fl_wow_change,fl_yoy_change,Flights Number 7Days,Lastwk Flights Number 7Days,Lastyr Flights Number 7Days,ask_wow_change,ask_yoy_change,Av Seat Km,Av Seat Km 7Days,Date,Destination Iso3,Flights Number,Lastwk Av Seat Km 7Days,Lastwk Passengers Number 7Days,Lastwk Payload 7Days,Lastyr Av Seat Km 7Days,Lastyr Passengers Number 7Days,Lastyr Payload 7Days,Passengers Number,Passengers Number 7Days,Payload,Payload 7Days,pl_wow_change,pl_yoy_change,psg_wow_change,psg_yoy_change
7-Sep-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-19.23%,21,21,26,0.00%,-23.29%,867021.1292,5402643.16,9/7/22,VUT,3,5402643.16,2836,1736,7042777.199,3612,8416,408,2836,0,1736,0.00%,-79.37%,0.00%,-21.48%
13-Sep-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-9.52%,-26.92%,19,21,26,-5.05%,-27.16%,483983.1648,5130058.67,9/13/22,VUT,3,5402643.16,2836,1736,7042777.199,3612,8416,310,2524,0,0,-100.00%,-100.00%,-11.00%,-30.12%
18-Sep-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-5.00%,-26.92%,19,20,26,-2.35%,-26.32%,743684.9388,5189300.375,9/18/22,VUT,2,5314241.83,2668,1736,7042777.199,3612,8416,340,2598,0,0,-100.00%,-100.00%,-2.62%,-28.07%
23-Sep-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-10.53%,-32.00%,17,19,25,7.79%,-19.87%,743684.9388,5538036.535,9/23/22,VUT,2,5137732.932,2500,,6911187.889,3476,5776,340,2658,0,1736,,-69.94%,6.32%,-23.53%
30-Sep-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,17.65%,-20.00%,20,17,25,9.16%,-11.53%,743684.9388,6045191.985,9/30/22,VUT,2,5538036.535,2658,1736,6833013.046,3448,4938,340,3068,0,5134,195.74%,3.97%,15.43%,-11.02%
13-Oct-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-23.08%,20,20,26,-8.19%,-20.83%,986730.1405,5575479.084,10/13/22,VUT,3,6072612.597,3044,3472,7042777.199,3612,8416,408,2936,0,3472,0.00%,-58.75%,-3.55%,-18.72%
18-Oct-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-20.00%,20,20,25,-9.48%,-23.76%,645390.9669,5285513.326,10/18/22,VUT,3,5839135.977,3042,3472,6933137.965,3516,7578,458,2936,3472,3472,0.00%,-54.18%,-3.48%,-16.50%
20-Oct-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,10.00%,-12.00%,22,20,25,6.49%,-14.36%,1259379.698,5937582.368,10/20/22,VUT,4,5575479.084,2936,3472,6933137.965,3516,7578,552,3250,1736,5208,50.00%,-31.27%,10.69%,-7.57%
21-Oct-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,5.00%,-16.00%,21,20,25,9.45%,-15.65%,421806.989,5848128.641,10/21/22,VUT,1,5343054.861,2936,3472,6933137.965,3516,7578,170,3080,0,5208,50.00%,-31.27%,4.90%,-12.40%
11-Nov-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-19.23%,21,21,26,-1.32%,-18.22%,511260.7162,5406106.782,11/11/22,VUT,2,5478177.048,3160,5208,6610390.757,3594,9926,340,2984,0,3472,-33.33%,-65.02%,-5.57%,-16.97%
13-Nov-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,5.00%,-22.22%,21,20,27,2.16%,-22.42%,694456.5465,5455570.373,11/13/22,VUT,2,5340312.127,2916,3472,7032197.746,3764,9926,314,3060,1736,5208,50.00%,-47.53%,4.94%,-18.70%
26-Nov-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,26.32%,-4.00%,24,19,25,7.00%,-15.22%,1238297.601,5688635.67,11/26/22,VUT,5,5316306.801,2948,5208,6709538.851,3436,8416,822,3364,1736,6944,33.33%,-17.49%,14.11%,-2.10%
1-Dec-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-4.35%,-12.00%,22,23,25,-1.26%,-19.00%,644144.5431,5434853.868,12/1/22,VUT,3,5504452.511,3220,5208,6709538.851,3436,8416,308,3180,0,3472,-33.33%,-58.75%,-1.24%,-7.45%
14-Dec-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,4.17%,-3.85%,25,24,26,3.95%,-18.75%,867021.1292,5623116.119,12/14/22,VUT,3,5409401.089,3090,5208,6920662.922,3594,9926,408,3286,0,3472,-33.33%,-65.02%,6.34%,-8.57%
30-Dec-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-10.34%,26,26,29,-7.12%,-30.52%,780518.8265,5635432.142,12/30/22,VUT,3,6067529.783,3556,3472,8110637.714,4296,11436,410,3452,0,5171,48.93%,-54.78%,-2.92%,-19.65%
3-Jan-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-11.11%,-17.24%,24,27,29,-12.94%,-30.90%,492236.2847,5309008.971,1/3/23,VUT,4,6098389.578,3724,5171,7683401.038,4218,9926,378,3038,0,1736,-66.43%,-82.51%,-18.42%,-27.98%
10-Jan-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-4.17%,-25.81%,23,24,31,-1.61%,-33.31%,814114.2345,5223517.794,1/10/23,VUT,5,5309008.971,3038,1736,7832335.04,4444,9926,548,2996,0,1699,-2.13%,-82.88%,-1.38%,-32.58%
11-Jan-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-4.17%,-20.69%,23,24,29,-1.61%,-26.13%,867021.1292,5223517.794,1/11/23,VUT,3,5309008.971,3038,1736,7070975.322,4086,11436,408,2996,0,1699,-2.13%,-85.14%,-1.38%,-26.68%
31-Jan-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,22.73%,-10.00%,27,22,30,28.90%,-19.34%,656722.9225,5907869.025,1/31/23,VUT,5,4583332.099,2776,3472,7324030.601,4250,11436,548,3572,0,8643,148.93%,-24.42%,28.67%,-15.95%
7-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-14.81%,-4.17%,23,27,24,-12.53%,-10.99%,426441.6295,5167592.087,2/7/23,VUT,3,5907869.025,3572,8643,5805777.094,3356,9926,310,3020,0,5208,-39.74%,-47.53%,-15.45%,-10.01%
19-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,21.05%,-8.00%,23,19,25,40.01%,-7.26%,780518.8265,5607767.673,2/19/23,VUT,3,4005314.725,2368,3472,6046776.79,3454,4646,410,3048,0,3472,0.00%,-25.27%,28.72%,-11.75%
22-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,15.00%,-8.00%,23,20,25,20.78%,-12.32%,934750.9213,5296077.98,2/22/23,VUT,4,4384734.21,2538,3472,6040462.409,3442,6156,478,2948,0,3472,0.00%,-43.60%,16.15%,-14.35%
24-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,4.76%,-12.00%,22,21,25,1.41%,-19.31%,743684.9388,4874270.991,2/24/23,VUT,2,4806541.199,2708,3472,6040462.409,3442,6156,340,2778,0,3472,0.00%,-43.60%,2.58%,-19.29%
28-Feb-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-4.55%,-16.00%,21,22,25,-6.72%,-20.97%,321877.9498,4837437.103,2/28/23,VUT,1,5185960.684,2878,3472,6121340.663,3514,11436,170,2708,0,3472,0.00%,-69.64%,-5.91%,-22.94%
5-Mar-23,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-78.26%,-79.17%,5,23,24,-77.07%,-80.46%,139329.858,1132992.611,3/5/23,VUT,1,4942000.783,2848,3472,5799462.713,3344,11436,144,696,1736,3472,0.00%,-69.64%,-75.56%,-79.19%
12-Jan-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-3.45%,28,28,29,-0.40%,4.80%,912010.5252,7410712.74,1/12/20,VUT,4,7440211.751,3910,12946,7070975.322,4086,11436,572,3894,0,10598,-18.14%,-7.33%,-0.41%,-4.70%
25-Jan-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-6.90%,-12.90%,27,29,31,-2.69%,-6.53%,1428150.648,7157505.294,1/25/20,VUT,5,7355073.829,4160,10598,7657268.949,4426,11436,652,3800,0,13057,23.20%,14.17%,-8.65%,-14.14%
2-Feb-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-7.69%,-14.29%,24,26,28,-11.98%,-15.87%,156965.1881,5967667.126,2/2/20,VUT,2,6780049.436,3570,11436,7093749.308,4012,11436,226,3386,0,13057,14.17%,14.17%,-5.15%,-15.60%
5-Feb-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-34.62%,-32.00%,17,26,25,-52.04%,-45.05%,407064.1897,3422352.787,2/5/20,VUT,2,7136061.77,3672,11436,6227584.083,3526,9926,244,2186,0,6267,-45.20%,-36.86%,-40.47%,-38.00%
12-Feb-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-35.29%,-54.17%,11,17,24,-47.94%,-69.31%,407064.1897,1781784.736,2/12/20,VUT,2,3422352.787,2186,6267,5805777.094,3356,9926,244,1412,0,5523,-11.87%,-44.36%,-35.41%,-57.93%
12-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,25.00%,-13.04%,20,16,23,7.95%,-0.83%,541516.0003,5677854.412,3/12/20,VUT,1,5259909.661,2496,4990,5725636.872,3276,11436,170,2982,0,9926,98.92%,-13.20%,19.47%,-8.97%
20-Mar-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,25.00%,4.17%,25,20,24,18.89%,16.40%,720580.8653,6750561.286,3/20/20,VUT,3,5677854.412,2982,9926,5799462.713,3344,11436,486,3814,1510,10803,8.84%,-5.54%,27.90%,14.06%
4-Aug-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-75.00%,-96.15%,1,4,26,-78.81%,-99.07%,65794.65514,65794.65514,8/4/20,VUT,1,310496.7646,476,,7042777.199,3612,8416,68,68,0,0,,-100.00%,-85.71%,-98.12%
3-Sep-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,66.67%,-80.77%,5,3,26,75.17%,-81.65%,690450.855,1292053.914,9/3/20,VUT,1,737590.5877,374,2640,7042777.199,3612,8416,170,648,0,0,-100.00%,-100.00%,73.26%,-82.06%
13-Sep-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,20.00%,-76.92%,6,5,26,33.53%,-73.90%,490754.6071,1838055.031,9/13/20,VUT,1,1376550.948,614,2640,7042777.199,3612,8416,170,918,0,0,-100.00%,-100.00%,49.51%,-74.58%
23-Sep-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-20.00%,-84.00%,4,5,25,-41.28%,-87.61%,468873.2122,856545.8172,9/23/20,VUT,2,1458635.546,748,,6911187.889,3476,5776,340,578,0,0,,-100.00%,-22.73%,-83.37%
7-Oct-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-84.00%,4,4,25,-12.28%,-88.00%,445214.1402,832886.7452,10/7/20,VUT,2,949504.6624,656,1510,6941169.152,3516,7578,238,476,0,0,-100.00%,-100.00%,-27.44%,-86.46%
11-Nov-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,150.00%,-80.77%,5,2,26,107.17%,-86.05%,445214.1402,922340.4723,11/11/20,VUT,2,445214.1402,238,,6610390.757,3594,9926,238,646,0,0,,-100.00%,171.43%,-82.03%
16-Nov-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,33.33%,-85.19%,4,3,27,-27.06%,-91.81%,65794.65514,576803.4505,11/16/20,VUT,1,790751.162,510,,7038512.127,3776,8416,68,374,0,0,,-100.00%,-26.67%,-90.10%
25-Nov-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,300.00%,-84.00%,4,1,25,1343.02%,-85.85%,379419.485,949432.3891,11/25/20,VUT,1,65794.65514,68,,6709538.851,3436,8416,170,674,0,877,,-89.58%,891.18%,-80.38%
4-Dec-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,133.33%,-72.00%,7,3,25,75.69%,-77.36%,167955.7676,1510866.172,12/4/20,VUT,1,859978.662,504,877,6673725.459,3408,7578,70,988,0,0,-100.00%,-100.00%,96.03%,-71.01%
5-Dec-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,300.00%,-68.00%,8,2,25,240.60%,-72.54%,321877.9498,1832744.122,12/5/20,VUT,1,538100.7122,334,877,6673725.459,3408,7578,170,1158,0,0,-100.00%,-100.00%,246.71%,-66.02%
22-Dec-20,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,,-76.00%,6,,25,,-73.59%,164486.6379,1746603.584,12/22/20,VUT,1,,,,6614655.829,3430,9926,170,996,0,1510,,-84.79%,,-70.96%
6-Jan-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,50.00%,-90.00%,3,2,30,179.16%,-86.24%,901707.675,1066194.313,1/6/21,VUT,2,381925.0896,340,,7749195.693,4286,9926,340,510,0,0,,-100.00%,50.00%,-88.10%
30-Jan-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,200.00%,-80.00%,6,2,30,75.56%,-81.74%,321877.9498,1337162.889,1/30/21,VUT,1,761676.4854,340,,7324030.601,4250,11436,170,1020,0,0,,-100.00%,200.00%,-76.00%
17-Feb-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,25.00%,-80.00%,5,4,25,-1.84%,-81.73%,164486.6379,1119724.438,2/17/21,VUT,1,1140764.06,680,,6127655.044,3526,9926,170,850,0,0,,-100.00%,25.00%,-75.89%
7-Apr-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-82.76%,5,5,29,90.29%,-76.41%,538100.7122,1750807.485,4/7/21,VUT,2,920085.5719,648,,7422271.726,4122,8416,334,742,877,877,,-89.58%,14.51%,-82.00%
20-Apr-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-82.76%,5,5,29,-17.63%,-87.40%,65794.65514,935321.3889,4/20/21,VUT,1,1135537.471,736,1754,7422271.726,4122,8416,68,646,0,0,-100.00%,-100.00%,-12.23%,-84.33%
25-Apr-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,75.00%,-75.86%,7,4,29,81.54%,-78.73%,597189.8475,1578525.063,4/25/21,VUT,1,869526.7337,578,,7422271.726,4122,8416,170,984,0,0,,-100.00%,70.24%,-76.13%
6-May-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-28.57%,-81.48%,5,7,27,-63.79%,-84.98%,217438.4517,1054581.082,5/6/21,VUT,1,2912186.659,1190,,7023238.723,3878,8416,170,694,0,2298,,-72.69%,-41.68%,-82.10%
12-May-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-80.00%,5,5,25,56.50%,-75.68%,407892.5785,1650374.896,5/12/21,VUT,1,1054581.082,694,2298,6784926.243,3640,8416,170,748,0,0,-100.00%,-100.00%,7.78%,-79.45%
21-May-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,75.00%,-75.00%,7,4,28,86.39%,-75.84%,379419.485,1712728.979,5/21/21,VUT,1,918901.3738,476,,7089033.378,3946,8416,170,988,0,0,,-100.00%,107.56%,-74.96%
22-Jun-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,50.00%,-76.00%,6,4,25,11.96%,-77.67%,421806.989,1541863.401,6/22/21,VUT,1,1377193.411,578,,6904775.177,3462,5280,170,920,0,0,,-100.00%,59.17%,-73.43%
30-Jun-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,16.67%,-72.00%,7,6,25,-0.34%,-76.29%,486364.5877,1636131.15,6/30/21,VUT,2,1641792.44,920,,6901723.765,3510,3136,340,988,0,0,,-100.00%,7.39%,-71.85%
10-Jul-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-50.00%,-85.19%,4,8,27,-53.37%,-84.78%,421806.989,1183151.564,7/10/21,VUT,1,2537131.722,1158,,7775812.997,3816,5776,170,680,0,0,,-100.00%,-41.28%,-82.18%
14-Jul-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-33.33%,-84.00%,4,6,25,-51.26%,-85.05%,321877.9498,1026918.046,7/14/21,VUT,1,2107071.613,920,,6868826.438,3476,5776,170,578,0,0,,-100.00%,-37.17%,-83.37%
15-Jul-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,20.00%,-76.92%,6,5,26,-40.67%,-82.56%,418758.9773,1228238.571,7/15/21,VUT,3,2070237.726,850,,7042777.199,3612,8416,410,818,0,0,,-100.00%,-3.76%,-77.35%
21-Jul-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,50.00%,-76.92%,6,4,26,84.25%,-74.18%,543906.1229,1892138.766,7/21/21,VUT,2,1026918.046,578,,7328107.536,3702,9926,340,920,0,0,,-100.00%,59.17%,-75.15%
11-Aug-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-33.33%,-84.62%,4,6,26,5.61%,-74.51%,486364.5877,1795257.739,8/11/21,VUT,2,1699886.137,920,,7042777.199,3612,8416,340,680,0,0,,-100.00%,-26.09%,-81.17%
12-Aug-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,75.00%,-73.08%,7,4,26,69.39%,-65.23%,653497.5005,2448755.239,8/12/21,VUT,3,1445613.798,680,,7042777.199,3612,8416,310,990,0,0,,-100.00%,45.59%,-72.59%
25-Aug-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-20.00%,-85.19%,4,5,27,19.56%,-80.71%,851835.147,1431664.872,8/25/21,VUT,3,1197403.623,650,,7422196.684,3782,8416,510,680,0,0,,-100.00%,4.62%,-82.02%
2-Sep-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-33.33%,-84.62%,4,6,26,-25.45%,-80.14%,164486.6379,1398843.616,9/2/21,VUT,1,1876391.338,920,,7042777.199,3612,8416,170,680,0,0,,-100.00%,-26.09%,-81.17%
15-Sep-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-33.33%,-92.31%,2,3,26,-25.27%,-93.09%,486364.5877,486364.5877,9/15/21,VUT,2,650851.2255,510,,7042777.199,3612,8416,340,340,0,0,,-100.00%,-33.33%,-90.59%
22-Sep-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,200.00%,-76.92%,6,2,26,386.80%,-66.38%,486364.5877,2367636.955,9/22/21,VUT,2,486364.5877,340,,7042777.199,3612,8416,340,1020,0,0,,-100.00%,200.00%,-71.76%
23-Sep-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,100.00%,-76.00%,6,3,25,4.18%,-78.66%,36833.88766,1474997.177,9/23/21,VUT,1,1415838.254,510,,6911187.889,3476,5776,70,920,0,0,,-100.00%,80.39%,-73.53%
5-Oct-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,40.00%,-70.83%,7,5,24,114.72%,-59.32%,1093960.304,2752799.605,10/5/21,VUT,2,1282037.445,750,,6767218.39,3380,4938,340,1190,0,0,,-100.00%,58.67%,-64.79%
14-Oct-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-40.00%,-76.92%,6,10,26,-30.85%,-67.31%,639245.4407,2301951.341,10/14/21,VUT,2,3328949.894,1600,,7042777.199,3612,8416,340,1020,0,0,,-100.00%,-36.25%,-71.76%
20-Oct-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-33.33%,-84.00%,4,6,25,-41.28%,-83.76%,486364.5877,1125610.028,10/20/21,VUT,2,1916978.24,920,,6933137.965,3516,7578,340,680,0,0,,-100.00%,-26.09%,-80.66%
24-Nov-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-72.00%,7,7,25,5.94%,-64.48%,328973.2757,2382893.373,11/24/21,VUT,2,2249345.877,1190,,6709538.851,3436,8416,340,1090,0,0,,-100.00%,-8.40%,-68.28%
29-Nov-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-42.86%,-84.00%,4,7,25,-59.48%,-85.33%,164486.6379,984214.5207,11/29/21,VUT,1,2428949.563,1090,,6709538.851,3436,8416,170,680,0,0,,-100.00%,-37.61%,-80.21%
30-Nov-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-42.86%,-84.00%,4,7,25,-65.64%,-86.99%,379419.485,872879.3986,11/30/21,VUT,1,2540284.685,1090,,6709538.851,3436,8416,170,680,0,0,,-100.00%,-37.61%,-80.21%
4-Dec-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,200.00%,-64.00%,9,3,25,196.75%,-63.55%,539465.3606,2432552.936,12/4/21,VUT,2,819727.8829,510,,6673725.459,3408,7578,340,1530,0,0,,-100.00%,200.00%,-55.11%
5-Dec-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,233.33%,-60.00%,10,3,25,267.49%,-54.86%,579829.7252,3012382.661,12/5/21,VUT,1,819727.8829,510,,6673725.459,3408,7578,170,1700,0,0,,-100.00%,233.33%,-50.12%
17-Dec-21,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-75.00%,7,7,28,-15.21%,-70.77%,158681.2271,2183871.935,12/17/21,VUT,1,2575762.805,1190,,7471339.722,3940,9926,164,1184,877,877,,-91.16%,-0.50%,-69.95%
19-Jan-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,100.00%,-93.10%,2,1,29,13.93%,-93.53%,480559.1769,480559.1769,1/19/22,VUT,2,421806.989,170,,7426987.656,4188,11436,334,334,877,877,,-92.33%,96.47%,-92.02%
20-Jan-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,200.00%,-90.00%,3,1,30,234.28%,-81.18%,929473.6661,1410032.843,1/20/22,VUT,1,421806.989,170,,7492782.311,4256,11436,170,504,0,877,,-92.33%,196.47%,-88.16%
11-Feb-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,200.00%,-86.96%,3,1,23,196.01%,-79.48%,321877.9498,1123104.424,2/11/22,VUT,1,379419.485,170,,5472012.929,3186,9926,170,510,0,0,,-100.00%,200.00%,-83.99%
20-Feb-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-84.00%,4,4,25,-25.49%,-81.49%,490754.6071,1119524.736,2/20/22,VUT,1,1502523.909,680,,6046776.79,3454,4646,170,680,0,0,,-100.00%,0.00%,-80.31%
9-Mar-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,25.00%,-79.17%,5,4,24,-9.44%,-75.64%,321877.9498,1412783.127,3/9/22,VUT,1,1560065.444,680,,5799462.713,3344,11436,170,750,0,0,,-100.00%,10.29%,-77.57%
10-Mar-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,50.00%,-73.91%,6,4,23,9.94%,-70.05%,302300.6212,1715083.748,3/10/22,VUT,1,1560065.444,680,,5725636.872,3276,11436,170,920,0,0,,-100.00%,35.29%,-71.92%
12-Mar-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,300.00%,-65.22%,8,2,23,231.60%,-56.05%,379419.485,2516310.222,3/12/22,VUT,1,758838.9701,340,,5725636.872,3276,11436,170,1260,0,0,,-100.00%,270.59%,-61.54%
14-Mar-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,166.67%,-65.22%,8,3,23,101.14%,-62.04%,358711.8375,2173724.624,3/14/22,VUT,2,1080716.92,510,,5725636.872,3276,11436,240,1160,0,0,,-100.00%,127.45%,-64.59%
28-Mar-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,200.00%,-87.50%,3,1,24,105.26%,-85.07%,379419.485,865784.0727,3/28/22,VUT,1,421806.989,170,,5799462.713,3344,11436,170,510,0,0,,-100.00%,200.00%,-84.75%
8-Jul-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,466.67%,-34.62%,17,3,26,540.40%,-30.56%,743684.9388,4998469.36,7/8/22,VUT,2,780518.8265,410,,7198483.605,3618,4938,340,2388,0,0,,-100.00%,482.44%,-34.00%
18-Jul-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-24.00%,19,19,25,-3.67%,-25.24%,421806.989,5210206.881,7/18/22,VUT,1,5408748.64,2726,,6968951.357,3544,8416,170,2624,0,0,,-100.00%,-3.74%,-25.96%
10-Aug-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,4.55%,-11.54%,23,22,26,-1.26%,-21.40%,867021.1292,5535552.639,8/10/22,VUT,3,5606132.606,2930,,7042777.199,3612,8416,408,3050,0,1736,,-79.37%,4.10%,-15.56%
12-Aug-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,15.00%,-11.54%,23,20,26,7.26%,-21.40%,743684.9388,5535552.639,8/12/22,VUT,2,5160918.466,2692,,7042777.199,3612,8416,340,3050,0,1736,,-79.37%,13.30%,-15.56%
15-Aug-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-15.38%,22,22,26,1.12%,-23.99%,760186.1337,5353349.7,8/15/22,VUT,4,5293827.945,2906,,7042777.199,3612,8416,550,2978,1736,3472,,-58.75%,2.48%,-17.55%
16-Aug-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,4.55%,-11.54%,23,22,26,1.59%,-21.10%,871655.7697,5556839.145,8/16/22,VUT,5,5469757.984,2982,1736,7042777.199,3612,8416,548,3072,0,1736,0.00%,-79.37%,3.02%,-14.95%
21-Aug-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,4.55%,-8.00%,23,22,25,1.23%,-21.35%,848248.6185,5558774.282,8/21/22,VUT,4,5491044.49,3004,1736,7067643.34,3646,8416,480,3074,0,1736,0.00%,-79.37%,2.33%,-15.69%
30-Aug-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-9.09%,-23.08%,20,22,26,-2.44%,-26.37%,990044.2737,5336848.505,8/30/22,VUT,5,5470372.952,2906,1736,7248245.923,3646,5776,624,2768,1736,1736,0.00%,-69.94%,-4.75%,-24.08%
1-Sep-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-4.55%,-16.00%,21,22,25,-1.24%,-21.35%,578349.888,5402643.16,9/1/22,VUT,2,5470372.952,2906,1736,6868826.438,3476,5776,240,2836,0,1736,0.00%,-69.94%,-2.41%,-18.41%
4-Sep-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,0.00%,-19.23%,21,21,26,0.00%,-23.29%,780518.8265,5402643.16,9/4/22,VUT,3,5402643.16,2836,1736,7042777.199,3612,8416,410,2836,0,1736,0.00%,-79.37%,0.00%,-21.48%
15-Sep-22,Vanuatu,VU,East Asia & Pacific,Passenger,Intra-Regional,-9.52%,-26.92%,19,21,26,-4.90%,-27.05%,541516.0003,5137732.932,9/15/22,VUT,1,5402643.16,2836,1736,7042777.199,3612,8416,170,2500,0,0,-100.00%,-100.00%,-11.85%,-30.79%
